Period_Index,Rep_Period,Rep_Period_Index
1,309,16
2,322,18
3,316,17
4,316,17
5,316,17
6,161,7
7,322,18
8,322,18
9,322,18
10,322,18
11,322,18
12,322,18
13,322,18
14,22,2
15,22,2
16,18,1
17,22,2
18,18,1
19,291,13
20,291,13
21,22,2
22,22,2
23,18,1
24,187,8
25,187,8
26,187,8
27,187,8
28,187,8
29,188,9
30,187,8
31,187,8
32,188,9
33,188,9
34,188,9
35,299,14
36,299,14
37,299,14
38,94,5
39,94,5
40,94,5
41,161,7
42,94,5
43,161,7
44,94,5
45,307,15
46,51,3
47,51,3
48,51,3
49,51,3
50,51,3
51,51,3
52,51,3
53,51,3
54,51,3
55,51,3
56,51,3
57,51,3
58,51,3
59,51,3
60,161,7
61,65,4
62,65,4
63,65,4
64,65,4
65,65,4
66,65,4
67,65,4
68,65,4
69,65,4
70,18,1
71,18,1
72,22,2
73,18,1
74,291,13
75,291,13
76,291,13
77,291,13
78,291,13
79,291,13
80,187,8
81,187,8
82,187,8
83,187,8
84,188,9
85,188,9
86,188,9
87,188,9
88,299,14
89,299,14
90,299,14
91,299,14
92,94,5
93,94,5
94,94,5
95,94,5
96,307,15
97,307,15
98,307,15
99,307,15
100,307,15
101,51,3
102,51,3
103,51,3
104,51,3
105,51,3
106,51,3
107,316,17
108,316,17
109,316,17
110,161,7
111,161,7
112,161,7
113,65,4
114,65,4
115,65,4
116,65,4
117,65,4
118,65,4
119,18,1
120,22,2
121,18,1
122,22,2
123,22,2
124,22,2
125,291,13
126,291,13
127,291,13
128,291,13
129,291,13
130,291,13
131,187,8
132,187,8
133,187,8
134,187,8
135,188,9
136,188,9
137,188,9
138,188,9
139,188,9
140,299,14
141,299,14
142,299,14
143,299,14
144,94,5
145,161,7
146,94,5
147,94,5
148,322,18
149,307,15
150,307,15
151,309,16
152,307,15
153,316,17
154,316,17
155,316,17
156,316,17
157,161,7
158,161,7
159,161,7
160,160,6
161,161,7
162,161,7
163,161,7
164,161,7
165,161,7
166,161,7
167,322,18
168,65,4
169,65,4
170,65,4
171,65,4
172,299,14
173,65,4
174,65,4
175,18,1
176,22,2
177,18,1
178,18,1
179,291,13
180,291,13
181,291,13
182,291,13
183,291,13
184,187,8
185,187,8
186,187,8
187,187,8
188,188,9
189,188,9
190,188,9
191,188,9
192,299,14
193,299,14
194,299,14
195,299,14
196,299,14
197,307,15
198,307,15
199,307,15
200,307,15
201,307,15
202,307,15
203,309,16
204,309,16
205,316,17
206,309,16
207,309,16
208,309,16
209,316,17
210,213,10
211,213,10
212,213,10
213,213,10
214,213,10
215,213,10
216,213,10
217,213,10
218,213,10
219,221,11
220,213,10
221,221,11
222,221,11
223,221,11
224,221,11
225,221,11
226,221,11
227,232,12
228,232,12
229,232,12
230,221,11
231,232,12
232,232,12
233,232,12
234,232,12
235,232,12
236,232,12
237,232,12
238,232,12
239,232,12
240,187,8
241,187,8
242,187,8
243,187,8
244,187,8
245,187,8
246,299,14
247,299,14
248,299,14
249,161,7
250,299,14
251,299,14
252,94,5
253,316,17
254,309,16
255,309,16
256,309,16
257,309,16
258,316,17
259,316,17
260,316,17
261,309,16
262,316,17
263,316,17
264,309,16
265,309,16
266,316,17
267,161,7
268,307,15
269,322,18
270,322,18
271,213,10
272,213,10
273,213,10
274,213,10
275,18,1
276,18,1
277,22,2
278,18,1
279,22,2
280,291,13
281,291,13
282,18,1
283,291,13
284,291,13
285,291,13
286,291,13
287,291,13
288,291,13
289,291,13
290,291,13
291,291,13
292,187,8
293,187,8
294,187,8
295,187,8
296,188,9
297,299,14
298,299,14
299,299,14
300,299,14
301,161,7
302,94,5
303,94,5
304,161,7
305,307,15
306,307,15
307,307,15
308,309,16
309,309,16
310,309,16
311,309,16
312,309,16
313,316,17
314,316,17
315,316,17
316,316,17
317,309,16
318,316,17
319,322,18
320,322,18
321,322,18
322,322,18
323,322,18
324,322,18
325,322,18
326,326,19
327,322,18
328,322,18
329,22,2
330,22,2
331,22,2
332,22,2
333,22,2
334,22,2
335,22,2
336,291,13
337,22,2
338,22,2
339,339,20
340,187,8
341,187,8
342,187,8
343,187,8
344,188,9
345,188,9
346,188,9
347,188,9
348,188,9
349,299,14
350,299,14
351,94,5
352,307,15
353,307,15
354,307,15
355,307,15
356,307,15
357,307,15
358,307,15
359,307,15
360,307,15
361,307,15
362,307,15
363,307,15
364,309,16
365,307,15
