Period_Index,Rep_Period,Rep_Period_Index
1,295,3
2,295,3
3,295,3
4,295,3
5,295,3
6,295,3
7,295,3
8,295,3
9,295,3
10,295,3
11,295,3
12,295,3
13,295,3
14,295,3
15,295,3
16,295,3
17,295,3
18,295,3
19,295,3
20,295,3
21,295,3
22,295,3
23,295,3
24,295,3
25,295,3
26,295,3
27,295,3
28,295,3
29,295,3
30,295,3
31,295,3
32,295,3
33,295,3
34,295,3
35,295,3
36,295,3
37,295,3
38,295,3
39,295,3
40,295,3
41,295,3
42,295,3
43,295,3
44,295,3
45,295,3
46,295,3
47,295,3
48,295,3
49,295,3
50,295,3
51,295,3
52,295,3
53,295,3
54,295,3
55,295,3
56,295,3
57,295,3
58,295,3
59,295,3
60,295,3
61,295,3
62,295,3
63,295,3
64,295,3
65,295,3
66,295,3
67,295,3
68,295,3
69,295,3
70,295,3
71,295,3
72,295,3
73,295,3
74,295,3
75,295,3
76,295,3
77,295,3
78,295,3
79,295,3
80,295,3
81,295,3
82,295,3
83,295,3
84,295,3
85,295,3
86,295,3
87,295,3
88,295,3
89,295,3
90,295,3
91,295,3
92,295,3
93,295,3
94,295,3
95,295,3
96,295,3
97,295,3
98,295,3
99,295,3
100,295,3
101,295,3
102,295,3
103,295,3
104,295,3
105,295,3
106,295,3
107,295,3
108,295,3
109,295,3
110,295,3
111,295,3
112,295,3
113,295,3
114,295,3
115,295,3
116,295,3
117,295,3
118,295,3
119,295,3
120,295,3
121,295,3
122,295,3
123,295,3
124,295,3
125,295,3
126,295,3
127,295,3
128,295,3
129,295,3
130,295,3
131,295,3
132,295,3
133,295,3
134,295,3
135,295,3
136,295,3
137,295,3
138,295,3
139,295,3
140,295,3
141,295,3
142,295,3
143,295,3
144,295,3
145,295,3
146,295,3
147,295,3
148,295,3
149,295,3
150,295,3
151,295,3
152,295,3
153,295,3
154,295,3
155,295,3
156,295,3
157,295,3
158,295,3
159,295,3
160,295,3
161,295,3
162,295,3
163,295,3
164,295,3
165,295,3
166,295,3
167,295,3
168,295,3
169,295,3
170,295,3
171,295,3
172,295,3
173,295,3
174,295,3
175,295,3
176,295,3
177,295,3
178,295,3
179,295,3
180,295,3
181,295,3
182,295,3
183,295,3
184,295,3
185,185,1
186,295,3
187,295,3
188,295,3
189,295,3
190,295,3
191,295,3
192,295,3
193,295,3
194,295,3
195,295,3
196,295,3
197,295,3
198,295,3
199,295,3
200,295,3
201,295,3
202,295,3
203,295,3
204,295,3
205,295,3
206,295,3
207,207,2
208,295,3
209,295,3
210,295,3
211,295,3
212,295,3
213,295,3
214,295,3
215,295,3
216,295,3
217,295,3
218,295,3
219,295,3
220,295,3
221,295,3
222,295,3
223,295,3
224,295,3
225,295,3
226,295,3
227,295,3
228,295,3
229,295,3
230,295,3
231,295,3
232,295,3
233,295,3
234,295,3
235,295,3
236,295,3
237,295,3
238,295,3
239,295,3
240,295,3
241,295,3
242,295,3
243,295,3
244,295,3
245,295,3
246,295,3
247,295,3
248,295,3
249,295,3
250,295,3
251,295,3
252,295,3
253,295,3
254,295,3
255,295,3
256,295,3
257,295,3
258,295,3
259,295,3
260,295,3
261,295,3
262,295,3
263,295,3
264,295,3
265,295,3
266,295,3
267,295,3
268,295,3
269,295,3
270,295,3
271,295,3
272,295,3
273,295,3
274,295,3
275,295,3
276,295,3
277,295,3
278,295,3
279,295,3
280,295,3
281,295,3
282,295,3
283,295,3
284,295,3
285,295,3
286,295,3
287,295,3
288,295,3
289,295,3
290,295,3
291,295,3
292,295,3
293,295,3
294,295,3
295,295,3
296,295,3
297,295,3
298,295,3
299,299,4
300,295,3
301,295,3
302,295,3
303,295,3
304,295,3
305,295,3
306,295,3
307,295,3
308,295,3
309,295,3
310,295,3
311,295,3
312,295,3
313,295,3
314,295,3
315,295,3
316,295,3
317,295,3
318,295,3
319,295,3
320,295,3
321,295,3
322,295,3
323,295,3
324,295,3
325,295,3
326,295,3
327,295,3
328,295,3
329,295,3
330,295,3
331,295,3
332,295,3
333,295,3
334,295,3
335,295,3
336,295,3
337,295,3
338,295,3
339,295,3
340,295,3
341,295,3
342,295,3
343,295,3
344,295,3
345,295,3
346,295,3
347,295,3
348,295,3
349,295,3
350,295,3
351,295,3
352,295,3
353,295,3
354,295,3
355,295,3
356,295,3
357,295,3
358,295,3
359,295,3
360,295,3
361,295,3
362,295,3
363,295,3
364,295,3
365,295,3
