elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
19360.0,21267.0,10170.0,4899.0,2148.0,3187.0,9359.0,7912.0,6050.0,12444.0,2521.0
18158.0,20694.0,9946.0,4740.0,2039.0,2879.0,9062.0,7768.0,5766.0,12256.0,2472.0
16549.0,20469.0,9242.0,4509.0,1887.0,2617.0,8868.0,7592.0,5296.0,12111.0,2371.0
15137.0,19687.0,8484.0,4137.0,1758.0,2463.0,8490.0,7202.0,4795.0,11813.0,2277.0
13907.0,17891.0,7896.0,3765.0,1615.0,2318.0,7866.0,6605.0,4382.0,10903.0,2218.0
12971.0,16042.0,7526.0,3528.0,1518.0,2228.0,7236.0,6031.0,4123.0,9996.0,2146.0
12388.0,14462.0,7187.0,3363.0,1461.0,2143.0,6656.0,5639.0,4017.0,9186.0,2121.0
11912.0,13713.0,6891.0,3261.0,1458.0,2122.0,6214.0,5446.0,3918.0,8894.0,2064.0
11585.0,13151.0,6918.0,3208.0,1500.0,2196.0,5914.0,5296.0,3938.0,8612.0,2063.0
11572.0,12768.0,7068.0,3246.0,1582.0,2306.0,5694.0,5353.0,4098.0,8659.0,2087.0
12200.0,12815.0,7485.0,3374.0,1736.0,2512.0,5580.0,5573.0,4415.0,8893.0,2192.0
13411.0,13359.0,8051.0,3665.0,1859.0,2771.0,5464.0,6024.0,4830.0,9423.0,2226.0
14652.0,14282.0,8655.0,3899.0,1967.0,3007.0,5555.0,6623.0,5148.0,10420.0,2211.0
15750.0,15654.0,9124.0,4075.0,1999.0,3200.0,6013.0,7063.0,5402.0,11216.0,2277.0
16849.0,17201.0,9372.0,4161.0,1998.0,3324.0,6616.0,7435.0,5574.0,11796.0,2294.0
17898.0,18252.0,9672.0,4205.0,2006.0,3467.0,7118.0,7668.0,5728.0,12054.0,2297.0
18919.0,18981.0,9985.0,4239.0,2024.0,3563.0,7664.0,7697.0,5805.0,12092.0,2334.0
19819.0,19462.0,10223.0,4269.0,2059.0,3630.0,7995.0,7724.0,5856.0,12070.0,2325.0
20541.0,19918.0,10358.0,4307.0,2058.0,3651.0,8259.0,7718.0,5890.0,12076.0,2357.0
21031.0,20499.0,10606.0,4349.0,2100.0,3713.0,8490.0,7752.0,6005.0,12047.0,2417.0
21467.0,21067.0,10832.0,4386.0,2097.0,3611.0,8629.0,7781.0,6063.0,12074.0,2431.0
21638.0,21771.0,11054.0,4428.0,2110.0,3495.0,8822.0,7774.0,6096.0,12109.0,2499.0
21223.0,22225.0,10951.0,4491.0,2109.0,3453.0,8886.0,7795.0,6088.0,12157.0,2499.0
20569.0,22477.0,10719.0,4472.0,2084.0,3437.0,8898.0,7788.0,5936.0,12259.0,2480.0
19901.0,22409.0,10488.0,4402.0,2050.0,3301.0,8899.0,7761.0,5817.0,12353.0,2469.0
18646.0,21735.0,10212.0,4302.0,1965.0,3046.0,8544.0,7686.0,5569.0,12249.0,2435.0
16996.0,21496.0,9510.0,4167.0,1830.0,2779.0,8302.0,7582.0,5111.0,12178.0,2354.0
15625.0,20695.0,8775.0,3861.0,1702.0,2581.0,7915.0,7159.0,4649.0,11786.0,2236.0
