commodity,commodity_subtype,zone,resource_id,component_id,type,variable,period,value
Electricity,capacity,elec_AZ,AZ_conventional_hydroelectric_1,AZ_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,2762.5
Electricity,capacity,water_node,AZ_conventional_hydroelectric_1,AZ_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,2762.5
Electricity,capacity,elec_CA,CA_conventional_hydroelectric_1,CA_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,8039.2
Electricity,capacity,water_node,CA_conventional_hydroelectric_1,CA_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,8039.2
Electricity,capacity,elec_CO,CO_conventional_hydroelectric_1,CO_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,470.4
Electricity,capacity,water_node,CO_conventional_hydroelectric_1,CO_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,470.4
Electricity,capacity,elec_ID,ID_conventional_hydroelectric_1,ID_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,2182.8
Electricity,capacity,water_node,ID_conventional_hydroelectric_1,ID_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,2182.8
Electricity,capacity,elec_MT,MT_conventional_hydroelectric_1,MT_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,2730.7
Electricity,capacity,water_node,MT_conventional_hydroelectric_1,MT_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,2730.7
Electricity,capacity,elec_NV,NV_conventional_hydroelectric_1,NV_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,1039.4
Electricity,capacity,water_node,NV_conventional_hydroelectric_1,NV_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,1039.4
Electricity,capacity,elec_OR,OR_conventional_hydroelectric_1,OR_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,7674.4
Electricity,capacity,water_node,OR_conventional_hydroelectric_1,OR_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,7674.4
Electricity,capacity,elec_UT,UT_conventional_hydroelectric_1,UT_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,151.8
Electricity,capacity,water_node,UT_conventional_hydroelectric_1,UT_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,151.8
Electricity,capacity,elec_WA,WA_conventional_hydroelectric_1,WA_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,20628.4
Electricity,capacity,water_node,WA_conventional_hydroelectric_1,WA_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,20628.4
Electricity,capacity,elec_WY,WY_conventional_hydroelectric_1,WY_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,1,232.9
Electricity,capacity,water_node,WY_conventional_hydroelectric_1,WY_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,1,232.9
Electricity,capacity,elec_AZ,AZ_biomass_1,AZ_biomass_1_elec_edge,MustRun,capacity,1,12.7
Electricity,capacity,elec_AZ,AZ_small_hydroelectric_1,AZ_small_hydroelectric_1_elec_edge,MustRun,capacity,1,14.6
Electricity,capacity,elec_CA,CA_biomass_1,CA_biomass_1_elec_edge,MustRun,capacity,1,141.6
Electricity,capacity,elec_CA,CA_geothermal_1,CA_geothermal_1_elec_edge,MustRun,capacity,1,977.0
Electricity,capacity,elec_CA,CA_small_hydroelectric_1,CA_small_hydroelectric_1_elec_edge,MustRun,capacity,1,238.0
Electricity,capacity,elec_CO,CO_biomass_1,CO_biomass_1_elec_edge,MustRun,capacity,1,9.2
Electricity,capacity,elec_CO,CO_small_hydroelectric_1,CO_small_hydroelectric_1_elec_edge,MustRun,capacity,1,74.7
Electricity,capacity,elec_ID,ID_biomass_1,ID_biomass_1_elec_edge,MustRun,capacity,1,7.6
Electricity,capacity,elec_ID,ID_geothermal_1,ID_geothermal_1_elec_edge,MustRun,capacity,1,12.2
Electricity,capacity,elec_ID,ID_small_hydroelectric_1,ID_small_hydroelectric_1_elec_edge,MustRun,capacity,1,198.9
