elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
16692.0,28438.0,14700.0,5956.0,3386.0,3881.0,8787.0,12034.0,8947.0,20180.0,3336.0
15828.0,28365.0,13922.0,5712.0,3214.0,3718.0,8690.0,11880.0,8583.0,19973.0,3228.0
14591.0,26628.0,12954.0,5332.0,2975.0,3469.0,8241.0,11240.0,8040.0,18949.0,3121.0
13223.0,24924.0,11888.0,4928.0,2726.0,3203.0,7828.0,10557.0,7385.0,17779.0,2900.0
12038.0,22888.0,11020.0,4503.0,2504.0,2961.0,7318.0,9712.0,6699.0,16308.0,2759.0
11280.0,20377.0,10432.0,4210.0,2374.0,2812.0,6741.0,8800.0,6339.0,14760.0,2696.0
10782.0,18318.0,10128.0,4039.0,2303.0,2746.0,6238.0,8000.0,6149.0,13427.0,2679.0
10517.0,16884.0,9821.0,3902.0,2221.0,2713.0,5891.0,7582.0,5987.0,12648.0,2644.0
10670.0,15847.0,9769.0,3880.0,2241.0,2742.0,5641.0,7360.0,5940.0,12227.0,2633.0
11443.0,15214.0,10150.0,4016.0,2313.0,2866.0,5538.0,7261.0,6122.0,12002.0,2635.0
13003.0,15061.0,11346.0,4448.0,2625.0,3136.0,5629.0,7359.0,6771.0,12254.0,2709.0
14365.0,15970.0,12769.0,5089.0,3009.0,3396.0,5846.0,8092.0,7826.0,13319.0,2922.0
15355.0,18286.0,14134.0,5585.0,3259.0,3708.0,6476.0,9345.0,8625.0,15498.0,3151.0
15333.0,21527.0,14285.0,5716.0,3263.0,3784.0,7020.0,10446.0,8713.0,17280.0,3210.0
14782.0,24317.0,13899.0,5624.0,3179.0,3743.0,7586.0,10964.0,8544.0,18168.0,3239.0
14243.0,25024.0,13277.0,5440.0,3078.0,3672.0,7791.0,10978.0,8314.0,18118.0,3184.0
14013.0,24371.0,12996.0,5297.0,3004.0,3605.0,7631.0,10724.0,8152.0,17643.0,3140.0
13871.0,23689.0,12690.0,5195.0,2982.0,3549.0,7398.0,10409.0,7996.0,17062.0,3074.0
13702.0,23560.0,12611.0,5102.0,2943.0,3482.0,7320.0,10222.0,7894.0,16716.0,3057.0
14120.0,23263.0,13029.0,5115.0,3003.0,3513.0,7251.0,10124.0,7961.0,16503.0,3156.0
14821.0,22835.0,13757.0,5243.0,3139.0,3544.0,7180.0,10010.0,8170.0,16304.0,3229.0
16086.0,23632.0,14999.0,5592.0,3371.0,3746.0,7365.0,10173.0,8596.0,16670.0,3294.0
17367.0,24861.0,15920.0,5996.0,3581.0,4004.0,7843.0,10681.0,9064.0,17714.0,3445.0
