elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
11338.0,21772.0,10643.0,4226.0,2418.0,3097.0,6433.0,8973.0,6171.0,15979.0,2614.0
10323.0,19778.0,9798.0,3885.0,2203.0,2841.0,6021.0,8264.0,5660.0,14736.0,2530.0
9572.0,17577.0,9067.0,3592.0,2066.0,2680.0,5544.0,7532.0,5258.0,13370.0,2447.0
9181.0,15749.0,8785.0,3361.0,1976.0,2567.0,5107.0,6952.0,5019.0,12205.0,2431.0
8916.0,14683.0,8645.0,3280.0,1916.0,2512.0,4908.0,6602.0,4874.0,11583.0,2502.0
8861.0,13985.0,8560.0,3248.0,1888.0,2459.0,4757.0,6456.0,4810.0,11318.0,2496.0
9086.0,13592.0,8567.0,3256.0,1912.0,2520.0,4682.0,6418.0,4820.0,11219.0,2442.0
9759.0,13592.0,8849.0,3404.0,1990.0,2613.0,4688.0,6591.0,5021.0,11579.0,2453.0
10916.0,14315.0,9572.0,3787.0,2233.0,2868.0,4980.0,7278.0,5544.0,12801.0,2454.0
11670.0,16334.0,10405.0,4252.0,2505.0,3083.0,5375.0,8287.0,6219.0,14635.0,2552.0
11968.0,18514.0,11340.0,4566.0,2630.0,3298.0,5732.0,9182.0,6741.0,16243.0,2739.0
11793.0,20267.0,11407.0,4621.0,2654.0,3338.0,6106.0,9527.0,6756.0,16925.0,2798.0
11480.0,21214.0,11145.0,4634.0,2618.0,3293.0,6349.0,9663.0,6774.0,17076.0,2915.0
11223.0,20545.0,10671.0,4656.0,2534.0,3261.0,6240.0,9582.0,6746.0,16964.0,3019.0
11103.0,20059.0,10382.0,4592.0,2509.0,3201.0,5975.0,9390.0,6608.0,16499.0,2976.0
11175.0,19931.0,10282.0,4542.0,2497.0,3151.0,5912.0,9301.0,6479.0,16343.0,2945.0
11055.0,19834.0,10233.0,4419.0,2478.0,3061.0,5775.0,9275.0,6233.0,16168.0,2893.0
11302.0,19149.0,10479.0,4427.0,2520.0,3051.0,5695.0,9137.0,6270.0,15858.0,2861.0
11536.0,19529.0,11008.0,4505.0,2644.0,3029.0,5711.0,9306.0,6355.0,16231.0,2746.0
12560.0,20933.0,12074.0,4809.0,2833.0,3299.0,6179.0,9961.0,6742.0,17563.0,2810.0
13505.0,23441.0,12573.0,5021.0,2946.0,3495.0,6805.0,10575.0,7001.0,18716.0,2905.0
13389.0,24564.0,12568.0,5004.0,2925.0,3469.0,7016.0,10767.0,7050.0,19208.0,2872.0
13037.0,24393.0,12136.0,4885.0,2819.0,3363.0,7012.0,10703.0,6889.0,19011.0,2863.0
12291.0,23188.0,11522.0,4690.0,2728.0,3227.0,6772.0,10315.0,6650.0,18358.0,2818.0
11298.0,21791.0,10572.0,4416.0,2537.0,3053.0,6521.0,9718.0,6301.0,17370.0,2666.0
10316.0,19733.0,9711.0,4041.0,2296.0,2814.0,6089.0,8960.0,5836.0,15979.0,2600.0
9585.0,17482.0,9079.0,3769.0,2151.0,2624.0,5570.0,8210.0,5533.0,14579.0,2536.0
9052.0,15809.0,8668.0,3599.0,2040.0,2497.0,5121.0,7509.0,5362.0,13310.0,2511.0
8775.0,14593.0,8619.0,3533.0,2004.0,2419.0,4868.0,7149.0,5205.0,12762.0,2596.0
8753.0,13775.0,8449.0,3486.0,1976.0,2384.0,4698.0,6962.0,5129.0,12434.0,2568.0
8957.0,13433.0,8517.0,3506.0,1994.0,2410.0,4643.0,6941.0,5178.0,12376.0,2542.0
9697.0,13510.0,8843.0,3699.0,2080.0,2522.0,4650.0,7112.0,5399.0,12750.0,2585.0
10848.0,14182.0,9678.0,4097.0,2338.0,2735.0,4876.0,7798.0,5927.0,13951.0,2595.0
11538.0,16204.0,10495.0,4575.0,2597.0,2979.0,5339.0,8820.0,6614.0,15758.0,2658.0
11794.0,18525.0,11521.0,4883.0,2722.0,3171.0,5696.0,9625.0,7238.0,17235.0,2883.0
11797.0,20416.0,11703.0,4886.0,2696.0,3212.0,6103.0,9995.0,7228.0,17744.0,2933.0
11485.0,21208.0,11428.0,4817.0,2642.0,3198.0,6267.0,10121.0,7223.0,17853.0,3043.0
11269.0,20694.0,11018.0,4734.0,2586.0,3202.0,6224.0,9904.0,7105.0,17376.0,3128.0
11195.0,20297.0,10869.0,4639.0,2537.0,3151.0,6013.0,9651.0,7045.0,16885.0,3125.0
11145.0,20115.0,10798.0,4557.0,2483.0,3126.0,5900.0,9413.0,6914.0,16545.0,3075.0
11088.0,19881.0,10795.0,4439.0,2464.0,3051.0,5796.0,9345.0,6687.0,16285.0,3042.0
11095.0,19205.0,11112.0,4444.0,2506.0,3089.0,5685.0,9148.0,6662.0,15945.0,2965.0
11396.0,19468.0,11772.0,4511.0,2640.0,3081.0,5819.0,9273.0,6645.0,16347.0,2827.0
12494.0,20869.0,12888.0,4893.0,2852.0,3333.0,6308.0,9941.0,7099.0,17610.0,2942.0
13347.0,23522.0,13475.0,5127.0,2957.0,3494.0,6829.0,10616.0,7494.0,18744.0,3023.0
13365.0,24815.0,13490.0,5135.0,2962.0,3469.0,7065.0,10916.0,7579.0,19231.0,3016.0
12941.0,24695.0,12967.0,5022.0,2859.0,3348.0,7078.0,10831.0,7419.0,19109.0,2962.0
12340.0,23530.0,12500.0,4840.0,2744.0,3190.0,6881.0,10416.0,7125.0,18372.0,2927.0
11417.0,22216.0,11599.0,4572.0,2553.0,2994.0,6536.0,9841.0,6794.0,17449.0,2779.0
10379.0,20300.0,10717.0,4235.0,2343.0,2794.0,6149.0,9093.0,6240.0,16112.0,2700.0
9573.0,18070.0,10087.0,3961.0,2198.0,2618.0,5653.0,8282.0,5856.0,14619.0,2617.0
9135.0,16224.0,9664.0,3770.0,2099.0,2500.0,5229.0,7595.0,5641.0,13430.0,2591.0
8788.0,14947.0,9598.0,3707.0,2049.0,2440.0,4936.0,7235.0,5522.0,12814.0,2658.0
8690.0,14177.0,9396.0,3666.0,2025.0,2397.0,4828.0,7059.0,5449.0,12507.0,2643.0
8910.0,13841.0,9387.0,3690.0,2023.0,2412.0,4720.0,7014.0,5527.0,12437.0,2612.0
9522.0,13758.0,9761.0,3892.0,2136.0,2522.0,4772.0,7226.0,5759.0,12765.0,2614.0
10749.0,14636.0,10694.0,4301.0,2374.0,2756.0,4995.0,7887.0,6296.0,13918.0,2668.0
11432.0,16830.0,11533.0,4800.0,2636.0,3033.0,5434.0,8959.0,7021.0,15789.0,2740.0
11837.0,19122.0,12646.0,5126.0,2799.0,3290.0,5839.0,9776.0,7696.0,17201.0,2946.0
11993.0,21005.0,12821.0,5119.0,2789.0,3414.0,6215.0,10151.0,7665.0,17700.0,3011.0
11836.0,21862.0,12505.0,5089.0,2718.0,3447.0,6415.0,10292.0,7633.0,17906.0,3122.0
11755.0,21076.0,11950.0,4997.0,2609.0,3477.0,6345.0,10036.0,7465.0,17329.0,3179.0
11571.0,20558.0,11730.0,4795.0,2546.0,3423.0,6154.0,9702.0,7143.0,16663.0,3140.0
11634.0,20167.0,11554.0,4683.0,2513.0,3360.0,6037.0,9359.0,6928.0,16145.0,3094.0
11502.0,19890.0,11495.0,4538.0,2472.0,3322.0,5929.0,9260.0,6779.0,15982.0,3035.0
11647.0,19181.0,11686.0,4525.0,2531.0,3366.0,5805.0,9052.0,6761.0,15631.0,3011.0
12086.0,19427.0,12348.0,4546.0,2672.0,3387.0,5888.0,9236.0,6737.0,16021.0,2865.0
13111.0,20823.0,13390.0,5013.0,2877.0,3619.0,6393.0,9960.0,7305.0,17368.0,3001.0
13836.0,23646.0,14057.0,5250.0,3014.0,3776.0,6986.0,10722.0,7683.0,18632.0,3079.0
13778.0,24959.0,13950.0,5298.0,2974.0,3734.0,7252.0,11056.0,7687.0,19156.0,3059.0
13341.0,24839.0,13506.0,5225.0,2915.0,3607.0,7258.0,10970.0,7562.0,18992.0,3042.0
12741.0,23683.0,12976.0,5027.0,2807.0,3452.0,7082.0,10584.0,7342.0,18418.0,3009.0
11889.0,22477.0,11967.0,4764.0,2654.0,3255.0,6787.0,10039.0,6968.0,17494.0,2875.0
10775.0,20574.0,11034.0,4406.0,2449.0,2993.0,6437.0,9296.0,6425.0,16232.0,2782.0
10043.0,18328.0,10318.0,4102.0,2307.0,2796.0,5915.0,8548.0,6045.0,14821.0,2685.0
9584.0,16391.0,9902.0,3920.0,2223.0,2668.0,5505.0,7871.0,5757.0,13642.0,2674.0
9251.0,15131.0,9829.0,3835.0,2156.0,2569.0,5251.0,7508.0,5659.0,13085.0,2723.0
9146.0,14337.0,9612.0,3787.0,2142.0,2543.0,5092.0,7354.0,5627.0,12784.0,2702.0
9265.0,13894.0,9550.0,3823.0,2181.0,2560.0,5047.0,7303.0,5649.0,12769.0,2660.0
9932.0,13852.0,9894.0,3973.0,2270.0,2659.0,5076.0,7542.0,5863.0,13238.0,2653.0
11113.0,14620.0,10774.0,4382.0,2509.0,2880.0,5266.0,8253.0,6389.0,14480.0,2713.0
12010.0,16584.0,11678.0,4904.0,2773.0,3158.0,5681.0,9290.0,7129.0,16396.0,2779.0
12570.0,18837.0,12875.0,5242.0,2952.0,3464.0,6086.0,10172.0,7755.0,17919.0,3009.0
12535.0,20895.0,13028.0,5284.0,2949.0,3542.0,6579.0,10621.0,7756.0,18604.0,3065.0
12188.0,21699.0,12861.0,5216.0,2908.0,3539.0,6821.0,10732.0,7729.0,18625.0,3177.0
11868.0,21241.0,12393.0,5112.0,2798.0,3545.0,6748.0,10411.0,7571.0,17872.0,3223.0
11498.0,20916.0,12034.0,4944.0,2722.0,3453.0,6578.0,10068.0,7369.0,17062.0,3199.0
11352.0,20642.0,11910.0,4791.0,2649.0,3408.0,6457.0,9704.0,7115.0,16453.0,3152.0
11064.0,20556.0,11824.0,4627.0,2618.0,3323.0,6331.0,9482.0,6921.0,16083.0,3054.0
11093.0,19904.0,11989.0,4610.0,2659.0,3300.0,6327.0,9216.0,6836.0,15688.0,2979.0
11299.0,20227.0,12554.0,4639.0,2774.0,3288.0,6428.0,9444.0,6912.0,16102.0,2851.0
12510.0,21550.0,13546.0,5024.0,2902.0,3555.0,6934.0,10144.0,7360.0,17532.0,2947.0
