elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
17934.515625902604,30494.89769873057,15817.065810173046,6394.960149036125,3577.661878770468,4014.2758358662613,9434.809482001756,12746.557636422345,9693.672210300429,21415.53185555609,3442.169711255156
16989.05509507557,30432.023406933622,14951.540076203672,6124.792969410174,3389.586488942745,3827.193214948317,9337.87595695107,12584.503678875082,9291.46642793196,21194.490137012923,3323.1344102407797
15644.505953168407,28516.012913522925,13915.252289138689,5716.6686583378605,3134.5239030779308,3559.137695590327,8842.634660421545,11890.269456935315,8699.21414913958,20070.961047614164,3212.152777777778
14153.864134404675,26682.436102174506,12722.516540681134,5274.449911782004,2860.3662374821174,3272.0892526250773,8390.417365564874,11159.072395689416,7986.928162415409,18813.63857002296,2978.136147038802
12832.185664870081,24475.589171840027,11714.633204293506,4810.273684210526,2617.328644001563,3007.0405360134005,7835.196831683168,10252.82596934175,7223.466015232074,17238.209349472305,2823.1036213696666
11977.60393910725,21757.61792631979,11035.124778678595,4481.032903819604,2474.2578382838283,2845.028652281571,7199.86456241033,9262.464400398627,6822.225752508361,15564.664973614774,2746.0621323529413
11416.307553632594,19477.420269912676,10666.727036645187,4292.952712433989,2389.1878994461013,2768.0090645395217,6636.554001554002,8382.07848163066,6605.038588235294,14091.978561046511,2729.044698928703
11105.998982423682,17878.538983831062,10304.455223138852,4140.89552238806,2300.1769911504425,2728.005882352941,6249.334871456822,7937.021010569734,6416.846315110466,13251.737451737452,2680.0375939849623
11238.814787768142,16721.918626788676,10227.323029211684,4109.813266583229,2316.1421052631576,2754.0032751091703,5967.130427291522,7691.915481727574,6358.758985200846,12777.501279795233,2664.0241691842903
12048.88960762618,15992.412254839122,10633.362420627285,4243.786873334948,2396.1873406966865,2885.008695652174,5843.042369901547,7574.799056603773,6551.806976010102,12518.35745166816,2674.0376789751317
13719.37137938777,15783.077481683202,11954.956999399194,4698.868110236221,2730.272421524664,3181.045612923662,5927.9736887657955,7640.634630765129,7254.0536223616655,12714.040929114937,2764.0716374269005
15270.478633632621,16717.116869607784,13590.157750967448,5393.1022900763355,3146.375568551007,3479.1283095723015,6156.987837387537,8405.756760033952,8406.59120039438,13827.207369196758,3014.1344989912577
16422.38615481435,19187.702161729383,15161.474974393992,5951.467915365939,3434.6055622009567,3825.223254579241,6844.27106172098,9732.966037735849,9299.15,16140.61830709906,3255.1950078003124
16379.330578512396,22748.20281015632,15324.496352337206,6090.465187192953,3449.6584202682566,3870.1152037617558,7470.762943531686,10951.48401570387,9376.010615946036,18130.53863533665,3295.0994169990795
15718.529211199264,25849.81834130782,14854.940452173912,5971.305900621118,3357.5922300397674,3802.051934287228,8108.153963803212,11570.023877152493,9150.577549174768,19203.534678368833,3282.0248161764703
15130.325910793326,26566.747159861967,14157.496719160104,5759.114464285714,3242.558581380621,3715.0327646899536,8314.098857426727,11590.074898067718,8887.378067217118,19160.62719321779,3209.0112605567724
14881.260108003324,25792.02552139411,13854.411755941295,5606.0876903320495,3165.518638573744,3637.0176746755037,8125.888832487309,11247.514470331269,8715.358083264146,18535.774453967377,3163.0114249444623
14737.201174332447,24946.028993255466,13520.238153376575,5495.02431724654,3140.5228758169933,3577.0137524557954,7866.793867120953,10879.286076662907,8541.237329139953,17856.24561805476,3082.001299545159
14555.150813871196,24782.82342476521,13438.258542578513,5404.099980956008,3101.584686774942,3503.0071571714857,7776.691482315538,10685.287409108305,8441.26472388882,17490.17804935095,3070.0013046314416
15035.53470983674,24536.23183796451,13918.625102055963,5428.154240182128,3164.4928710304603,3552.028312570782,7711.768048128342,10597.344015444014,8535.479568327877,17292.2734051367,3189.0255439924313
15861.338960954305,24139.4975516287,14770.48870967742,5591.397525849336,3311.5733333333337,3648.202838063439,7634.723909815039,10492.404741000879,8805.94143984918,17109.418497455852,3312.110262675626
17305.499520785914,25037.005383414154,16127.074614395888,6001.795031055901,3559.6103259301985,3893.3584708038757,7854.956104612958,10722.77012154273,9328.696462448388,17602.141173037642,3401.201851298895
18694.04060350566,26522.67222049206,17162.773081806637,6446.053554197491,3792.7915309446253,4159.35366152339,8395.346187014908,11287.076026586543,9844.981381571988,18745.62349133202,3573.391254644184
18625.06381201626,29414.559816004778,17052.697353209613,6579.974189486938,3751.8004391984628,4162.372428991185,9147.543810062183,12199.322461019805,9833.986019911035,20318.172695035464,3533.209542972118
17779.45600745834,31726.779693611472,16336.043698864718,6424.8791686805225,3581.718184429761,3984.277947932619,9551.953140253823,12703.537377500606,9533.654408555216,21199.640180784372,3444.342417061611
17011.119931815418,31455.92751192238,15469.52325192372,6140.718207849082,3396.5852478839183,3819.1936254980083,9525.888876807654,12539.5715341049,9176.4307082153,20955.634361016866,3314.1347799511
15643.576788195593,29490.97535840724,14418.275168749104,5746.65964343598,3144.470664928292,3537.1515325121745,9060.674702925045,11963.227081364379,8615.166505791505,19911.052307851347,3187.1684177013694
14120.805285118218,27572.389736477115,13134.53694813882,5291.479476153245,2879.3637655417406,3253.0897794346074,8612.456631427198,11188.983751032774,7895.883243385547,18640.673307212626,3012.1213853396102
12931.192848020433,25119.61433096129,11932.737515120096,4842.231819151205,2649.2809248554913,3012.0481927710844,8109.187507966857,10307.815962534874,7271.449122306264,17174.30668822226,2855.1721807186054
12089.609269830451,22432.57286825273,11207.176378819859,4509.057639524245,2494.2557283142387,2873.028371278459,7401.844490934448,9376.471727004266,6825.187452529242,15536.696893588896,2758.061859443631
11591.300612407917,19855.303190661478,10793.784464727134,4318.977565632458,2410.204564666103,2799.0129171151775,6862.501276084671,8496.13347789423,6558.053729456385,14122.04759141033,2745.052921719956
11328.958578809026,18178.394119310153,10510.547821000291,4198.882785679254,2331.1745962461805,2748.0058394160583,6453.320733652312,8074.958101265822,6438.839787883658,13364.769201317098,2730.0369003690034
11530.844675740593,16927.85543629859,10359.328856409244,4156.803809995052,2337.1408083441984,2768.0032585083277,6263.130085301837,7845.8754068480675,6436.77108433735,12896.509152864726,2683.037551633496
