elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
11673.0,22583.0,11172.0,4375.0,2507.0,3227.0,6655.0,9254.0,6425.0,16481.0,2738.0
10621.0,20520.0,10291.0,4021.0,2281.0,2963.0,6226.0,8532.0,5890.0,15214.0,2658.0
9824.0,18217.0,9501.0,3711.0,2136.0,2792.0,5722.0,7769.0,5464.0,13793.0,2570.0
9402.0,16272.0,9182.0,3466.0,2042.0,2673.0,5254.0,7161.0,5210.0,12566.0,2541.0
9121.0,15121.0,9032.0,3379.0,1978.0,2608.0,5037.0,6788.0,5057.0,11901.0,2633.0
9048.0,14357.0,8932.0,3342.0,1946.0,2538.0,4873.0,6624.0,4989.0,11608.0,2626.0
9261.0,13915.0,8929.0,3346.0,1966.0,2597.0,4786.0,6574.0,4995.0,11483.0,2570.0
9944.0,13886.0,9201.0,3493.0,2046.0,2692.0,4785.0,6739.0,5198.0,11826.0,2570.0
11134.0,14605.0,9937.0,3884.0,2297.0,2953.0,5082.0,7434.0,5742.0,13054.0,2561.0
11947.0,16684.0,10843.0,4367.0,2579.0,3189.0,5497.0,8452.0,6450.0,14906.0,2656.0
12307.0,19014.0,11891.0,4712.0,2722.0,3422.0,5895.0,9388.0,7022.0,16592.0,2858.0
12138.0,20938.0,11994.0,4775.0,2748.0,3465.0,6309.0,9787.0,7030.0,17375.0,2930.0
11814.0,22000.0,11711.0,4805.0,2709.0,3426.0,6590.0,9966.0,7070.0,17599.0,3081.0
11565.0,21243.0,11198.0,4838.0,2615.0,3407.0,6469.0,9877.0,7054.0,17479.0,3211.0
11440.0,20755.0,10884.0,4770.0,2586.0,3336.0,6183.0,9681.0,6910.0,17000.0,3169.0
11515.0,20629.0,10769.0,4716.0,2573.0,3281.0,6114.0,9588.0,6768.0,16832.0,3140.0
11373.0,20523.0,10708.0,4576.0,2554.0,3183.0,5957.0,9558.0,6488.0,16649.0,3057.0
11619.0,19727.0,10978.0,4579.0,2597.0,3161.0,5866.0,9383.0,6515.0,16278.0,3018.0
11892.0,20118.0,11510.0,4648.0,2732.0,3140.0,5883.0,9553.0,6590.0,16653.0,2869.0
12960.0,21607.0,12629.0,4968.0,2930.0,3413.0,6370.0,10229.0,6997.0,18030.0,2930.0
13945.0,24247.0,13196.0,5193.0,3053.0,3623.0,7028.0,10880.0,7279.0,19249.0,3031.0
13828.0,25507.0,13205.0,5182.0,3031.0,3600.0,7265.0,11113.0,7345.0,19811.0,2999.0
13434.0,25349.0,12737.0,5054.0,2916.0,3488.0,7264.0,11048.0,7166.0,19618.0,2991.0
12661.0,24050.0,12097.0,4850.0,2823.0,3351.0,7006.0,10637.0,6913.0,18919.0,2948.0
11641.0,22593.0,11092.0,4570.0,2626.0,3183.0,6741.0,10020.0,6553.0,17900.0,2789.0
10615.0,20463.0,10196.0,4179.0,2377.0,2936.0,6294.0,9251.0,6067.0,16484.0,2727.0
9844.0,18106.0,9513.0,3894.0,2226.0,2733.0,5745.0,8469.0,5752.0,15025.0,2660.0
9275.0,16320.0,9054.0,3712.0,2106.0,2599.0,5265.0,7728.0,5575.0,13683.0,2631.0
8973.0,15015.0,9005.0,3639.0,2069.0,2510.0,4993.0,7343.0,5406.0,13092.0,2729.0
8935.0,14131.0,8812.0,3588.0,2035.0,2459.0,4809.0,7138.0,5324.0,12734.0,2699.0
9133.0,13739.0,8867.0,3600.0,2050.0,2484.0,4742.0,7102.0,5368.0,12648.0,2670.0
9874.0,13788.0,9187.0,3797.0,2135.0,2597.0,4742.0,7268.0,5591.0,13006.0,2704.0
11061.0,14456.0,10047.0,4202.0,2399.0,2814.0,4974.0,7956.0,6143.0,14212.0,2704.0
11808.0,16537.0,10937.0,4701.0,2675.0,3078.0,5461.0,8990.0,6867.0,16040.0,2764.0
12116.0,19012.0,12081.0,5042.0,2816.0,3287.0,5861.0,9840.0,7549.0,17591.0,3006.0
12135.0,21083.0,12306.0,5050.0,2793.0,3329.0,6306.0,10264.0,7531.0,18203.0,3067.0
11814.0,21991.0,12016.0,4998.0,2735.0,3323.0,6499.0,10436.0,7549.0,18396.0,3213.0
11609.0,21408.0,11573.0,4924.0,2673.0,3340.0,6453.0,10215.0,7441.0,17904.0,3321.0
11522.0,21015.0,11405.0,4826.0,2620.0,3281.0,6222.0,9957.0,7380.0,17396.0,3320.0
11472.0,20836.0,11316.0,4741.0,2565.0,3253.0,6098.0,9712.0,7238.0,17043.0,3275.0
11394.0,20589.0,11301.0,4603.0,2547.0,3171.0,5982.0,9637.0,6978.0,16775.0,3214.0
11396.0,19797.0,11643.0,4603.0,2590.0,3196.0,5859.0,9399.0,6944.0,16367.0,3137.0
11736.0,20071.0,12313.0,4661.0,2730.0,3190.0,5995.0,9523.0,6915.0,16773.0,2958.0
12871.0,21557.0,13495.0,5057.0,2951.0,3446.0,6503.0,10215.0,7390.0,18081.0,3068.0
13769.0,24342.0,14157.0,5307.0,3069.0,3622.0,7054.0,10927.0,7815.0,19280.0,3157.0
