Period_Index,Rep_Period,Rep_Period_Index
1,295,2
2,295,2
3,295,2
4,295,2
5,295,2
6,295,2
7,295,2
8,295,2
9,295,2
10,295,2
11,295,2
12,295,2
13,295,2
14,295,2
15,295,2
16,295,2
17,295,2
18,295,2
19,295,2
20,295,2
21,295,2
22,295,2
23,295,2
24,295,2
25,295,2
26,295,2
27,295,2
28,295,2
29,295,2
30,295,2
31,295,2
32,295,2
33,295,2
34,295,2
35,295,2
36,295,2
37,295,2
38,295,2
39,295,2
40,295,2
41,295,2
42,295,2
43,295,2
44,295,2
45,295,2
46,295,2
47,295,2
48,295,2
49,295,2
50,295,2
51,295,2
52,295,2
53,295,2
54,295,2
55,295,2
56,295,2
57,295,2
58,295,2
59,295,2
60,295,2
61,295,2
62,295,2
63,295,2
64,295,2
65,295,2
66,295,2
67,295,2
68,295,2
69,295,2
70,295,2
71,295,2
72,295,2
73,295,2
74,295,2
75,295,2
76,295,2
77,295,2
78,295,2
79,295,2
80,295,2
81,295,2
82,295,2
83,295,2
84,295,2
85,295,2
86,295,2
87,295,2
88,295,2
89,295,2
90,295,2
91,295,2
92,295,2
93,295,2
94,295,2
95,295,2
96,295,2
97,295,2
98,295,2
99,295,2
100,295,2
101,295,2
102,295,2
103,295,2
104,295,2
105,295,2
106,295,2
107,295,2
108,295,2
109,295,2
110,295,2
111,295,2
112,295,2
113,295,2
114,295,2
115,295,2
116,295,2
117,295,2
118,295,2
119,295,2
120,295,2
121,295,2
122,295,2
123,295,2
124,295,2
125,295,2
126,295,2
127,295,2
128,295,2
129,295,2
130,295,2
131,295,2
132,295,2
133,295,2
134,295,2
135,295,2
136,295,2
137,295,2
138,295,2
139,295,2
140,295,2
141,295,2
142,295,2
143,295,2
144,295,2
145,295,2
146,295,2
147,295,2
148,295,2
149,295,2
150,295,2
151,295,2
152,295,2
153,295,2
154,295,2
155,295,2
156,295,2
157,295,2
158,295,2
159,295,2
160,295,2
161,295,2
162,295,2
163,295,2
164,295,2
165,295,2
166,295,2
167,295,2
168,295,2
169,295,2
170,295,2
171,295,2
172,295,2
173,295,2
174,295,2
175,295,2
176,295,2
177,295,2
178,295,2
179,295,2
180,295,2
181,295,2
182,295,2
183,295,2
184,295,2
185,295,2
186,295,2
187,295,2
188,295,2
189,295,2
190,295,2
191,295,2
192,295,2
193,295,2
194,295,2
195,295,2
196,295,2
197,295,2
198,295,2
199,295,2
200,295,2
201,295,2
202,295,2
203,295,2
204,295,2
205,295,2
206,295,2
207,207,1
208,295,2
209,295,2
210,295,2
211,295,2
212,295,2
213,295,2
214,295,2
215,295,2
216,295,2
217,295,2
218,295,2
219,295,2
220,295,2
221,295,2
222,295,2
223,295,2
224,295,2
225,295,2
226,295,2
227,295,2
228,295,2
229,295,2
230,295,2
231,295,2
232,295,2
233,295,2
234,295,2
235,295,2
236,295,2
237,295,2
238,295,2
239,295,2
240,295,2
241,295,2
242,295,2
243,295,2
244,295,2
245,295,2
246,295,2
247,295,2
248,295,2
249,295,2
250,295,2
251,295,2
252,295,2
253,295,2
254,295,2
255,295,2
256,295,2
257,295,2
258,295,2
259,295,2
260,295,2
261,295,2
262,295,2
263,295,2
264,295,2
265,295,2
266,295,2
267,295,2
268,295,2
269,295,2
270,295,2
271,295,2
272,295,2
273,295,2
274,295,2
275,295,2
276,295,2
277,295,2
278,295,2
279,295,2
280,295,2
281,295,2
282,295,2
283,295,2
284,295,2
285,295,2
286,295,2
287,295,2
288,295,2
289,295,2
290,295,2
291,295,2
292,295,2
293,295,2
294,295,2
295,295,2
296,295,2
297,295,2
298,295,2
299,299,3
300,295,2
301,295,2
302,295,2
303,295,2
304,295,2
305,295,2
306,295,2
307,295,2
308,295,2
309,295,2
310,295,2
311,295,2
312,295,2
313,295,2
314,295,2
315,295,2
316,295,2
317,295,2
318,295,2
319,295,2
320,295,2
321,295,2
322,295,2
323,295,2
324,295,2
325,295,2
326,295,2
327,295,2
328,295,2
329,295,2
330,295,2
331,295,2
332,295,2
333,295,2
334,295,2
335,295,2
336,295,2
337,295,2
338,295,2
339,339,4
340,295,2
341,295,2
342,295,2
343,295,2
344,295,2
345,295,2
346,295,2
347,295,2
348,295,2
349,295,2
350,295,2
351,295,2
352,295,2
353,295,2
354,295,2
355,295,2
356,295,2
357,295,2
358,295,2
359,295,2
360,295,2
361,295,2
362,295,2
363,295,2
364,295,2
365,295,2
