elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
17620.0,29974.0,15534.0,6283.0,3529.0,3981.0,9272.0,12566.0,9505.0,21104.0,3418.0
16696.0,29908.0,14691.0,6020.0,3345.0,3800.0,9174.0,12407.0,9112.0,20886.0,3302.0
15379.0,28038.0,13672.0,5619.0,3094.0,3537.0,8690.0,11726.0,8532.0,19789.0,3190.0
13920.0,26237.0,12511.0,5187.0,2828.0,3255.0,8248.0,11007.0,7834.0,18552.0,2958.0
12630.0,24074.0,11539.0,4732.0,2588.0,2996.0,7704.0,10116.0,7090.0,17003.0,2806.0
11801.0,21408.0,10882.0,4413.0,2449.0,2836.0,7084.0,9146.0,6699.0,15361.0,2733.0
11254.0,19184.0,10531.0,4229.0,2368.0,2763.0,6535.0,8287.0,6489.0,13925.0,2718.0
10957.0,17627.0,10182.0,4080.0,2280.0,2724.0,6158.0,7847.0,6308.0,13100.0,2670.0
11096.0,16501.0,10111.0,4052.0,2298.0,2751.0,5885.0,7608.0,6253.0,12639.0,2656.0
11898.0,15796.0,10513.0,4186.0,2375.0,2880.0,5765.0,7497.0,6443.0,12388.0,2664.0
13539.0,15602.0,11802.0,4635.0,2703.0,3169.0,5852.0,7571.0,7132.0,12599.0,2750.0
15040.0,16529.0,13383.0,5316.0,3112.0,3458.0,6079.0,8326.0,8259.0,13698.0,2994.0
16154.0,18960.0,14901.0,5858.0,3389.0,3796.0,6751.0,9636.0,9128.0,15979.0,3230.0
16113.0,22439.0,15062.0,5996.0,3402.0,3849.0,7356.0,10824.0,9208.0,17916.0,3277.0
15483.0,25462.0,14613.0,5883.0,3313.0,3788.0,7976.0,11417.0,8997.0,18943.0,3273.0
14906.0,26176.0,13935.0,5679.0,3200.0,3704.0,8182.0,11435.0,8742.0,18897.0,3203.0
14661.0,25432.0,13637.0,5528.0,3125.0,3629.0,8002.0,11117.0,8572.0,18309.0,3157.0
14520.0,24629.0,13311.0,5420.0,3100.0,3570.0,7748.0,10761.0,8403.0,17656.0,3080.0
14341.0,24475.0,13229.0,5327.0,3059.0,3498.0,7662.0,10568.0,8303.0,17295.0,3068.0
14805.0,24214.0,13694.0,5349.0,3125.0,3542.0,7595.0,10478.0,8390.0,17094.0,3180.0
15599.0,23810.0,14513.0,5503.0,3268.0,3621.0,7520.0,10371.0,8645.0,16906.0,3293.0
16997.0,24683.0,15841.0,5898.0,3513.0,3856.0,7731.0,10585.0,9143.0,17367.0,3375.0
18358.0,26102.0,16848.0,6331.0,3738.0,4121.0,8255.0,11134.0,9647.0,18485.0,3536.0
18289.0,28943.0,16741.0,6466.0,3697.0,4123.0,8995.0,12031.0,9636.0,20027.0,3506.0
17468.0,31199.0,16049.0,6315.0,3531.0,3951.0,9384.0,12524.0,9347.0,20886.0,3410.0
16716.0,30926.0,15205.0,6038.0,3352.0,3792.0,9360.0,12360.0,8999.0,20644.0,3293.0
15376.0,29006.0,14170.0,5649.0,3106.0,3514.0,8905.0,11800.0,8450.0,19627.0,3164.0
13889.0,27121.0,12919.0,5203.0,2847.0,3236.0,8467.0,11040.0,7745.0,18379.0,2993.0
12728.0,24712.0,11752.0,4765.0,2622.0,3000.0,7976.0,10171.0,7138.0,16936.0,2833.0
