elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
9751.0,18010.0,8244.0,3529.0,2010.0,2503.0,5406.0,7674.0,4981.0,13645.0,2086.0
8922.0,16340.0,7583.0,3252.0,1836.0,2287.0,5069.0,7027.0,4581.0,12519.0,1990.0
8383.0,14604.0,7116.0,3033.0,1741.0,2176.0,4708.0,6440.0,4294.0,11411.0,1928.0
8145.0,13320.0,7005.0,2864.0,1681.0,2099.0,4428.0,5990.0,4119.0,10531.0,1928.0
7977.0,12665.0,6927.0,2824.0,1639.0,2090.0,4311.0,5751.0,4015.0,10116.0,1950.0
7991.0,12278.0,6912.0,2813.0,1626.0,2104.0,4216.0,5679.0,3966.0,9984.0,1945.0
8252.0,12116.0,6959.0,2843.0,1661.0,2178.0,4194.0,5700.0,3994.0,10003.0,1913.0
8897.0,12261.0,7279.0,2990.0,1738.0,2268.0,4229.0,5907.0,4177.0,10433.0,1957.0
9900.0,12990.0,7920.0,3335.0,1950.0,2489.0,4498.0,6561.0,4608.0,11622.0,1999.0
10371.0,14712.0,8400.0,3704.0,2159.0,2602.0,4796.0,7508.0,5125.0,13355.0,2110.0
10366.0,16186.0,8803.0,3882.0,2219.0,2708.0,4975.0,8203.0,5417.0,14598.0,2211.0
10150.0,17116.0,8723.0,3901.0,2228.0,2730.0,5146.0,8304.0,5452.0,14813.0,2223.0
9912.0,17583.0,8569.0,3843.0,2210.0,2662.0,5226.0,8252.0,5385.0,14644.0,2189.0
9639.0,17340.0,8295.0,3836.0,2154.0,2588.0,5172.0,8216.0,5323.0,14586.0,2187.0
9545.0,16924.0,8134.0,3777.0,2142.0,2567.0,5016.0,8059.0,5217.0,14207.0,2128.0
9600.0,16795.0,8099.0,3751.0,2140.0,2544.0,4985.0,7989.0,5151.0,14096.0,2129.0
9563.0,16739.0,8108.0,3697.0,2127.0,2501.0,4928.0,7977.0,5042.0,13971.0,2178.0
9795.0,16529.0,8246.0,3712.0,2149.0,2541.0,4896.0,7987.0,5123.0,13914.0,2183.0
9864.0,16827.0,8741.0,3818.0,2249.0,2528.0,4910.0,8148.0,5254.0,14258.0,2220.0
10697.0,17819.0,9553.0,4074.0,2390.0,2781.0,5286.0,8701.0,5551.0,15380.0,2290.0
11449.0,19708.0,9736.0,4212.0,2452.0,2903.0,5766.0,9146.0,5697.0,16227.0,2358.0
11362.0,20181.0,9668.0,4179.0,2432.0,2871.0,5848.0,9171.0,5671.0,16394.0,2318.0
11186.0,19941.0,9411.0,4099.0,2355.0,2789.0,5832.0,9087.0,5589.0,16185.0,2307.0
10574.0,19190.0,8914.0,3948.0,2286.0,2661.0,5682.0,8821.0,5415.0,15745.0,2254.0
9704.0,18063.0,8204.0,3706.0,2118.0,2468.0,5494.0,8305.0,5120.0,14900.0,2140.0
8906.0,16348.0,7529.0,3395.0,1923.0,2266.0,5138.0,7620.0,4754.0,13633.0,2057.0
8403.0,14591.0,7132.0,3187.0,1816.0,2135.0,4752.0,7013.0,4502.0,12513.0,2004.0
8013.0,13451.0,6942.0,3069.0,1734.0,2045.0,4444.0,6493.0,4362.0,11576.0,2002.0
7832.0,12664.0,6911.0,3040.0,1717.0,2014.0,4285.0,6248.0,4257.0,11235.0,2041.0
7882.0,12151.0,6847.0,3017.0,1708.0,2048.0,4179.0,6139.0,4208.0,11051.0,2004.0
8123.0,12038.0,6967.0,3053.0,1735.0,2087.0,4174.0,6185.0,4280.0,11115.0,2008.0
8848.0,12256.0,7310.0,3243.0,1823.0,2195.0,4209.0,6395.0,4483.0,11564.0,2084.0
9865.0,12950.0,8002.0,3601.0,2043.0,2383.0,4412.0,7056.0,4903.0,12738.0,2131.0
10276.0,14687.0,8467.0,3982.0,2242.0,2528.0,4770.0,8011.0,5424.0,14433.0,2206.0
10251.0,16263.0,8946.0,4141.0,2287.0,2631.0,4929.0,8618.0,5774.0,15555.0,2343.0
10196.0,17287.0,8946.0,4109.0,2249.0,2649.0,5142.0,8726.0,5782.0,15586.0,2341.0
9926.0,17589.0,8762.0,3973.0,2215.0,2612.0,5185.0,8645.0,5697.0,15334.0,2291.0
9695.0,17410.0,8517.0,3860.0,2187.0,2566.0,5160.0,8459.0,5550.0,14934.0,2267.0
9665.0,17047.0,8455.0,3783.0,2148.0,2546.0,5036.0,8252.0,5498.0,14540.0,2254.0
9600.0,16860.0,8468.0,3724.0,2104.0,2534.0,4981.0,8057.0,5406.0,14268.0,2233.0
9628.0,16688.0,8525.0,3681.0,2087.0,2501.0,4943.0,8008.0,5327.0,14050.0,2285.0
9648.0,16506.0,8736.0,3712.0,2113.0,2590.0,4874.0,7985.0,5334.0,13983.0,2249.0
9823.0,16692.0,9323.0,3808.0,2222.0,2590.0,4993.0,8104.0,5376.0,14354.0,2265.0
10748.0,17689.0,10118.0,4130.0,2390.0,2822.0,5392.0,8661.0,5733.0,15414.0,2386.0
11396.0,19724.0,10354.0,4285.0,2442.0,2908.0,5778.0,9159.0,5986.0,16248.0,2431.0
11409.0,20341.0,10310.0,4274.0,2448.0,2876.0,5886.0,9284.0,6030.0,16404.0,2421.0
11129.0,20142.0,9954.0,4201.0,2375.0,2784.0,5878.0,9188.0,5922.0,16255.0,2377.0
10642.0,19405.0,9586.0,4061.0,2286.0,2638.0,5776.0,8893.0,5712.0,15735.0,2337.0
9848.0,18366.0,8897.0,3824.0,2116.0,2424.0,5495.0,8400.0,5441.0,14949.0,2222.0
8992.0,16780.0,8238.0,3549.0,1952.0,2261.0,5190.0,7721.0,5019.0,13742.0,2126.0
8373.0,15028.0,7804.0,3341.0,1845.0,2123.0,4817.0,7062.0,4710.0,12517.0,2063.0
8081.0,13731.0,7608.0,3214.0,1777.0,2040.0,4528.0,6562.0,4571.0,11698.0,2061.0
7831.0,12885.0,7591.0,3188.0,1754.0,2027.0,4330.0,6322.0,4493.0,11288.0,2078.0
7818.0,12423.0,7501.0,3174.0,1749.0,2053.0,4284.0,6221.0,4447.0,11129.0,2068.0
8076.0,12356.0,7565.0,3219.0,1758.0,2082.0,4229.0,6242.0,4528.0,11172.0,2057.0
8669.0,12424.0,7950.0,3417.0,1867.0,2194.0,4306.0,6496.0,4731.0,11579.0,2093.0
9761.0,13305.0,8703.0,3783.0,2068.0,2397.0,4517.0,7130.0,5158.0,12712.0,2199.0
10176.0,15198.0,9168.0,4178.0,2271.0,2569.0,4854.0,8133.0,5683.0,14471.0,2262.0
10273.0,16733.0,9653.0,4344.0,2351.0,2733.0,5058.0,8740.0,6063.0,15530.0,2379.0
10350.0,17740.0,9617.0,4293.0,2328.0,2821.0,5232.0,8843.0,6049.0,15552.0,2384.0
10223.0,18056.0,9381.0,4194.0,2271.0,2815.0,5309.0,8762.0,5950.0,15387.0,2347.0
10120.0,17629.0,9047.0,4080.0,2193.0,2786.0,5266.0,8532.0,5785.0,14909.0,2307.0
9985.0,17164.0,8932.0,3909.0,2148.0,2758.0,5149.0,8242.0,5548.0,14333.0,2259.0
10042.0,16801.0,8833.0,3824.0,2122.0,2706.0,5079.0,7966.0,5381.0,13891.0,2242.0
10003.0,16625.0,8840.0,3756.0,2087.0,2711.0,5032.0,7904.0,5356.0,13769.0,2267.0
10148.0,16410.0,8953.0,3770.0,2132.0,2807.0,4950.0,7858.0,5363.0,13684.0,2277.0
10439.0,16598.0,9574.0,3825.0,2238.0,2835.0,5025.0,8042.0,5384.0,14033.0,2285.0
11278.0,17580.0,10344.0,4229.0,2400.0,3051.0,5447.0,8660.0,5854.0,15193.0,2429.0
11785.0,19779.0,10636.0,4386.0,2491.0,3128.0,5904.0,9248.0,6103.0,16141.0,2487.0
11712.0,20401.0,10505.0,4409.0,2448.0,3081.0,6025.0,9394.0,6083.0,16320.0,2459.0
11436.0,20191.0,10241.0,4373.0,2421.0,2989.0,6009.0,9294.0,6017.0,16132.0,2429.0
10945.0,19484.0,9828.0,4216.0,2338.0,2852.0,5913.0,9025.0,5859.0,15777.0,2393.0
10224.0,18539.0,9102.0,3985.0,2202.0,2635.0,5682.0,8567.0,5550.0,14998.0,2307.0
9324.0,16968.0,8411.0,3695.0,2048.0,2419.0,5410.0,7893.0,5140.0,13865.0,2201.0
8803.0,15227.0,7996.0,3467.0,1943.0,2269.0,5014.0,7298.0,4860.0,12725.0,2122.0
8499.0,13926.0,7816.0,3343.0,1886.0,2181.0,4728.0,6818.0,4654.0,11895.0,2136.0
8269.0,13087.0,7788.0,3294.0,1845.0,2128.0,4574.0,6574.0,4594.0,11545.0,2127.0
8243.0,12634.0,7679.0,3270.0,1845.0,2176.0,4475.0,6495.0,4582.0,11391.0,2109.0
8403.0,12438.0,7702.0,3326.0,1896.0,2211.0,4480.0,6518.0,4614.0,11497.0,2096.0
9044.0,12565.0,8052.0,3476.0,1979.0,2309.0,4544.0,6796.0,4804.0,12038.0,2123.0
10076.0,13338.0,8772.0,3844.0,2181.0,2497.0,4728.0,7481.0,5232.0,13245.0,2226.0
10685.0,14986.0,9262.0,4257.0,2384.0,2665.0,5045.0,8447.0,5784.0,15051.0,2287.0
10895.0,16525.0,9822.0,4434.0,2477.0,2862.0,5239.0,9106.0,6121.0,16199.0,2420.0
10771.0,17691.0,9764.0,4430.0,2456.0,2908.0,5512.0,9267.0,6146.0,16376.0,2418.0
10474.0,18037.0,9649.0,4297.0,2432.0,2867.0,5595.0,9154.0,6040.0,16040.0,2384.0
10157.0,17896.0,9370.0,4169.0,2351.0,2822.0,5546.0,8861.0,5865.0,15377.0,2335.0
9864.0,17590.0,9147.0,4032.0,2300.0,2765.0,5464.0,8567.0,5721.0,14673.0,2316.0
9742.0,17324.0,9093.0,3914.0,2240.0,2739.0,5378.0,8259.0,5536.0,14155.0,2279.0
9569.0,17288.0,9063.0,3833.0,2215.0,2697.0,5326.0,8077.0,5471.0,13836.0,2279.0
9625.0,17128.0,9124.0,3844.0,2242.0,2724.0,5352.0,7982.0,5432.0,13710.0,2241.0
9700.0,17396.0,9641.0,3901.0,2331.0,2726.0,5451.0,8219.0,5541.0,14113.0,2264.0
10718.0,18313.0,10370.0,4229.0,2414.0,2976.0,5850.0,8819.0,5887.0,15347.0,2374.0
11218.0,19902.0,10552.0,4350.0,2465.0,3068.0,6199.0,9281.0,6023.0,16253.0,2422.0
11204.0,20317.0,10426.0,4345.0,2458.0,3017.0,6273.0,9386.0,5954.0,16406.0,2395.0
10985.0,19915.0,10096.0,4226.0,2416.0,2925.0,6153.0,9207.0,5873.0,16160.0,2358.0
10594.0,19038.0,9802.0,4167.0,2328.0,2830.0,6016.0,8958.0,5712.0,15768.0,2360.0
10026.0,18084.0,9195.0,3922.0,2257.0,2670.0,5793.0,8581.0,5455.0,15197.0,2224.0
9324.0,16825.0,8514.0,3705.0,2112.0,2465.0,5482.0,7997.0,5056.0,14269.0,2109.0
8776.0,15163.0,8049.0,3451.0,2004.0,2314.0,5111.0,7348.0,4638.0,13214.0,2034.0
8375.0,13674.0,7872.0,3302.0,1935.0,2241.0,4699.0,6830.0,4480.0,12252.0,2040.0
8184.0,12807.0,7847.0,3219.0,1895.0,2194.0,4476.0,6544.0,4316.0,11790.0,2055.0
8132.0,12293.0,7771.0,3187.0,1867.0,2159.0,4328.0,6364.0,4272.0,11518.0,2007.0
8071.0,11952.0,7648.0,3192.0,1874.0,2179.0,4244.0,6350.0,4268.0,11426.0,2002.0
8316.0,11823.0,7784.0,3268.0,1919.0,2210.0,4246.0,6445.0,4318.0,11568.0,2000.0
8706.0,12034.0,7947.0,3440.0,1993.0,2305.0,4284.0,6611.0,4478.0,11913.0,2036.0
9065.0,12624.0,8267.0,3626.0,2101.0,2392.0,4356.0,6971.0,4745.0,12529.0,2061.0
9471.0,13406.0,8834.0,3846.0,2268.0,2547.0,4440.0,7538.0,5099.0,13535.0,2218.0
9798.0,14528.0,8949.0,4004.0,2291.0,2638.0,4645.0,7982.0,5334.0,14428.0,2287.0
9795.0,15354.0,9006.0,4061.0,2362.0,2661.0,4772.0,8305.0,5442.0,14999.0,2339.0
9728.0,15831.0,8865.0,4031.0,2355.0,2634.0,4844.0,8360.0,5409.0,15069.0,2314.0
9644.0,15734.0,8839.0,3963.0,2314.0,2631.0,4905.0,8284.0,5390.0,14795.0,2320.0
9526.0,15918.0,8730.0,3934.0,2283.0,2610.0,4853.0,8132.0,5310.0,14604.0,2285.0
9416.0,15957.0,8740.0,3852.0,2283.0,2601.0,4844.0,7936.0,5304.0,14376.0,2279.0
9464.0,15867.0,8606.0,3801.0,2286.0,2639.0,4804.0,7918.0,5266.0,14374.0,2197.0
9543.0,15962.0,9083.0,3874.0,2369.0,2570.0,4830.0,8011.0,5322.0,14568.0,2203.0
10401.0,16864.0,9825.0,4108.0,2489.0,2781.0,5209.0,8488.0,5604.0,15351.0,2241.0
10924.0,18309.0,9945.0,4155.0,2495.0,2827.0,5535.0,8838.0,5710.0,15903.0,2305.0
10825.0,18470.0,9908.0,4094.0,2457.0,2813.0,5539.0,8797.0,5644.0,15756.0,2270.0
10588.0,18082.0,9644.0,4021.0,2395.0,2742.0,5466.0,8633.0,5546.0,15530.0,2252.0
10249.0,17580.0,9448.0,3872.0,2319.0,2643.0,5426.0,8428.0,5404.0,15185.0,2206.0
9719.0,16962.0,8880.0,3704.0,2209.0,2506.0,5232.0,8101.0,5154.0,14660.0,2136.0
8996.0,15867.0,8275.0,3464.0,2076.0,2322.0,4978.0,7646.0,4845.0,13838.0,2043.0
8402.0,14580.0,7745.0,3246.0,1991.0,2167.0,4649.0,7162.0,4514.0,13022.0,1983.0
8119.0,13433.0,7536.0,3087.0,1923.0,2074.0,4408.0,6707.0,4358.0,12177.0,1981.0
7896.0,12629.0,7489.0,3032.0,1879.0,2049.0,4224.0,6441.0,4269.0,11685.0,1997.0
7804.0,12003.0,7350.0,3050.0,1874.0,2009.0,4108.0,6276.0,4193.0,11479.0,1996.0
7728.0,11639.0,7248.0,3050.0,1858.0,2009.0,4014.0,6237.0,4190.0,11434.0,1972.0
7906.0,11494.0,7286.0,3098.0,1889.0,2035.0,4006.0,6304.0,4281.0,11512.0,1981.0
8276.0,11694.0,7459.0,3189.0,1968.0,2097.0,4052.0,6508.0,4367.0,11991.0,1972.0
8542.0,12166.0,7583.0,3389.0,2069.0,2185.0,4115.0,6895.0,4554.0,12623.0,1993.0
8928.0,12830.0,8137.0,3593.0,2202.0,2328.0,4228.0,7384.0,4860.0,13557.0,2142.0
9372.0,13901.0,8259.0,3741.0,2260.0,2428.0,4441.0,7808.0,5038.0,14373.0,2211.0
9425.0,14598.0,8313.0,3776.0,2283.0,2446.0,4625.0,8061.0,5147.0,14764.0,2217.0
9418.0,15094.0,8152.0,3774.0,2262.0,2439.0,4788.0,8053.0,5143.0,14602.0,2220.0
9483.0,15313.0,8140.0,3784.0,2265.0,2451.0,4816.0,7964.0,5199.0,14273.0,2242.0
9451.0,15561.0,8018.0,3787.0,2242.0,2451.0,4882.0,7973.0,5147.0,14206.0,2238.0
9350.0,15633.0,8021.0,3769.0,2240.0,2466.0,4840.0,8000.0,5177.0,14052.0,2274.0
9468.0,15726.0,8070.0,3787.0,2285.0,2488.0,4840.0,8065.0,5200.0,14062.0,2240.0
9544.0,15933.0,8532.0,3875.0,2369.0,2461.0,4885.0,8275.0,5276.0,14412.0,2238.0
10468.0,16798.0,9244.0,4092.0,2536.0,2681.0,5274.0,8768.0,5505.0,15377.0,2285.0
