elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
65474.16942326568,112736.7983152564,54804.863960557974,21327.629767169507,13606.086534032958,14995.150377280735,35656.70602009167,45047.79853850482,31212.722151597492,79173.32817113872,13830.986180579739
60747.597693666125,104773.54592896672,52656.888314459255,20107.093892303372,12619.627644978265,14204.807693577906,33743.625970310466,41980.38278647265,29464.92292887145,73437.56901555072,13491.107382762084
57294.39460354773,98133.88590116115,49599.34643385618,19225.20380930761,12013.66004170181,13542.62868831337,31625.825177194747,39387.60180438541,27802.037028706993,68772.3903698438,13276.082020877444
55474.26880813116,90973.46822411593,48158.033785333915,18830.11705212551,11612.030351158113,13129.656835567748,29804.51649511523,37404.05351207823,27264.252652483596,64674.406696259284,12915.39431707095
54172.123476232344,87545.14703328822,47871.17058829793,18745.455604157916,11414.738573347175,13236.459900932996,28780.91277844263,36468.95217427627,26945.827692877636,62753.033728194576,12950.075827052344
54085.79339897939,84861.79859067834,48241.99374544201,18703.12488017412,11287.908144754429,13442.945827305808,27912.614453265185,36072.24251581484,26464.652198361964,62285.09787619358,13213.655302910935
55431.103769504676,85237.90133735143,50187.06615461284,19782.558341760934,11527.476732096282,13991.201562847411,27842.021093494663,37141.94177345192,28021.396445324433,63391.1280718323,13213.655302910935
58963.44276377162,88680.6880184358,53713.384479152766,21630.99995572005,12203.905684590929,15144.674668792082,28435.00531556706,40917.76762987952,30519.263350677847,68751.1205583892,13525.788892743476
63610.87858922263,94900.8488287983,56728.94637970178,23909.8039301811,13662.455613407514,15984.858782998695,29712.745127413546,46825.90790053733,34382.81952723015,77826.24011234796,14254.10060235274
68078.4600870633,104151.52984793046,59464.641746557165,25666.528975508656,14951.898304100434,17266.495567381666,32529.420182257454,50707.99527262424,37029.284747066355,85745.6999106073,14587.04309817412
72207.91544899656,112765.72929576972,61885.48726300719,26301.489835265606,15205.559161285928,18697.65664327598,34294.25417652055,51791.86273234923,37743.9718786264,89177.22949194796,15044.839029928513
