Period_Index,Rep_Period,Rep_Period_Index
1,266,3
2,266,3
3,266,3
4,266,3
5,266,3
6,266,3
7,266,3
8,266,3
9,266,3
10,94,1
11,94,1
12,94,1
13,279,4
14,94,1
15,279,4
16,279,4
17,279,4
18,279,4
19,187,2
20,187,2
21,279,4
22,187,2
23,279,4
24,187,2
25,187,2
26,187,2
27,187,2
28,187,2
29,187,2
30,187,2
31,187,2
32,187,2
33,187,2
34,187,2
35,187,2
36,94,1
37,94,1
38,94,1
39,94,1
40,94,1
41,94,1
42,266,3
43,94,1
44,94,1
45,94,1
46,266,3
47,266,3
48,266,3
49,266,3
50,266,3
51,266,3
52,266,3
53,266,3
54,266,3
55,266,3
56,266,3
57,266,3
58,266,3
59,266,3
60,94,1
61,94,1
62,94,1
63,94,1
64,94,1
65,94,1
66,94,1
67,279,4
68,279,4
69,279,4
70,279,4
71,279,4
72,279,4
73,279,4
74,279,4
75,279,4
76,279,4
77,187,2
78,187,2
79,187,2
80,187,2
81,187,2
82,187,2
83,187,2
84,187,2
85,187,2
86,187,2
87,187,2
88,94,1
89,94,1
90,94,1
91,94,1
92,94,1
93,94,1
94,94,1
95,94,1
96,94,1
97,266,3
98,266,3
99,266,3
100,266,3
101,266,3
102,266,3
103,266,3
104,266,3
105,266,3
106,266,3
107,266,3
108,266,3
109,266,3
110,266,3
111,266,3
112,94,1
113,266,3
114,266,3
115,94,1
116,94,1
117,279,4
118,279,4
119,279,4
120,279,4
121,279,4
122,279,4
123,279,4
124,279,4
125,279,4
126,187,2
127,279,4
128,279,4
129,279,4
130,187,2
131,187,2
132,187,2
133,187,2
134,187,2
135,187,2
136,187,2
137,187,2
138,187,2
139,187,2
140,94,1
141,94,1
142,94,1
143,94,1
144,94,1
145,94,1
146,94,1
147,94,1
148,266,3
149,266,3
150,266,3
151,266,3
152,266,3
153,266,3
154,266,3
155,266,3
156,266,3
157,266,3
158,266,3
159,266,3
160,266,3
161,266,3
162,266,3
163,266,3
164,94,1
165,266,3
166,94,1
167,266,3
168,94,1
169,94,1
170,94,1
171,94,1
172,94,1
173,94,1
174,279,4
175,279,4
176,187,2
177,279,4
178,279,4
179,279,4
180,279,4
181,279,4
182,187,2
183,279,4
184,187,2
185,187,2
186,187,2
187,187,2
188,187,2
189,187,2
190,187,2
191,187,2
192,94,1
193,94,1
194,94,1
195,94,1
196,94,1
197,94,1
198,94,1
199,94,1
200,266,3
201,94,1
202,266,3
203,266,3
204,266,3
205,266,3
206,266,3
207,266,3
208,266,3
209,266,3
210,266,3
211,266,3
212,266,3
213,266,3
214,266,3
215,266,3
216,279,4
217,279,4
218,279,4
219,279,4
220,279,4
221,279,4
222,279,4
223,279,4
224,279,4
225,279,4
226,279,4
227,279,4
228,279,4
229,279,4
230,279,4
231,279,4
232,279,4
233,279,4
234,279,4
235,279,4
236,187,2
237,279,4
238,187,2
239,187,2
240,187,2
241,187,2
242,187,2
243,187,2
244,187,2
245,187,2
246,94,1
247,94,1
248,94,1
249,94,1
250,94,1
251,94,1
252,94,1
253,266,3
254,266,3
255,266,3
256,266,3
257,266,3
258,266,3
259,266,3
260,266,3
261,266,3
262,266,3
263,266,3
264,266,3
265,266,3
266,266,3
267,266,3
268,266,3
269,266,3
270,266,3
271,266,3
272,266,3
273,279,4
274,279,4
275,279,4
276,279,4
277,279,4
278,279,4
279,279,4
280,187,2
281,279,4
282,279,4
283,187,2
284,279,4
285,279,4
286,279,4
287,187,2
288,187,2
289,187,2
290,187,2
291,187,2
292,187,2
293,187,2
294,187,2
295,187,2
296,187,2
297,94,1
298,94,1
299,94,1
300,94,1
301,94,1
302,94,1
303,94,1
304,94,1
305,94,1
306,266,3
307,266,3
308,266,3
309,266,3
310,266,3
311,266,3
312,266,3
313,266,3
314,266,3
315,266,3
316,266,3
317,266,3
318,266,3
319,266,3
320,266,3
321,266,3
322,94,1
323,94,1
324,94,1
325,94,1
326,94,1
327,279,4
328,279,4
329,279,4
330,279,4
331,279,4
332,187,2
333,279,4
334,279,4
335,279,4
336,187,2
337,187,2
338,279,4
339,187,2
340,187,2
341,187,2
342,187,2
343,187,2
344,187,2
345,187,2
346,187,2
347,187,2
348,94,1
349,94,1
350,94,1
351,94,1
352,94,1
353,94,1
354,94,1
355,94,1
356,94,1
357,266,3
358,94,1
359,266,3
360,266,3
361,266,3
362,266,3
363,266,3
364,266,3
365,266,3
