elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
10998.0,20962.0,10114.0,4075.0,2330.0,2965.0,6212.0,8694.0,5917.0,15476.0,2490.0
10023.0,19037.0,9307.0,3749.0,2122.0,2717.0,5818.0,7995.0,5430.0,14256.0,2402.0
9314.0,16937.0,8633.0,3471.0,1995.0,2567.0,5364.0,7296.0,5053.0,12946.0,2324.0
8958.0,15225.0,8388.0,3253.0,1912.0,2462.0,4962.0,6745.0,4828.0,11842.0,2312.0
8715.0,14248.0,8258.0,3182.0,1856.0,2418.0,4781.0,6418.0,4692.0,11263.0,2370.0
8678.0,13617.0,8189.0,3156.0,1830.0,2380.0,4641.0,6287.0,4632.0,11029.0,2363.0
8908.0,13274.0,8204.0,3167.0,1856.0,2443.0,4577.0,6263.0,4645.0,10957.0,2315.0
9578.0,13305.0,8498.0,3315.0,1935.0,2535.0,4589.0,6442.0,4843.0,11329.0,2334.0
10701.0,14029.0,9207.0,3689.0,2172.0,2784.0,4878.0,7123.0,5347.0,12548.0,2346.0
11395.0,15987.0,9968.0,4133.0,2428.0,2978.0,5252.0,8121.0,5988.0,14365.0,2456.0
11630.0,18017.0,10788.0,4418.0,2543.0,3173.0,5573.0,8976.0,6460.0,15895.0,2619.0
11450.0,19597.0,10821.0,4470.0,2562.0,3211.0,5903.0,9267.0,6484.0,16476.0,2668.0
11149.0,20431.0,10577.0,4464.0,2532.0,3159.0,6109.0,9358.0,6477.0,16552.0,2749.0
10882.0,19848.0,10143.0,4477.0,2451.0,3115.0,6009.0,9287.0,6439.0,16449.0,2819.0
10772.0,19365.0,9881.0,4413.0,2427.0,3064.0,5770.0,9100.0,6306.0,16001.0,2774.0
10841.0,19231.0,9794.0,4368.0,2419.0,3020.0,5713.0,9011.0,6191.0,15851.0,2758.0
10740.0,19144.0,9758.0,4263.0,2402.0,2939.0,5593.0,8991.0,5977.0,15686.0,2726.0
10989.0,18574.0,9977.0,4274.0,2437.0,2942.0,5525.0,8888.0,6025.0,15440.0,2695.0
11175.0,18942.0,10505.0,4356.0,2560.0,2918.0,5541.0,9060.0,6121.0,15808.0,2624.0
12163.0,20259.0,11519.0,4652.0,2738.0,3185.0,5987.0,9690.0,6488.0,17095.0,2690.0
13063.0,22635.0,11951.0,4847.0,2839.0,3366.0,6582.0,10270.0,6722.0,18184.0,2777.0
12957.0,23620.0,11932.0,4826.0,2818.0,3338.0,6766.0,10425.0,6756.0,18606.0,2744.0
12639.0,23434.0,11536.0,4717.0,2718.0,3236.0,6759.0,10356.0,6612.0,18404.0,2733.0
11923.0,22327.0,10948.0,4532.0,2632.0,3102.0,6538.0,9995.0,6387.0,17798.0,2687.0
10956.0,20987.0,10049.0,4263.0,2444.0,2923.0,6301.0,9415.0,6049.0,16840.0,2543.0
10011.0,19004.0,9226.0,3902.0,2217.0,2692.0,5886.0,8672.0,5605.0,15472.0,2473.0
9333.0,16859.0,8644.0,3644.0,2077.0,2514.0,5394.0,7950.0,5314.0,14132.0,2409.0
8831.0,15301.0,8281.0,3484.0,1972.0,2396.0,4976.0,7289.0,5150.0,12936.0,2391.0
8569.0,14176.0,8233.0,3426.0,1941.0,2328.0,4744.0,6953.0,5004.0,12431.0,2463.0
8565.0,13422.0,8087.0,3387.0,1919.0,2308.0,4585.0,6784.0,4934.0,12135.0,2436.0
8780.0,13129.0,8165.0,3407.0,1937.0,2338.0,4541.0,6776.0,4989.0,12103.0,2413.0
