Period_Index,Rep_Period,Rep_Period_Index
1,262,13
2,262,13
3,262,13
4,262,13
5,262,13
6,262,13
7,65,4
8,262,13
9,65,4
10,65,4
11,65,4
12,65,4
13,65,4
14,22,1
15,65,4
16,22,1
17,22,1
18,278,14
19,291,15
20,291,15
21,291,15
22,22,1
23,22,1
24,22,1
25,22,1
26,22,1
27,187,8
28,187,8
29,187,8
30,187,8
31,187,8
32,188,9
33,188,9
34,188,9
35,141,5
36,141,5
37,141,5
38,141,5
39,44,2
40,44,2
41,44,2
42,44,2
43,44,2
44,44,2
45,44,2
46,51,3
47,51,3
48,51,3
49,51,3
50,51,3
51,51,3
52,51,3
53,51,3
54,51,3
55,51,3
56,51,3
57,51,3
58,51,3
59,51,3
60,44,2
61,262,13
62,65,4
63,65,4
64,65,4
65,65,4
66,65,4
67,65,4
68,65,4
69,65,4
70,278,14
71,278,14
72,278,14
73,278,14
74,278,14
75,278,14
76,278,14
77,291,15
78,291,15
79,291,15
80,187,8
81,187,8
82,187,8
83,187,8
84,187,8
85,187,8
86,188,9
87,188,9
88,141,5
89,141,5
90,141,5
91,141,5
92,44,2
93,44,2
94,44,2
95,44,2
96,44,2
97,307,16
98,307,16
99,307,16
100,307,16
101,51,3
102,51,3
103,51,3
104,51,3
105,262,13
106,262,13
107,262,13
108,262,13
109,262,13
110,262,13
111,262,13
112,262,13
113,65,4
114,65,4
115,65,4
116,65,4
117,65,4
118,65,4
119,278,14
120,278,14
121,278,14
122,291,15
123,291,15
124,291,15
125,291,15
126,291,15
127,291,15
128,291,15
129,291,15
130,291,15
131,187,8
132,187,8
133,187,8
134,187,8
135,187,8
136,188,9
137,188,9
138,188,9
139,188,9
140,141,5
141,141,5
142,141,5
143,141,5
144,167,7
145,44,2
146,167,7
147,44,2
148,167,7
149,307,16
150,307,16
151,307,16
152,307,16
153,262,13
154,262,13
155,262,13
156,262,13
157,262,13
158,262,13
159,262,13
160,160,6
161,44,2
162,44,2
163,44,2
164,44,2
165,44,2
166,44,2
167,167,7
168,167,7
169,167,7
170,167,7
171,167,7
172,141,5
173,167,7
174,65,4
175,22,1
176,22,1
177,22,1
178,22,1
179,291,15
180,291,15
181,291,15
182,291,15
183,291,15
184,187,8
185,187,8
186,187,8
187,187,8
188,188,9
189,188,9
190,188,9
191,188,9
192,188,9
193,141,5
194,141,5
195,141,5
196,141,5
197,355,20
198,355,20
199,307,16
200,307,16
201,307,16
202,307,16
203,262,13
204,262,13
205,262,13
206,262,13
207,262,13
208,262,13
209,262,13
210,262,13
211,262,13
212,262,13
213,262,13
214,220,10
215,220,10
216,220,10
217,220,10
218,220,10
219,220,10
220,220,10
221,220,10
222,220,10
223,232,11
224,232,11
225,232,11
226,232,11
227,232,11
228,232,11
229,232,11
230,232,11
231,232,11
232,232,11
233,232,11
234,232,11
235,232,11
236,232,11
237,232,11
238,240,12
239,240,12
240,240,12
241,240,12
242,240,12
243,240,12
244,240,12
245,187,8
246,188,9
247,141,5
248,141,5
249,44,2
250,44,2
251,44,2
252,44,2
253,262,13
254,307,16
255,262,13
256,307,16
257,262,13
258,262,13
259,262,13
260,262,13
261,262,13
262,262,13
263,262,13
264,262,13
265,262,13
266,262,13
267,262,13
268,262,13
269,262,13
270,65,4
271,65,4
272,65,4
273,65,4
274,220,10
275,278,14
276,278,14
277,278,14
278,278,14
279,278,14
280,291,15
281,291,15
282,278,14
283,291,15
284,291,15
285,291,15
286,291,15
287,291,15
288,291,15
289,291,15
290,291,15
291,291,15
292,187,8
293,187,8
294,187,8
295,187,8
296,188,9
297,141,5
298,141,5
299,141,5
300,141,5
301,44,2
302,44,2
303,44,2
304,44,2
305,355,20
306,307,16
307,307,16
308,307,16
309,307,16
310,262,13
311,262,13
312,262,13
313,262,13
314,262,13
315,262,13
316,262,13
317,262,13
318,262,13
319,262,13
320,262,13
321,167,7
322,167,7
323,167,7
324,167,7
325,167,7
326,326,17
327,333,18
328,333,18
329,333,18
330,333,18
331,333,18
332,333,18
333,333,18
334,333,18
335,333,18
336,333,18
337,291,15
338,333,18
339,339,19
340,187,8
341,187,8
342,187,8
343,187,8
344,188,9
345,188,9
346,188,9
347,188,9
348,188,9
349,355,20
350,355,20
351,355,20
352,355,20
353,355,20
354,355,20
355,355,20
356,355,20
357,307,16
358,355,20
359,307,16
360,355,20
361,307,16
362,51,3
363,51,3
364,51,3
365,51,3
