Period_Index,Rep_Period,Rep_Period_Index
1,5,1
2,5,1
3,5,1
4,5,1
5,5,1
6,165,9
7,5,1
8,5,1
9,5,1
10,5,1
11,5,1
12,5,1
13,5,1
14,328,17
15,328,17
16,333,18
17,333,18
18,333,18
19,291,13
20,291,13
21,333,18
22,187,10
23,73,4
24,187,10
25,187,10
26,187,10
27,187,10
28,187,10
29,187,10
30,187,10
31,187,10
32,140,7
33,140,7
34,140,7
35,140,7
36,140,7
37,140,7
38,94,5
39,94,5
40,94,5
41,94,5
42,94,5
43,94,5
44,94,5
45,96,6
46,51,2
47,51,2
48,51,2
49,51,2
50,51,2
51,51,2
52,51,2
53,51,2
54,51,2
55,51,2
56,51,2
57,51,2
58,51,2
59,51,2
60,94,5
61,94,5
62,65,3
63,65,3
64,65,3
65,65,3
66,65,3
67,65,3
68,65,3
69,65,3
70,73,4
71,73,4
72,73,4
73,73,4
74,291,13
75,73,4
76,73,4
77,291,13
78,291,13
79,291,13
80,187,10
81,187,10
82,187,10
83,187,10
84,187,10
85,187,10
86,346,20
87,140,7
88,140,7
89,140,7
90,140,7
91,140,7
92,94,5
93,94,5
94,94,5
95,94,5
96,96,6
97,307,14
98,307,14
99,307,14
100,307,14
101,314,15
102,314,15
103,51,2
104,51,2
105,51,2
106,51,2
107,314,15
108,314,15
109,314,15
110,165,9
111,165,9
112,94,5
113,65,3
114,65,3
115,65,3
116,65,3
117,65,3
118,328,17
119,333,18
120,333,18
121,333,18
122,333,18
123,291,13
124,291,13
125,291,13
126,291,13
127,291,13
128,291,13
129,291,13
130,291,13
131,187,10
132,187,10
133,187,10
134,187,10
135,346,20
136,346,20
137,346,20
138,346,20
139,346,20
140,140,7
141,140,7
142,140,7
143,140,7
144,94,5
145,165,9
146,165,9
147,96,6
148,165,9
149,307,14
150,307,14
151,307,14
152,307,14
153,314,15
154,314,15
155,314,15
156,314,15
157,165,9
158,165,9
159,165,9
160,160,8
161,165,9
162,165,9
163,165,9
164,165,9
165,165,9
166,165,9
167,165,9
168,65,3
169,65,3
170,65,3
171,65,3
172,140,7
173,65,3
174,65,3
175,333,18
176,187,10
177,328,17
178,333,18
179,291,13
180,291,13
181,291,13
182,291,13
183,291,13
184,187,10
185,187,10
186,187,10
187,187,10
188,187,10
189,346,20
190,346,20
191,140,7
192,140,7
193,140,7
194,140,7
195,140,7
196,140,7
197,96,6
198,96,6
199,96,6
200,307,14
201,96,6
202,307,14
203,307,14
204,314,15
205,307,14
206,307,14
207,314,15
208,314,15
209,314,15
210,213,11
211,213,11
212,213,11
213,213,11
214,213,11
215,213,11
216,213,11
217,213,11
218,213,11
219,213,11
220,213,11
221,213,11
222,232,12
223,232,12
224,232,12
225,232,12
226,232,12
227,232,12
228,232,12
229,232,12
230,232,12
231,232,12
232,232,12
233,232,12
234,232,12
235,232,12
236,232,12
237,232,12
238,232,12
239,232,12
240,187,10
241,187,10
242,187,10
243,187,10
244,187,10
245,140,7
246,140,7
247,140,7
248,140,7
249,94,5
250,94,5
251,94,5
252,94,5
253,307,14
254,307,14
255,307,14
256,307,14
257,307,14
258,307,14
259,307,14
260,307,14
261,307,14
262,314,15
263,314,15
264,51,2
265,51,2
266,307,14
267,165,9
268,314,15
269,51,2
270,5,1
271,213,11
272,328,17
273,328,17
274,328,17
275,333,18
276,333,18
277,333,18
278,333,18
279,333,18
280,291,13
281,291,13
282,333,18
283,291,13
284,291,13
285,291,13
286,291,13
287,291,13
288,291,13
289,291,13
290,291,13
291,291,13
292,187,10
293,187,10
294,187,10
295,187,10
296,140,7
297,140,7
298,140,7
299,140,7
300,140,7
301,94,5
302,96,6
303,94,5
304,96,6
305,96,6
306,307,14
307,307,14
308,307,14
309,307,14
310,314,15
311,314,15
312,51,2
313,314,15
314,314,15
315,314,15
316,314,15
317,314,15
318,314,15
319,165,9
320,165,9
321,51,2
322,165,9
323,5,1
324,165,9
325,165,9
326,326,16
327,328,17
328,328,17
329,328,17
330,328,17
331,328,17
332,333,18
333,333,18
334,333,18
335,333,18
336,187,10
337,187,10
338,333,18
339,339,19
340,187,10
341,187,10
342,187,10
343,187,10
344,346,20
345,346,20
346,346,20
347,346,20
348,346,20
349,346,20
350,96,6
351,96,6
352,96,6
353,96,6
354,96,6
355,96,6
356,96,6
357,307,14
358,307,14
359,307,14
360,307,14
361,96,6
362,51,2
363,307,14
364,51,2
365,314,15
