elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
17396.0,61653.0,12516.0,4746.0,2827.0,3522.0,8018.0,9622.0,7063.0,16330.0,3283.0
15952.0,62542.0,11823.0,4543.0,2721.0,3338.0,8225.0,9773.0,6661.0,16687.0,3206.0
14364.0,59672.0,10797.0,4222.0,2542.0,3103.0,7943.0,9346.0,6179.0,16072.0,2982.0
12808.0,55726.0,9978.0,3932.0,2324.0,2967.0,7475.0,8759.0,5746.0,15168.0,2855.0
11238.0,51280.0,9207.0,3606.0,2167.0,2755.0,6962.0,8101.0,5311.0,13964.0,2780.0
10565.0,46689.0,8628.0,3442.0,2045.0,2651.0,6360.0,7585.0,5024.0,12957.0,2684.0
9997.0,41099.0,8289.0,3310.0,1976.0,2593.0,5667.0,7147.0,4880.0,11979.0,2669.0
9593.0,37697.0,8227.0,3254.0,1946.0,2617.0,5296.0,6834.0,4834.0,11379.0,2659.0
9663.0,35443.0,8413.0,3339.0,1976.0,2690.0,4995.0,6688.0,4965.0,11096.0,2679.0
10201.0,34063.0,9046.0,3623.0,2084.0,2840.0,4829.0,6770.0,5405.0,11099.0,2701.0
11256.0,35191.0,9799.0,4062.0,2409.0,3013.0,4837.0,7251.0,6197.0,11815.0,2785.0
12481.0,38451.0,11012.0,4502.0,2723.0,3249.0,5064.0,8266.0,6916.0,13267.0,2919.0
13799.0,44051.0,12209.0,4896.0,2933.0,3506.0,5621.0,9092.0,7385.0,14750.0,3177.0
14245.0,50985.0,12371.0,5043.0,2917.0,3606.0,6155.0,9572.0,7397.0,15875.0,3323.0
14428.0,58584.0,11970.0,4921.0,2813.0,3640.0,6792.0,10193.0,7162.0,16925.0,3396.0
14637.0,60469.0,11521.0,4737.0,2697.0,3608.0,6947.0,10274.0,6991.0,16977.0,3401.0
14992.0,59054.0,11463.0,4644.0,2639.0,3574.0,6895.0,10033.0,6961.0,16555.0,3361.0
15606.0,57310.0,11458.0,4580.0,2605.0,3613.0,6859.0,9784.0,6941.0,16128.0,3347.0
16025.0,57102.0,11404.0,4551.0,2571.0,3580.0,6962.0,9682.0,6920.0,15950.0,3355.0
16923.0,57401.0,11825.0,4595.0,2615.0,3637.0,7108.0,9622.0,7072.0,15900.0,3409.0
17700.0,56887.0,12212.0,4696.0,2701.0,3700.0,7282.0,9557.0,7260.0,15670.0,3395.0
18105.0,59016.0,12771.0,4745.0,2826.0,3709.0,7691.0,9745.0,7371.0,16064.0,3214.0
18577.0,59339.0,13655.0,4957.0,2976.0,3810.0,7858.0,10052.0,7749.0,16728.0,3304.0
18787.0,62458.0,13743.0,5201.0,3033.0,3847.0,8198.0,10559.0,7879.0,17753.0,3397.0
17642.0,68653.0,13000.0,5084.0,2963.0,3604.0,8538.0,11191.0,7546.0,18871.0,3304.0
16239.0,69340.0,12012.0,4792.0,2826.0,3345.0,8790.0,11084.0,7034.0,18723.0,3199.0
14589.0,64369.0,11229.0,4386.0,2612.0,3213.0,8379.0,10352.0,6512.0,17641.0,3101.0
12920.0,58872.0,10343.0,4036.0,2358.0,2977.0,7791.0,9628.0,5922.0,16482.0,2947.0
11437.0,53223.0,9442.0,3717.0,2182.0,2804.0,7212.0,8829.0,5440.0,15108.0,2773.0
10615.0,47488.0,8898.0,3478.0,2070.0,2691.0,6504.0,8120.0,5166.0,13818.0,2713.0
