AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_utilitypv_class1_moderate_1,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_utilitypv_class1_moderate_1,ID_landbasedwind_class3_moderate_1,ID_utilitypv_class1_moderate_1,MT_landbasedwind_class3_moderate_1,MT_utilitypv_class1_moderate_1,NM_landbasedwind_class3_moderate_1,NM_utilitypv_class1_moderate_1,NV_landbasedwind_class3_moderate_1,NV_utilitypv_class1_moderate_1,OR_landbasedwind_class3_moderate_1,OR_utilitypv_class1_moderate_1,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_utilitypv_class1_moderate_1,WA_landbasedwind_class3_moderate_1,WA_utilitypv_class1_moderate_1,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_utilitypv_class1_moderate_1,AZ_Deep_5_5_257_c171,AZ_Deep_6_5_283_c176,AZ_Deep_3_5_200_c161,AZ_Deep_6_5_273_c177,AZ_Deep_5_5_238_c172,AZ_Deep_6_5_263_c178,CA_NearField_2_5_254_c235,CA_NearField_3_5_270_c238,CA_NearField_4_5_283_c241,CA_Deep_4_5_262_c46,CA_Deep_5_5_290_c51,CA_NearField_5_5_289_c244,CA_NearField_3_5_228_c239,CA_NearField_4_5_253_c242,CA_Deep_5_5_278_c52,CA_Deep_4_5_243_c47,CA_Deep_3_5_214_c41,CA_Deep_5_5_269_c53,CA_NearField_2_5_203_c236,CA_NearField_5_5_268_c245,CA_Deep_6_5_298_c56,CA_Deep_5_5_263_c54,CO_Deep_5_5_268_c211,CO_Deep_6_5_290_c216,CO_Deep_3_5_198_c201,CO_Deep_4_5_218_c206,CO_Deep_6_5_277_c217,CO_Deep_5_5_240_c212,ID_Deep_5_5_285_c91,ID_Deep_5_5_269_c92,MT_Deep_4_5_213_c106,MT_Deep_3_5_188_c101,MT_Deep_5_5_236_c111,MT_Deep_6_5_262_c116,MT_Deep_3_5_179_c102,MT_Deep_4_5_191_c107,MT_Deep_6_5_232_c117,NM_Deep_5_5_272_c191,NM_Deep_6_5_294_c196,NM_Deep_6_5_284_c197,NM_Deep_5_5_250_c192,NM_Deep_4_5_219_c186,NM_Deep_6_5_274_c198,NM_Deep_5_5_236_c193,NV_NearField_2_5_239_c248,NV_NearField_3_5_262_c251,NV_NearField_4_5_271_c254,NV_Deep_4_5_249_c66,NV_NearField_5_5_283_c257,NV_Deep_5_5_273_c71,NV_NearField_2_5_200_c249,NV_NearField_3_5_216_c252,NV_Deep_5_5_265_c72,NV_Deep_3_5_211_c61,NV_Deep_6_5_296_c76,NV_Deep_6_5_290_c77,NV_Deep_5_5_254_c73,OR_NearField_2_5_261_c221,OR_NearField_3_5_288_c224,OR_NearField_2_5_225_c222,OR_NearField_4_5_288_c227,OR_NearField_3_5_239_c225,OR_NearField_5_5_300_c230,OR_NearField_2_5_200_c223,OR_Deep_4_5_250_c26,OR_Deep_5_5_282_c31,OR_NearField_5_5_275_c231,OR_NearField_4_5_239_c228,OR_Deep_5_5_268_c32,OR_NearField_6_5_300_c233,OR_Deep_6_5_296_c36,OR_Deep_4_5_229_c27,UT_NearField_2_5_250_c263,UT_NearField_3_5_286_c266,UT_NearField_2_5_225_c264,UT_NearField_4_5_288_c269,UT_NearField_3_5_239_c267,UT_Deep_3_5_230_c141,UT_NearField_5_5_288_c272,UT_Deep_5_5_282_c151,UT_NearField_2_5_200_c265,UT_NearField_4_5_239_c270,UT_Deep_4_5_229_c146,UT_Deep_5_5_256_c152,UT_Deep_6_5_291_c156,WA_Deep_6_5_294_c16,WA_Deep_5_5_256_c11,WA_Deep_6_5_272_c17,WA_Deep_4_5_214_c6,WA_Deep_5_5_231_c12,WY_Deep_4_5_207_c126,WY_Deep_6_5_261_c136,WY_Deep_5_5_225_c131,WY_Deep_3_5_170_c121,WY_Deep_3_5_166_c122,WY_Deep_6_5_228_c137,WY_Deep_3_5_160_c123,WY_Deep_4_5_179_c127,WY_Deep_3_5_153_c124,WY_Deep_6_5_213_c138
0.404007265586647,0.0,0.1517593340124619,0.0,0.2655088372074137,0.0,0.2879997208523308,0.0,0.7488510843373494,0.0,0.2658456577628655,0.0,0.0,0.0,0.0164526363385164,0.0,0.0428925811437403,0.0,0.1073454883665997,0.0,0.7054141179657432,0.0,0.2181994765996933,0.0,0.2349999994039535,0.0,0.0729735046625137,0.0690814480185508,0.6363511085510254,0.0,0.2824217677116394,0.0,0.8768390417098999,0.0,0.4179519116878509,0.0,0.1056329607963562,0.0,0.6161219477653503,0.0,0.0003112532140221,0.0003569068503566,0.1645858287811279,0.0,0.6793125867843628,0.0,0.0135474251583218,0.1593086272478103,0.5851947665214539,0.0,0.8,0.8,0.8,0.8,0.8,0.79,0.83,0.84,0.85,0.86,0.85,0.84,0.84,0.84,0.85,0.85,0.86,0.85,0.84,0.87,0.85,0.85,0.81,0.81,0.82,0.81,0.81,0.81,0.86,0.85,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.86,0.84,0.84,0.85,0.85,0.84,0.84,0.87,0.87,0.88,0.87,0.88,0.85,0.87,0.88,0.86,0.88,0.85,0.85,0.86,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.85,0.85,0.8299999833106995,0.83,0.85,0.8299999833106995,0.86,0.85,0.8100000023841858,0.81,0.8100000023841858,0.81,0.81,0.8,0.81,0.81,0.8100000023841858,0.81,0.82,0.82,0.82,0.91,0.92,0.92,0.92,0.91,0.81,0.81,0.81,0.8,0.81,0.82,0.82,0.82,0.8,0.82
0.3868788414334805,0.0,0.0966665184510771,0.0,0.2570119506904276,0.0,0.2959963710803014,0.0,0.7359155421686747,0.0,0.4503549610004793,0.0,0.014,0.0,0.0174566806501042,0.0,0.0443876867594023,0.0,0.1250683831345222,0.0,0.632835002222586,0.0,0.268828809261322,0.0,0.2639999985694885,0.0,0.0754198059439659,0.0700228735804557,0.6384698748588562,0.0,0.2757364809513092,0.0,0.885764479637146,0.0,0.4096574187278747,0.0,0.1052267700433731,0.0,0.6191312074661255,0.0,0.0162632744759321,0.0088537698611617,0.1907583773136139,0.0,0.6409474015235901,0.0,0.0071862745098769,0.1571044921875,0.5678651332855225,0.0,0.79,0.79,0.79,0.78,0.78,0.78,0.81,0.82,0.82,0.83,0.83,0.82,0.82,0.81,0.83,0.83,0.83,0.83,0.82,0.84,0.82,0.83,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.83,0.81,0.82,0.81,0.81,0.81,0.81,0.82,0.85,0.83,0.83,0.83,0.84,0.82,0.82,0.85,0.85,0.86,0.85,0.86,0.84,0.85,0.85,0.85,0.86,0.84,0.84,0.84,0.81,0.81,0.81,0.81,0.81,0.8100000023841858,0.81,0.83,0.83,0.8100000023841858,0.81,0.83,0.8100000023841858,0.84,0.83,0.7900000214576721,0.79,0.7900000214576721,0.79,0.79,0.79,0.79,0.8,0.7900000214576721,0.79,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.89,0.8,0.8,0.8,0.78,0.8,0.81,0.81,0.8,0.78,0.8
0.4017839960726559,0.0,0.1212979487740795,0.0,0.3064484641461228,0.0,0.3129437052200613,0.0,0.7695171084337349,0.0,0.4942967449562072,0.0,0.0,0.0,0.0183799140897786,0.0,0.0454191138588356,0.0,0.1387246368253218,0.0,0.598194258130103,0.0,0.3118395507335663,0.0,0.1749999970197677,0.0,0.0853933840990066,0.075068898499012,0.629768431186676,0.0,0.2698885798454284,0.0,0.8778419494628906,0.0,0.4071722328662872,0.0,0.1137596070766449,0.0,0.624748945236206,0.0,0.0448122322559356,0.0258985646069049,0.2435822337865829,0.0,0.6028217077255249,0.0,0.0123636052012443,0.159596100449562,0.5510090589523315,0.0,0.78,0.78,0.79,0.77,0.78,0.77,0.8,0.8,0.81,0.81,0.81,0.8,0.8,0.8,0.81,0.81,0.81,0.82,0.8,0.82,0.79,0.82,0.8,0.8,0.8,0.8,0.79,0.8,0.82,0.82,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.84,0.82,0.82,0.82,0.83,0.82,0.82,0.84,0.84,0.85,0.84,0.85,0.83,0.84,0.84,0.83,0.85,0.83,0.83,0.83,0.8,0.8,0.8,0.8,0.8,0.800000011920929,0.8,0.81,0.82,0.800000011920929,0.8,0.81,0.800000011920929,0.82,0.81,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.78,0.78,0.79,0.7799999713897705,0.78,0.79,0.79,0.79,0.89,0.89,0.88,0.89,0.88,0.79,0.8,0.8,0.78,0.79,0.8,0.8,0.8,0.78,0.8
0.4335915562101129,0.0,0.1563173933727017,0.0,0.3484586236175301,0.0,0.3319983251139852,0.0,0.7956048192771084,0.0,0.410933025404157,0.0,0.0,0.0,0.0192224371373307,0.0,0.0461045852653271,0.0,0.1396251328687847,0.0,0.6140515936324591,0.0,0.3289656341075897,0.0,0.1209999993443489,0.0,0.1113042086362838,0.0897063538432121,0.6263073682785034,0.0,0.2853318750858307,0.0,0.9048358201980592,0.0,0.3983772099018097,0.0,0.1248796582221984,0.0,0.6184220314025879,0.0,0.0679531544446945,0.0438026711344718,0.2954235076904297,0.0,0.5815289616584778,0.0,0.0094253923743963,0.1563316732645034,0.5389294028282166,0.0,0.78,0.78,0.79,0.77,0.78,0.77,0.79,0.8,0.8,0.8,0.81,0.8,0.8,0.8,0.8,0.81,0.8,0.81,0.8,0.81,0.78,0.81,0.79,0.8,0.8,0.8,0.79,0.79,0.81,0.81,0.81,0.82,0.8,0.8,0.81,0.8,0.8,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.83,0.84,0.83,0.84,0.82,0.83,0.83,0.83,0.84,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.7900000214576721,0.79,0.81,0.81,0.7900000214576721,0.79,0.81,0.7900000214576721,0.82,0.81,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.78,0.78,0.79,0.7799999713897705,0.78,0.79,0.79,0.79,0.89,0.89,0.88,0.89,0.88,0.79,0.8,0.8,0.78,0.8,0.8,0.8,0.8,0.78,0.8
0.4156552773686794,0.0,0.1899577240654775,0.0,0.3540537688229236,0.0,0.3753418628454452,0.0,0.7921034939759036,0.0,0.4271774369253562,0.0,0.001,0.0,0.0212060086915019,0.0,0.0469842864502833,0.0,0.1285913251446793,0.0,0.6156742097790613,0.0,0.3698469698429107,0.0,0.0799999982118606,0.0,0.1332828849554062,0.1004584282636642,0.6255227327346802,0.0,0.3032841980457306,0.0,0.9169574975967408,0.0,0.3667798340320587,0.0,0.1438822597265243,0.0,0.6060280799865723,0.0,0.0882277861237526,0.0565750561654567,0.3235051333904266,0.0,0.5597146153450012,0.0,0.0128395305946469,0.1404593735933303,0.5127688050270081,0.0,0.79,0.79,0.8,0.77,0.78,0.78,0.79,0.8,0.8,0.8,0.81,0.8,0.8,0.8,0.81,0.81,0.8,0.81,0.8,0.81,0.78,0.81,0.8,0.81,0.81,0.81,0.8,0.8,0.81,0.81,0.82,0.84,0.82,0.82,0.82,0.82,0.82,0.83,0.82,0.82,0.82,0.83,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.82,0.83,0.83,0.83,0.84,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.7900000214576721,0.79,0.81,0.81,0.7900000214576721,0.79,0.81,0.7900000214576721,0.81,0.81,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.79,0.78,0.79,0.7799999713897705,0.78,0.79,0.79,0.79,0.89,0.9,0.89,0.89,0.89,0.8,0.81,0.81,0.79,0.81,0.81,0.81,0.81,0.79,0.81
0.3737572901325478,0.0,0.2340834095205635,0.0,0.3337386888061708,0.0,0.4228708476784218,0.0,0.7292501807228915,0.0,0.3999571658895812,0.0,0.027,0.0,0.0179357934135497,0.0,0.0476872746007212,0.0,0.1270099799220503,0.0,0.6048362943864569,0.0,0.4152787029743194,0.0,0.0740000009536743,0.0,0.1607212573289871,0.1116353720426559,0.5819438099861145,0.0,0.3344036042690277,0.0,0.9172149300575256,0.0,0.3207094967365265,0.0,0.16353639960289,0.0,0.4824809730052948,0.0,0.1141015365719795,0.0667297318577766,0.322773277759552,0.0,0.5759685039520264,0.0,0.0066368579864501,0.1320571899414062,0.4881024658679962,0.0,0.8,0.8,0.81,0.79,0.8,0.79,0.8,0.8,0.81,0.81,0.82,0.8,0.8,0.8,0.81,0.82,0.81,0.82,0.8,0.81,0.79,0.82,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.87,0.89,0.87,0.87,0.88,0.87,0.86,0.87,0.86,0.86,0.86,0.86,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.83,0.84,0.84,0.84,0.85,0.83,0.83,0.83,0.81,0.81,0.81,0.81,0.81,0.8100000023841858,0.81,0.82,0.82,0.8100000023841858,0.81,0.82,0.8100000023841858,0.82,0.82,0.800000011920929,0.8,0.800000011920929,0.8,0.8,0.81,0.8,0.81,0.800000011920929,0.8,0.81,0.82,0.82,0.91,0.91,0.9,0.91,0.9,0.85,0.86,0.86,0.83,0.86,0.86,0.85,0.86,0.83,0.85
0.3468683357879234,0.0,0.1887161970773392,0.0,0.3264506094012911,0.0,0.3729678049688285,0.0,0.7530859036144579,0.0,0.3693939605211556,0.0,0.02,0.0,0.0163601698108467,0.0,0.0592341576506955,0.0,0.1187745069091768,0.0,0.5935347211755071,0.0,0.4465311467647552,0.0,0.0379999987781047,0.0,0.1416938304901123,0.1085148900747299,0.5322574377059937,0.0,0.3299623727798462,0.0,0.912067174911499,0.0,0.2846570312976837,0.0,0.1824136674404144,0.0,0.565704345703125,0.0,0.1606660634279251,0.0818361863493919,0.3145591616630554,0.0,0.5424039959907532,0.0,0.0093831364065408,0.1202499419450759,0.4757062494754791,0.0,0.84,0.84,0.85,0.83,0.83,0.83,0.82,0.83,0.83,0.84,0.85,0.83,0.83,0.83,0.84,0.85,0.84,0.85,0.83,0.84,0.82,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.92,0.94,0.92,0.91,0.92,0.91,0.89,0.91,0.9,0.89,0.9,0.9,0.89,0.89,0.87,0.87,0.87,0.87,0.87,0.86,0.87,0.87,0.87,0.87,0.86,0.86,0.86,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.84,0.85,0.8299999833106995,0.83,0.84,0.8299999833106995,0.85,0.84,0.8199999928474426,0.82,0.8199999928474426,0.82,0.82,0.83,0.82,0.84,0.8199999928474426,0.82,0.84,0.85,0.85,0.92,0.92,0.92,0.92,0.92,0.86,0.88,0.88,0.84,0.88,0.89,0.86,0.89,0.84,0.88
0.3417514972999509,0.0,0.1434154629034509,0.0,0.3213763021787555,0.0,0.4285923513538662,0.0,0.8746880120481928,0.0,0.3368087062617107,0.0,0.045,0.0,0.0146028285061167,0.0,0.0883150437918598,0.0,0.136302438880359,0.0,0.627404141276994,0.0,0.483590692281723,0.0,0.0,0.0,0.1205519437789917,0.1117451339960098,0.492410272359848,0.0,0.3756877779960632,0.0,0.9148288369178772,0.0,0.2687782347202301,0.0,0.1930026710033416,0.0,0.5855531692504883,0.0,0.2136251181364059,0.1048487797379493,0.3237603008747101,0.0,0.5375584959983826,0.0,0.0116101829335093,0.0999704152345657,0.4614821374416351,0.0,0.85,0.85,0.86,0.85,0.85,0.85,0.84,0.85,0.85,0.86,0.88,0.85,0.85,0.85,0.87,0.87,0.86,0.88,0.85,0.86,0.86,0.88,0.87,0.87,0.88,0.87,0.88,0.88,0.87,0.87,0.93,0.94,0.93,0.92,0.93,0.93,0.91,0.93,0.91,0.91,0.92,0.92,0.91,0.91,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.85,0.85,0.85,0.85,0.85,0.8500000238418579,0.85,0.86,0.86,0.8500000238418579,0.85,0.86,0.8500000238418579,0.87,0.86,0.8399999737739563,0.84,0.8399999737739563,0.84,0.84,0.86,0.84,0.86,0.8399999737739563,0.84,0.86,0.86,0.87,0.93,0.93,0.93,0.93,0.93,0.88,0.9,0.9,0.85,0.89,0.91,0.87,0.91,0.85,0.9
0.3349429553264604,0.0,0.143570823700551,0.0,0.2970086705962401,0.0209173803637647,0.3804177910114451,0.0,0.8456299397590361,0.0,0.3188556364111726,0.0154750145264381,0.094,0.0,0.0158584993343213,0.0,0.1176962905718701,0.0,0.1883682827447738,0.0,0.6461965674887571,0.0,0.5345483422279358,0.0001377122680423,0.6110000014305115,0.0,0.1187661066651344,0.1170311421155929,0.4645335674285888,0.0120411105453968,0.3819925189018249,0.0,0.9141772389411926,0.0,0.2542014718055725,0.0035402632784098,0.2412330359220504,0.0,0.3467939794063568,0.0,0.2471918761730194,0.1250594109296798,0.3332668244838714,0.0,0.6240255832672119,0.0,0.0065279388800263,0.0948227569460868,0.4513239860534668,0.0131797408685088,0.87,0.86,0.87,0.86,0.86,0.86,0.85,0.86,0.86,0.88,0.89,0.86,0.86,0.86,0.88,0.88,0.88,0.89,0.86,0.87,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.94,0.95,0.94,0.93,0.94,0.94,0.92,0.94,0.93,0.93,0.93,0.94,0.93,0.93,0.91,0.91,0.91,0.9,0.91,0.89,0.91,0.91,0.9,0.9,0.89,0.89,0.89,0.86,0.86,0.86,0.86,0.86,0.8600000143051147,0.86,0.87,0.88,0.8600000143051147,0.86,0.88,0.8600000143051147,0.89,0.88,0.8600000143051147,0.86,0.8600000143051147,0.86,0.86,0.88,0.86,0.88,0.8600000143051147,0.86,0.88,0.88,0.88,0.94,0.94,0.94,0.94,0.93,0.89,0.91,0.91,0.87,0.91,0.92,0.88,0.91,0.87,0.91
0.3284765832106038,0.2192195010735466,0.1455551247194594,0.0709635401021904,0.2741029041358056,0.38851556153982,0.4066817716572066,0.05665,0.8316337951807229,0.1098079096045197,0.3122166543204496,0.3790689844405707,0.136,0.1096870570261292,0.0098534753447712,0.0029502933165723,0.1219265842349304,0.1582854260264491,0.2667326680051966,0.0,0.671541535697208,0.1935,0.5414745807647705,0.2004713267087936,0.7829999923706055,0.0097113605588674,0.1464044749736786,0.1130752190947532,0.4384522140026092,0.2690877616405487,0.4231244921684265,0.0336530357599258,0.8987512588500977,0.1065970286726951,0.2504095435142517,0.2264400273561477,0.2447634041309356,0.0803866311907768,0.2299940288066864,0.0016398940933868,0.2466578930616378,0.1380867063999176,0.3601115643978119,0.1172866523265838,0.516842246055603,0.0003584875375963,0.0225464608520269,0.1151833608746528,0.4384546875953674,0.2639402747154236,0.88,0.87,0.88,0.87,0.87,0.88,0.86,0.87,0.87,0.89,0.9,0.87,0.87,0.87,0.89,0.89,0.89,0.9,0.87,0.88,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.94,0.95,0.94,0.94,0.94,0.94,0.92,0.95,0.94,0.94,0.94,0.95,0.94,0.94,0.91,0.91,0.91,0.9,0.91,0.9,0.91,0.91,0.91,0.91,0.9,0.9,0.9,0.87,0.87,0.87,0.87,0.87,0.8700000047683716,0.87,0.89,0.89,0.8700000047683716,0.87,0.89,0.8700000047683716,0.9,0.89,0.8799999952316284,0.88,0.8799999952316284,0.88,0.88,0.89,0.88,0.89,0.8799999952316284,0.88,0.89,0.89,0.89,0.94,0.94,0.94,0.94,0.94,0.9,0.92,0.92,0.89,0.92,0.93,0.88,0.93,0.89,0.93
