AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_landbasedwind_class3_moderate_2,AZ_utilitypv_class1_moderate_1,AZ_utilitypv_class1_moderate_2,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_utilitypv_class1_moderate_2,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_landbasedwind_class3_moderate_2,CO_utilitypv_class1_moderate_1,CO_utilitypv_class1_moderate_2,ID_landbasedwind_class3_moderate_1,ID_landbasedwind_class3_moderate_2,ID_utilitypv_class1_moderate_1,ID_utilitypv_class1_moderate_2,MT_landbasedwind_class3_moderate_1,MT_landbasedwind_class3_moderate_2,MT_utilitypv_class1_moderate_1,MT_utilitypv_class1_moderate_2,NM_landbasedwind_class3_moderate_1,NM_landbasedwind_class3_moderate_2,NM_utilitypv_class1_moderate_1,NM_utilitypv_class1_moderate_2,NV_landbasedwind_class3_moderate_1,NV_landbasedwind_class3_moderate_2,NV_utilitypv_class1_moderate_1,NV_utilitypv_class1_moderate_2,OR_landbasedwind_class3_moderate_1,OR_landbasedwind_class3_moderate_2,OR_utilitypv_class1_moderate_1,OR_utilitypv_class1_moderate_2,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_landbasedwind_class3_moderate_2,UT_utilitypv_class1_moderate_1,UT_utilitypv_class1_moderate_2,WA_landbasedwind_class3_moderate_1,WA_landbasedwind_class3_moderate_2,WA_utilitypv_class1_moderate_1,WA_utilitypv_class1_moderate_2,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_landbasedwind_class3_moderate_2,WY_utilitypv_class1_moderate_1,WY_utilitypv_class1_moderate_2,AZ_Deep_5_5_257_c171,AZ_Deep_6_5_283_c176,AZ_Deep_3_5_200_c161,AZ_Deep_6_5_273_c177,AZ_Deep_5_5_238_c172,AZ_Deep_6_5_263_c178,CA_NearField_2_5_254_c235,CA_NearField_3_5_270_c238,CA_NearField_4_5_283_c241,CA_Deep_4_5_262_c46,CA_Deep_5_5_290_c51,CA_NearField_5_5_289_c244,CA_NearField_3_5_228_c239,CA_NearField_4_5_253_c242,CA_Deep_5_5_278_c52,CA_Deep_4_5_243_c47,CA_Deep_3_5_214_c41,CA_Deep_5_5_269_c53,CA_NearField_2_5_203_c236,CA_NearField_5_5_268_c245,CA_Deep_6_5_298_c56,CA_Deep_5_5_263_c54,CO_Deep_5_5_268_c211,CO_Deep_6_5_290_c216,CO_Deep_3_5_198_c201,CO_Deep_4_5_218_c206,CO_Deep_6_5_277_c217,CO_Deep_5_5_240_c212,ID_Deep_5_5_285_c91,ID_Deep_5_5_269_c92,MT_Deep_4_5_213_c106,MT_Deep_3_5_188_c101,MT_Deep_5_5_236_c111,MT_Deep_6_5_262_c116,MT_Deep_3_5_179_c102,MT_Deep_4_5_191_c107,MT_Deep_6_5_232_c117,NM_Deep_5_5_272_c191,NM_Deep_6_5_294_c196,NM_Deep_6_5_284_c197,NM_Deep_5_5_250_c192,NM_Deep_4_5_219_c186,NM_Deep_6_5_274_c198,NM_Deep_5_5_236_c193,NV_NearField_2_5_239_c248,NV_NearField_3_5_262_c251,NV_NearField_4_5_271_c254,NV_Deep_4_5_249_c66,NV_NearField_5_5_283_c257,NV_Deep_5_5_273_c71,NV_NearField_2_5_200_c249,NV_NearField_3_5_216_c252,NV_Deep_5_5_265_c72,NV_Deep_3_5_211_c61,NV_Deep_6_5_296_c76,NV_Deep_6_5_290_c77,NV_Deep_5_5_254_c73,OR_NearField_2_5_261_c221,OR_NearField_3_5_288_c224,OR_NearField_2_5_225_c222,OR_NearField_4_5_288_c227,OR_NearField_3_5_239_c225,OR_NearField_5_5_300_c230,OR_NearField_2_5_200_c223,OR_Deep_4_5_250_c26,OR_Deep_5_5_282_c31,OR_NearField_5_5_275_c231,OR_NearField_4_5_239_c228,OR_Deep_5_5_268_c32,OR_NearField_6_5_300_c233,OR_Deep_6_5_296_c36,OR_Deep_4_5_229_c27,UT_NearField_2_5_250_c263,UT_NearField_3_5_286_c266,UT_NearField_2_5_225_c264,UT_NearField_4_5_288_c269,UT_NearField_3_5_239_c267,UT_Deep_3_5_230_c141,UT_NearField_5_5_288_c272,UT_Deep_5_5_282_c151,UT_NearField_2_5_200_c265,UT_NearField_4_5_239_c270,UT_Deep_4_5_229_c146,UT_Deep_5_5_256_c152,UT_Deep_6_5_291_c156,WA_Deep_6_5_294_c16,WA_Deep_5_5_256_c11,WA_Deep_6_5_272_c17,WA_Deep_4_5_214_c6,WA_Deep_5_5_231_c12,WY_Deep_4_5_207_c126,WY_Deep_6_5_261_c136,WY_Deep_5_5_225_c131,WY_Deep_3_5_170_c121,WY_Deep_3_5_166_c122,WY_Deep_6_5_228_c137,WY_Deep_3_5_160_c123,WY_Deep_4_5_179_c127,WY_Deep_3_5_153_c124,WY_Deep_6_5_213_c138
0.7437623956799215,0.0,0.6838905635009875,0.0,0.4746128873344131,0.0,0.4756308737322042,0.0,0.3124660240963855,0.0,0.3908396008540676,0.0,0.374,0.0,0.2271788540279836,0.0,0.1030190623390005,0.0,0.1802126195819062,0.0,0.3842437033622933,0.0,0.6532101631164551,0.6309791803359985,0.0,0.0,0.0529999993741512,0.0,0.0,0.0186294969171285,0.0926471352577209,0.5364086627960205,0.4983851313591003,0.0,0.0,0.4891277551651001,0.2184826433658599,0.0,0.0,0.33629110455513,0.4344754517078399,0.0,0.0,0.616945743560791,0.5932193398475647,0.0,0.0,0.5367783308029175,0.4640741348266601,0.0,0.0,0.6155187487602234,0.6369566917419434,0.0,0.0,0.2727330923080444,0.3747247159481048,0.1907992213964462,0.2264814674854278,0.0,0.0,0.5045814514160156,0.5738900303840637,0.0,0.0,0.5508646965026855,0.501503050327301,0.7687475681304932,0.7086365222930908,0.0,0.0,0.84,0.84,0.84,0.84,0.84,0.83,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.9,0.89,0.88,0.81,0.81,0.82,0.81,0.8,0.81,0.82,0.83,0.89,0.9,0.88,0.87,0.89,0.87,0.88,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.87,0.87,0.87,0.87,0.87,0.85,0.87,0.87,0.86,0.88,0.84,0.84,0.85,0.87,0.87,0.87,0.87,0.87,0.8700000047683716,0.87,0.88,0.88,0.8700000047683716,0.87,0.88,0.8700000047683716,0.88,0.88,0.7900000214576721,0.79,0.7900000214576721,0.79,0.79,0.8,0.79,0.8,0.7900000214576721,0.79,0.8,0.8,0.8,0.93,0.93,0.92,0.93,0.92,0.83,0.84,0.84,0.8,0.82,0.83,0.85,0.84,0.8,0.8
0.7221981345115367,0.0,0.7061445374474178,0.0,0.5216226116764624,0.0,0.3911804224434726,0.0,0.3946642771084337,0.0,0.3351770011765217,0.0,0.38,0.0,0.2384961943279158,0.0,0.0143557444616177,0.0,0.1906117278847289,0.0,0.3440486011487693,0.0,0.599346399307251,0.5712552666664124,0.0,0.0,0.0070000002160668,0.0,0.0,0.0253348797559738,0.0646976977586746,0.8127597570419312,0.7442836165428162,0.0,0.0,0.4334147274494171,0.1232558563351631,0.0,0.0,0.3330013453960418,0.4278517365455627,0.0,0.0,0.4860934317111969,0.6010584831237793,0.0,0.0,0.5547980666160583,0.4404453635215759,0.0,0.0,0.6193682551383972,0.5347335934638977,0.0,0.0,0.3222594261169433,0.4661976099014282,0.1371382474899292,0.1749085485935211,0.0,0.0,0.5048211216926575,0.6029055118560791,0.0,0.0,0.5849225521087646,0.5920460224151611,0.7225311398506165,0.7228826284408569,0.0,0.0,0.83,0.83,0.84,0.82,0.83,0.82,0.85,0.86,0.86,0.87,0.87,0.86,0.86,0.86,0.87,0.86,0.86,0.87,0.86,0.88,0.87,0.87,0.8,0.8,0.81,0.8,0.8,0.8,0.82,0.82,0.88,0.9,0.87,0.87,0.88,0.87,0.87,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.86,0.86,0.86,0.85,0.86,0.83,0.86,0.86,0.84,0.86,0.83,0.83,0.84,0.85,0.85,0.85,0.85,0.85,0.8500000238418579,0.85,0.86,0.86,0.8500000238418579,0.85,0.86,0.8500000238418579,0.87,0.86,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.79,0.78,0.79,0.7799999713897705,0.78,0.79,0.79,0.79,0.92,0.92,0.91,0.92,0.91,0.83,0.84,0.84,0.81,0.83,0.83,0.86,0.84,0.81,0.8
0.6515138929798723,0.0,0.6966914434794996,0.0,0.5584727173851697,0.0,0.3398395831394808,0.0,0.3037421084337349,0.0,0.2293115168416924,0.0,0.215,0.0,0.2976658042151272,0.0,0.1070247295208655,0.0,0.2619798629975198,0.0,0.2499316753866436,0.0,0.4937143623828888,0.5241820216178894,0.0,0.0,0.0570000000298023,0.0,0.0,0.0401472970843315,0.0481467954814434,0.8778921961784363,0.8075546026229858,0.0,0.0,0.4045661091804504,0.0675631165504455,0.0,0.0,0.3107911348342895,0.3857035636901855,0.0,0.0,0.4243283569812774,0.5958109498023987,0.0,0.0,0.5400511026382446,0.4709702134132385,0.0,0.0,0.6319491863250732,0.2885620296001434,0.0,0.0,0.4179756045341491,0.5785406827926636,0.1061731278896331,0.1656107604503631,0.0,0.0,0.5550835728645325,0.7196547985076904,0.0,0.0,0.6671187281608582,0.710419774055481,0.6948204636573792,0.7476959228515625,0.0,0.0,0.83,0.83,0.84,0.82,0.82,0.82,0.83,0.84,0.84,0.85,0.85,0.84,0.84,0.84,0.85,0.85,0.85,0.86,0.84,0.86,0.86,0.86,0.81,0.81,0.81,0.81,0.8,0.8,0.82,0.82,0.88,0.89,0.87,0.86,0.88,0.86,0.87,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.85,0.85,0.85,0.84,0.85,0.82,0.85,0.85,0.83,0.85,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.85,0.85,0.8299999833106995,0.83,0.85,0.8299999833106995,0.86,0.85,0.7699999809265137,0.77,0.7699999809265137,0.77,0.77,0.78,0.77,0.79,0.7699999809265137,0.77,0.79,0.79,0.79,0.92,0.92,0.91,0.92,0.91,0.84,0.85,0.84,0.81,0.83,0.83,0.86,0.85,0.81,0.8
0.5332161021109474,0.0,0.6928963621194236,0.0,0.7870941480924378,0.0,0.2599816693030613,0.0,0.2685159638554216,0.0,0.418049239618284,0.0,0.0,0.0,0.2895382953603456,0.0,0.1238835651725914,0.0,0.3295173615212,0.0,0.2198401936625534,0.0,0.4590015113353729,0.5219671130180359,0.0,0.0,0.1609999984502792,0.0,0.0,0.0628260970115661,0.0477638207376003,0.8932487964630127,0.8855642676353455,0.0,0.0,0.3473560512065887,0.0403436198830604,0.0,0.0,0.2907489240169525,0.3638274073600769,0.0,0.0,0.571893572807312,0.6578028202056885,0.0,0.0,0.5053159594535828,0.4348776340484619,0.0,0.0,0.6103658676147461,0.2500430643558502,0.0,0.0,0.5599818229675293,0.7035869359970093,0.0761803537607193,0.1225116029381752,0.0,0.0,0.5987258553504944,0.7394845485687256,0.0,0.0,0.7032902240753174,0.7613472938537598,0.7033264636993408,0.7371654510498047,0.0,0.0,0.82,0.82,0.84,0.82,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.83,0.83,0.83,0.85,0.85,0.84,0.86,0.83,0.85,0.85,0.85,0.81,0.81,0.82,0.81,0.81,0.81,0.82,0.82,0.87,0.88,0.86,0.85,0.87,0.85,0.86,0.78,0.79,0.79,0.79,0.78,0.79,0.79,0.84,0.84,0.84,0.83,0.84,0.82,0.84,0.84,0.82,0.84,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.8199999928474426,0.82,0.84,0.85,0.8199999928474426,0.82,0.84,0.8199999928474426,0.85,0.84,0.7699999809265137,0.77,0.7699999809265137,0.77,0.77,0.78,0.77,0.79,0.7699999809265137,0.77,0.79,0.79,0.79,0.91,0.91,0.9,0.91,0.9,0.84,0.85,0.85,0.82,0.84,0.83,0.87,0.85,0.82,0.8
0.3322362297496318,0.0,0.7547274689459069,0.0,0.7994878385845545,0.0,0.1958156694891597,0.0,0.2571636144578313,0.0,0.6301381759553795,0.0,0.211,0.0,0.3146948679946746,0.0,0.2067120041215868,0.0,0.3625915023030589,0.0,0.1875917668494602,0.0,0.4041201472282409,0.4359053373336792,0.0,0.0,0.3289999961853027,0.0,0.0,0.1063631027936935,0.0672303140163421,0.8632346987724304,0.8928035497665405,0.0,0.0,0.3314081728458404,0.0375998392701149,0.0,0.0,0.2835100889205932,0.3372563421726227,0.0,0.0,0.6605327129364014,0.6067684888839722,0.0,0.0,0.4732903242111206,0.4059084355831146,0.0,0.0,0.6301665306091309,0.3118098676204681,0.0,0.0,0.6915693879127502,0.809069037437439,0.0644098222255706,0.06447534263134,0.0,0.0,0.5758641362190247,0.7708311080932617,0.0,0.0,0.6327319145202637,0.7915938496589661,0.6672340631484985,0.6880626678466797,0.0,0.0,0.83,0.83,0.85,0.82,0.83,0.83,0.83,0.83,0.84,0.84,0.86,0.83,0.83,0.83,0.85,0.85,0.84,0.86,0.83,0.85,0.85,0.86,0.82,0.82,0.83,0.82,0.82,0.82,0.82,0.83,0.86,0.88,0.85,0.85,0.86,0.85,0.86,0.79,0.8,0.8,0.79,0.79,0.8,0.8,0.84,0.84,0.84,0.83,0.84,0.81,0.84,0.84,0.82,0.83,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.8199999928474426,0.82,0.84,0.85,0.8199999928474426,0.82,0.84,0.8199999928474426,0.85,0.84,0.7699999809265137,0.77,0.7699999809265137,0.77,0.77,0.79,0.77,0.79,0.7699999809265137,0.77,0.79,0.79,0.79,0.91,0.91,0.9,0.91,0.9,0.85,0.86,0.86,0.83,0.85,0.83,0.87,0.86,0.83,0.81
0.315713205694649,0.0,0.8253806357681337,0.0,0.7870883998308595,0.0,0.1501916813994603,0.0,0.3272757831325301,0.0,0.6042434528737637,0.0,0.092,0.0,0.3031077394559019,0.0,0.1979935600206079,0.0,0.3901563127435928,0.0,0.1788669254521964,0.0,0.3582527935504913,0.3680409789085388,0.0,0.0,0.3030000030994415,0.0,0.0,0.2013396471738815,0.1058731004595756,0.8244713544845581,0.8622995615005493,0.0,0.0,0.3116380870342254,0.0544830523431301,0.0,0.0,0.2650054097175598,0.3475426137447357,0.0,0.0,0.6715543866157532,0.6574106812477112,0.0,0.0,0.4599905014038086,0.3679338097572326,0.0,0.0,0.6465515494346619,0.3941104710102081,0.0,0.0,0.800557017326355,0.8855946063995361,0.0485899187624454,0.0449442937970161,0.0,0.0,0.6070646047592163,0.7131072282791138,0.0,0.0,0.6428869962692261,0.9146012663841248,0.6119219064712524,0.6330173015594482,0.0,0.0,0.84,0.84,0.86,0.83,0.84,0.84,0.84,0.85,0.85,0.86,0.87,0.85,0.85,0.85,0.86,0.86,0.85,0.87,0.85,0.86,0.86,0.87,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.84,0.87,0.88,0.86,0.86,0.87,0.86,0.87,0.8,0.81,0.81,0.81,0.81,0.82,0.81,0.84,0.84,0.84,0.83,0.84,0.82,0.84,0.84,0.82,0.83,0.82,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.84,0.86,0.8299999833106995,0.83,0.85,0.8299999833106995,0.86,0.85,0.7799999713897705,0.78,0.7799999713897705,0.78,0.78,0.8,0.78,0.8,0.7799999713897705,0.78,0.8,0.8,0.8,0.91,0.91,0.9,0.91,0.9,0.86,0.87,0.87,0.85,0.86,0.85,0.88,0.87,0.85,0.83
0.2960907216494846,0.0,0.8899291784473047,0.0,0.727288338051923,0.0,0.2888295338233925,0.0,0.2761156626506024,0.0,0.6431218789489737,0.0,0.387,0.0,0.2906884624079982,0.0,0.1533111798042246,0.0,0.380336423762844,0.0,0.2733895913610133,0.0,0.3147171139717102,0.3591759502887726,0.0,0.0,0.4129999876022339,0.0,0.0,0.3200896978378296,0.1649672836065292,0.8099744319915771,0.8077215552330017,0.0,0.0,0.2966715693473816,0.1161996573209762,0.0,0.0,0.2910705506801605,0.3724464476108551,0.0,0.0,0.7069473266601562,0.6285890936851501,0.0,0.0,0.4330858588218689,0.3850874900817871,0.0,0.0,0.6219824552536011,0.4465318024158478,0.0,0.0,0.8851547241210938,0.9298571348190308,0.0373160243034362,0.0441912040114402,0.0,0.0,0.5639336109161377,0.7333136200904846,0.0,0.0,0.874457597732544,0.97539222240448,0.5492472648620605,0.5727658271789551,0.0,0.0,0.87,0.87,0.88,0.87,0.87,0.87,0.87,0.87,0.88,0.88,0.89,0.87,0.87,0.87,0.88,0.88,0.87,0.89,0.87,0.88,0.88,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.89,0.83,0.86,0.86,0.86,0.85,0.87,0.87,0.85,0.85,0.85,0.84,0.85,0.83,0.85,0.85,0.84,0.84,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.8500000238418579,0.85,0.86,0.87,0.8500000238418579,0.85,0.87,0.8500000238418579,0.88,0.87,0.8100000023841858,0.81,0.8100000023841858,0.81,0.81,0.84,0.81,0.84,0.8100000023841858,0.81,0.84,0.84,0.84,0.91,0.91,0.9,0.91,0.9,0.91,0.91,0.91,0.9,0.91,0.89,0.92,0.91,0.9,0.88
0.2752043200785469,0.0,0.9243301843556808,0.0,0.6568095134334567,0.0,0.3387709128128779,0.0,0.2191521686746987,0.0,0.526115822040176,0.0,0.664,0.0,0.2733448717626667,0.0,0.1093675940236991,0.0,0.37915321247195,0.0,0.3183345664341117,0.0,0.3256413340568542,0.3551638722419739,0.0,0.0,0.5699999928474426,0.0,0.0,0.4336332380771637,0.2338185161352157,0.783546507358551,0.77253258228302,0.0,0.0,0.2872663140296936,0.1822453141212463,0.0,0.0,0.3192163109779358,0.3725917935371399,0.0,0.0,0.6817900538444519,0.6182674765586853,0.0,0.0,0.4279798865318298,0.3377292156219482,0.0,0.0,0.6306368112564087,0.5026028156280518,0.0,0.0,0.9271102547645568,0.950728476047516,0.0272072367370128,0.0385335907340049,0.0,0.0,0.6147363185882568,0.7924570441246033,0.0,0.0,0.9645398855209352,0.9804196357727052,0.4739658832550049,0.5269009470939636,0.0,0.0,0.92,0.92,0.93,0.91,0.92,0.92,0.93,0.93,0.92,0.92,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.93,0.93,0.92,0.93,0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.86,0.89,0.89,0.89,0.88,0.9,0.89,0.87,0.87,0.87,0.87,0.87,0.88,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.9,0.9,0.9,0.9,0.9,0.8999999761581421,0.9,0.9,0.9,0.8999999761581421,0.9,0.9,0.8999999761581421,0.91,0.9,0.8299999833106995,0.83,0.8299999833106995,0.83,0.83,0.86,0.83,0.87,0.8299999833106995,0.83,0.87,0.87,0.87,0.93,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.92,0.91,0.94,0.93,0.93,0.91
0.2410657830142366,0.0021885434856156,0.9157389050675572,0.0,0.5441242640789445,0.090992561363235,0.3567370428956917,0.0,0.1840540963855421,0.0156355932203389,0.4980596540154255,0.0524381496545935,0.273,0.0,0.3570639302670251,0.0,0.060850592478104,0.003161773957602,0.3958294555332468,0.0,0.2908443622726633,0.0265,0.2777599692344665,0.3239758312702179,0.0033970649819821,0.0077600865624845,0.8059999942779541,0.0,0.0,0.5498166680335999,0.3049025237560272,0.7229787707328796,0.7224678993225098,0.0657161474227905,0.0481391064822673,0.2837234735488891,0.2385713160037994,0.0,0.0,0.3862039744853973,0.3838812112808227,0.0146449068561196,0.0094908634200692,0.644169807434082,0.5951604247093201,0.0228101927787065,0.0218332316726446,0.4152328372001648,0.2926464676856994,1.9841067114612088e-5,0.0003696391650009,0.6318937540054321,0.5988795757293701,0.0,0.0,0.9560741186141968,0.9635390639305116,0.030839018523693,0.032003067433834,0.0009499822626821,0.0051168268546462,0.6036232709884644,0.7736843228340149,0.0,0.0,0.9830001592636108,0.9829830527305604,0.4266118705272674,0.468838483095169,0.05747776851058,0.0515127889811992,0.93,0.93,0.94,0.93,0.93,0.93,0.97,0.96,0.96,0.95,0.95,0.96,0.96,0.96,0.95,0.95,0.95,0.95,0.96,0.95,0.95,0.95,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.89,0.91,0.9,0.9,0.9,0.91,0.91,0.88,0.88,0.88,0.89,0.88,0.89,0.88,0.88,0.89,0.88,0.9,0.89,0.89,0.93,0.93,0.93,0.93,0.93,0.9300000071525574,0.93,0.92,0.92,0.9300000071525574,0.93,0.92,0.9300000071525574,0.93,0.92,0.8500000238418579,0.85,0.8500000238418579,0.85,0.85,0.87,0.85,0.88,0.8500000238418579,0.85,0.89,0.89,0.89,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.92,0.93,0.93,0.92,0.92
0.1971303878252332,0.3385893660348931,0.9050786350130748,0.1647541927040273,0.328392503188591,0.6320332862440405,0.4351253373034335,0.2381499999999999,0.2107478313253012,0.3763022598870056,0.4977789881912066,0.3765621085931951,0.102,0.2419678167417614,0.3688004220151222,0.0396036918982632,0.0847403400309119,0.3175913452860506,0.430033541986536,0.0160897027600849,0.2308119892382702,0.4619999999999999,0.2207987159490585,0.2681699097156524,0.2582437396049499,0.2721028923988342,0.9829999804496764,0.0325793623924255,0.0669909045100212,0.6306256055831909,0.3732750713825226,0.5375124216079712,0.5526313185691833,0.3229216337203979,0.2587508261203766,0.3164114356040954,0.4219998717308044,0.1181401759386062,0.1345416605472564,0.4195677042007446,0.3861575722694397,0.2799248397350311,0.2288323491811752,0.6267459392547607,0.5819321274757385,0.2175191044807434,0.2730000615119934,0.3745077848434448,0.2693301737308502,0.191207930445671,0.1766623109579086,0.5863986611366272,0.7659767866134644,0.0134247578680515,0.0320631824433803,0.972788631916046,0.9724014401435852,0.0359702855348587,0.0197006203234195,0.1892124861478805,0.2325791865587234,0.6384794116020203,0.7746206521987915,0.021647123619914,0.0423304662108421,0.9830001592636108,0.9830036759376526,0.3500919938087463,0.3602075278759002,0.284500241279602,0.2849782109260559,0.95,0.95,0.95,0.95,0.95,0.95,0.99,0.99,0.98,0.96,0.96,0.99,0.99,0.99,0.96,0.96,0.96,0.96,0.99,0.97,0.96,0.96,0.93,0.92,0.93,0.93,0.92,0.92,0.94,0.94,0.92,0.91,0.91,0.92,0.91,0.91,0.93,0.91,0.92,0.92,0.92,0.92,0.93,0.93,0.89,0.89,0.89,0.9,0.89,0.91,0.89,0.89,0.9,0.9,0.91,0.91,0.9,0.95,0.95,0.95,0.95,0.95,0.949999988079071,0.95,0.93,0.93,0.949999988079071,0.95,0.93,0.949999988079071,0.94,0.93,0.8700000047683716,0.87,0.8700000047683716,0.87,0.87,0.89,0.87,0.89,0.8700000047683716,0.87,0.9,0.9,0.9,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.92,0.93,0.93,0.94,0.93,0.92,0.94
