Period_Index,Rep_Period,Rep_Period_Index
1,265,12
2,265,12
3,314,15
4,314,15
5,314,15
6,314,15
7,314,15
8,265,12
9,322,16
10,314,15
11,112,4
12,70,1
13,70,1
14,333,18
15,70,1
16,70,1
17,333,18
18,121,5
19,291,14
20,291,14
21,291,14
22,291,14
23,70,1
24,187,8
25,187,8
26,187,8
27,187,8
28,187,8
29,188,9
30,187,8
31,187,8
32,188,9
33,188,9
34,188,9
35,140,6
36,140,6
37,140,6
38,94,2
39,94,2
40,94,2
41,94,2
42,94,2
43,94,2
44,94,2
45,94,2
46,99,3
47,94,2
48,265,12
49,265,12
50,314,15
51,265,12
52,265,12
53,265,12
54,265,12
55,265,12
56,112,4
57,265,12
58,265,12
59,265,12
60,112,4
61,112,4
62,112,4
63,112,4
64,112,4
65,112,4
66,112,4
67,70,1
68,70,1
69,70,1
70,70,1
71,291,14
72,291,14
73,70,1
74,291,14
75,284,13
76,291,14
77,291,14
78,291,14
79,291,14
80,291,14
81,291,14
82,187,8
83,188,9
84,188,9
85,187,8
86,188,9
87,188,9
88,140,6
89,140,6
90,140,6
91,140,6
92,94,2
93,94,2
94,94,2
95,94,2
96,94,2
97,99,3
98,99,3
99,99,3
100,99,3
101,99,3
102,265,12
103,265,12
104,265,12
105,265,12
106,265,12
107,314,15
108,112,4
109,112,4
110,112,4
111,112,4
112,112,4
113,112,4
114,112,4
115,112,4
116,112,4
117,112,4
118,70,1
119,121,5
120,121,5
121,121,5
122,121,5
123,291,14
124,291,14
125,291,14
126,291,14
127,284,13
128,291,14
129,291,14
130,291,14
131,187,8
132,187,8
133,187,8
134,187,8
135,188,9
136,188,9
137,188,9
138,188,9
139,188,9
140,140,6
141,140,6
142,140,6
143,140,6
144,94,2
145,94,2
146,94,2
147,94,2
148,99,3
149,99,3
150,99,3
151,99,3
152,99,3
153,314,15
154,314,15
155,314,15
156,314,15
157,314,15
158,314,15
159,265,12
160,160,7
161,314,15
162,94,2
163,94,2
164,94,2
165,94,2
166,112,4
167,322,16
168,322,16
169,322,16
170,322,16
171,322,16
172,140,6
173,322,16
174,70,1
175,70,1
176,187,8
177,333,18
178,70,1
179,291,14
180,291,14
181,291,14
182,291,14
183,291,14
184,187,8
185,187,8
186,187,8
187,187,8
188,188,9
189,188,9
190,188,9
191,188,9
192,140,6
193,140,6
194,140,6
195,140,6
196,140,6
197,99,3
198,349,20
199,99,3
200,99,3
201,99,3
202,99,3
203,265,12
204,265,12
205,314,15
206,265,12
207,265,12
208,265,12
209,265,12
210,314,15
211,213,10
212,213,10
213,213,10
214,213,10
215,213,10
216,213,10
217,213,10
218,213,10
219,121,5
220,213,10
221,121,5
222,121,5
223,121,5
224,232,11
225,232,11
226,232,11
227,232,11
228,232,11
229,232,11
230,232,11
231,232,11
232,232,11
233,232,11
234,232,11
235,232,11
236,232,11
237,232,11
238,232,11
239,232,11
240,187,8
241,187,8
242,187,8
243,187,8
244,187,8
245,187,8
246,140,6
247,140,6
248,140,6
249,94,2
250,94,2
251,94,2
252,94,2
253,99,3
254,265,12
255,265,12
256,265,12
257,265,12
258,314,15
259,314,15
260,314,15
261,265,12
262,314,15
263,112,4
264,265,12
265,265,12
266,314,15
267,314,15
268,314,15
269,265,12
270,265,12
271,213,10
272,213,10
273,213,10
274,213,10
275,121,5
276,121,5
277,291,14
278,121,5
279,284,13
280,291,14
281,291,14
282,284,13
283,291,14
284,284,13
285,291,14
286,284,13
287,284,13
288,291,14
289,291,14
290,291,14
291,291,14
292,187,8
293,187,8
294,187,8
295,187,8
296,188,9
297,140,6
298,140,6
299,140,6
300,140,6
301,94,2
302,94,2
303,94,2
304,94,2
305,99,3
306,99,3
307,99,3
308,99,3
309,265,12
310,265,12
311,265,12
312,265,12
313,314,15
314,314,15
315,265,12
316,314,15
317,314,15
318,314,15
319,322,16
320,112,4
321,322,16
322,322,16
323,322,16
324,322,16
325,322,16
326,326,17
327,333,18
328,333,18
329,333,18
330,333,18
331,333,18
332,333,18
333,333,18
334,333,18
335,333,18
336,333,18
337,333,18
338,333,18
339,339,19
340,187,8
341,187,8
342,187,8
343,187,8
344,188,9
345,188,9
346,188,9
347,349,20
348,349,20
349,349,20
350,349,20
351,349,20
352,99,3
353,99,3
354,349,20
355,349,20
356,349,20
357,99,3
358,99,3
359,99,3
360,99,3
361,99,3
362,314,15
363,99,3
364,99,3
365,99,3
