AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_utilitypv_class1_moderate_1,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class3_moderate_fixed_0_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_utilitypv_class1_moderate_1,ID_landbasedwind_class3_moderate_1,ID_utilitypv_class1_moderate_1,MT_landbasedwind_class3_moderate_1,MT_utilitypv_class1_moderate_1,NM_landbasedwind_class3_moderate_1,NM_utilitypv_class1_moderate_1,NV_landbasedwind_class3_moderate_1,NV_utilitypv_class1_moderate_1,OR_landbasedwind_class3_moderate_1,OR_utilitypv_class1_moderate_1,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class3_moderate_fixed_0_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_utilitypv_class1_moderate_1,WA_landbasedwind_class3_moderate_1,WA_utilitypv_class1_moderate_1,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class3_moderate_fixed_0_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_utilitypv_class1_moderate_1,AZ_Deep_5_5_257_c171,AZ_Deep_6_5_283_c176,AZ_Deep_3_5_200_c161,AZ_Deep_6_5_273_c177,AZ_Deep_5_5_238_c172,AZ_Deep_6_5_263_c178,CA_NearField_2_5_254_c235,CA_NearField_3_5_270_c238,CA_NearField_4_5_283_c241,CA_Deep_4_5_262_c46,CA_Deep_5_5_290_c51,CA_NearField_5_5_289_c244,CA_NearField_3_5_228_c239,CA_NearField_4_5_253_c242,CA_Deep_5_5_278_c52,CA_Deep_4_5_243_c47,CA_Deep_3_5_214_c41,CA_Deep_5_5_269_c53,CA_NearField_2_5_203_c236,CA_NearField_5_5_268_c245,CA_Deep_6_5_298_c56,CA_Deep_5_5_263_c54,CO_Deep_5_5_268_c211,CO_Deep_6_5_290_c216,CO_Deep_3_5_198_c201,CO_Deep_4_5_218_c206,CO_Deep_6_5_277_c217,CO_Deep_5_5_240_c212,ID_Deep_5_5_285_c91,ID_Deep_5_5_269_c92,MT_Deep_4_5_213_c106,MT_Deep_3_5_188_c101,MT_Deep_5_5_236_c111,MT_Deep_6_5_262_c116,MT_Deep_3_5_179_c102,MT_Deep_4_5_191_c107,MT_Deep_6_5_232_c117,NM_Deep_5_5_272_c191,NM_Deep_6_5_294_c196,NM_Deep_6_5_284_c197,NM_Deep_5_5_250_c192,NM_Deep_4_5_219_c186,NM_Deep_6_5_274_c198,NM_Deep_5_5_236_c193,NV_NearField_2_5_239_c248,NV_NearField_3_5_262_c251,NV_NearField_4_5_271_c254,NV_Deep_4_5_249_c66,NV_NearField_5_5_283_c257,NV_Deep_5_5_273_c71,NV_NearField_2_5_200_c249,NV_NearField_3_5_216_c252,NV_Deep_5_5_265_c72,NV_Deep_3_5_211_c61,NV_Deep_6_5_296_c76,NV_Deep_6_5_290_c77,NV_Deep_5_5_254_c73,OR_NearField_2_5_261_c221,OR_NearField_3_5_288_c224,OR_NearField_2_5_225_c222,OR_NearField_4_5_288_c227,OR_NearField_3_5_239_c225,OR_NearField_5_5_300_c230,OR_NearField_2_5_200_c223,OR_Deep_4_5_250_c26,OR_Deep_5_5_282_c31,OR_NearField_5_5_275_c231,OR_NearField_4_5_239_c228,OR_Deep_5_5_268_c32,OR_NearField_6_5_300_c233,OR_Deep_6_5_296_c36,OR_Deep_4_5_229_c27,UT_NearField_2_5_250_c263,UT_NearField_3_5_286_c266,UT_NearField_2_5_225_c264,UT_NearField_4_5_288_c269,UT_NearField_3_5_239_c267,UT_Deep_3_5_230_c141,UT_NearField_5_5_288_c272,UT_Deep_5_5_282_c151,UT_NearField_2_5_200_c265,UT_NearField_4_5_239_c270,UT_Deep_4_5_229_c146,UT_Deep_5_5_256_c152,UT_Deep_6_5_291_c156,WA_Deep_6_5_294_c16,WA_Deep_5_5_256_c11,WA_Deep_6_5_272_c17,WA_Deep_4_5_214_c6,WA_Deep_5_5_231_c12,WY_Deep_4_5_207_c126,WY_Deep_6_5_261_c136,WY_Deep_5_5_225_c131,WY_Deep_3_5_170_c121,WY_Deep_3_5_166_c122,WY_Deep_6_5_228_c137,WY_Deep_3_5_160_c123,WY_Deep_4_5_179_c127,WY_Deep_3_5_153_c124,WY_Deep_6_5_213_c138
0.0763543446244477,0.0,0.1788421927098747,0.0,0.5654647682821459,0.0,0.8095407090350796,0.0,0.3948071084337349,0.0,0.3981890278443505,0.0,0.924,0.0,0.238088799015298,0.0,0.8481795466254509,0.0,0.4278773473485296,0.0,0.5524872765017752,0.0,0.2130483090877533,0.0,0.7137321829795837,0.0,0.3647801876068115,0.3647801876068115,0.3647801876068115,0.3661881983280182,0.0,0.5986297726631165,0.0,0.5073604583740234,0.0,0.1254247277975082,0.0,0.2641347348690033,0.0,0.6892281770706177,0.0,0.9147904515266418,0.9147904515266418,0.9147904515266418,0.3638098835945129,0.0,0.5880661606788635,0.0,0.668383002281189,0.668383002281189,0.668383002281189,0.5717682242393494,0.0,1.02,1.02,0.99,1.03,1.03,1.02,1.06,1.05,1.05,1.03,1.03,1.05,1.05,1.05,1.03,1.03,1.03,1.02,1.05,1.04,1.01,1.02,1.05,1.05,1.05,1.05,1.04,1.05,1.04,1.04,1.05,1.05,1.05,1.05,1.05,1.05,1.04,1.06,1.04,1.04,1.05,1.05,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.05,1.04,1.05,1.05,1.05,1.03,1.03,1.03,1.03,1.03,1.0299999713897705,1.03,1.02,1.02,1.0299999713897705,1.03,1.02,1.0299999713897705,1.02,1.02,1.0399999618530271,1.04,1.0399999618530271,1.04,1.04,1.04,1.04,1.05,1.0399999618530271,1.04,1.05,1.05,1.05,1.0,0.99,0.99,0.99,1.0,1.03,1.03,1.03,1.04,1.03,1.04,1.03,1.03,1.04,1.04
0.068046440844379,0.0,0.2064910887795792,0.0,0.5642573342523517,0.0,0.793799665022797,0.0,0.4463787951807229,0.0,0.4423382282452395,0.0,0.959,0.0,0.2283119646311135,0.0,0.9168892323544564,0.0,0.4636884669894886,0.0,0.6464688762014813,0.0,0.2155470103025436,0.0,0.6870641112327576,0.0,0.329201340675354,0.329201340675354,0.329201340675354,0.3954342007637024,0.0,0.6062350273132324,0.0,0.4921872615814209,0.0,0.1421780586242675,0.0,0.2723748981952667,0.0,0.7212455868721008,0.0,0.9007699489593506,0.9007699489593506,0.9007699489593506,0.3747027814388275,0.0,0.5876005291938782,0.0,0.5290336012840271,0.5290336012840271,0.5290336012840271,0.5860635638237,0.0,1.0,1.0,0.98,1.01,1.01,1.01,1.05,1.04,1.04,1.02,1.02,1.04,1.04,1.04,1.02,1.02,1.02,1.02,1.04,1.03,1.0,1.02,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.04,1.04,1.04,1.03,1.04,1.04,1.03,1.04,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.03,1.02,1.03,1.03,1.02,1.02,1.03,1.02,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.0199999809265137,1.02,1.01,1.01,1.0199999809265137,1.02,1.01,1.0199999809265137,1.01,1.01,1.0299999713897705,1.03,1.0299999713897705,1.03,1.03,1.03,1.03,1.04,1.0299999713897705,1.03,1.04,1.04,1.04,0.99,0.99,0.99,0.99,0.99,1.02,1.02,1.02,1.03,1.02,1.03,1.02,1.02,1.03,1.03
0.0817516936671576,0.0,0.2352665648341997,0.0,0.5456169470502075,0.0,0.7588362333674513,0.0,0.4434132530120482,0.0,0.4748342847182883,0.0,0.974,0.0,0.2520292396191816,0.0,0.9369015971148892,0.0,0.4966085390338963,0.0,0.483416751382496,0.0,0.2239451855421066,0.0,0.6834190487861633,0.0,0.3028111755847931,0.3028111755847931,0.3028111755847931,0.4232906997203827,0.0,0.6089373230934143,0.0,0.4885537326335907,0.0,0.1613485813140869,0.0,0.2857575416564941,0.0,0.7373719811439514,0.0,0.8973514437675476,0.8973514437675476,0.8973514437675476,0.3887716233730316,0.0,0.5983657836914062,0.0,0.5368305444717407,0.5368305444717407,0.5368305444717407,0.5962684750556946,0.0,1.0,1.0,0.98,1.0,1.0,1.0,1.04,1.04,1.03,1.02,1.02,1.04,1.04,1.04,1.02,1.02,1.02,1.01,1.04,1.03,1.0,1.01,1.03,1.03,1.03,1.03,1.02,1.03,1.02,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.03,1.02,1.02,1.02,1.03,1.02,1.02,1.01,1.01,1.02,1.02,1.02,1.02,1.01,1.02,1.03,1.02,1.03,1.03,1.03,1.01,1.01,1.01,1.01,1.01,1.0099999904632568,1.01,1.01,1.01,1.0099999904632568,1.01,1.01,1.0099999904632568,1.0,1.01,1.0299999713897705,1.03,1.0299999713897705,1.03,1.03,1.03,1.03,1.03,1.0299999713897705,1.03,1.03,1.03,1.03,0.99,0.99,0.98,0.99,0.99,1.02,1.02,1.02,1.02,1.02,1.03,1.02,1.02,1.02,1.03
0.0973781050564555,0.0,0.3084843662415799,0.0,0.5479513702014833,0.0,0.7305581092397877,0.0,0.5075957228915662,0.0,0.5106925356224672,0.0,0.929,0.0,0.3122564997864804,0.0,0.8918173621844411,0.0,0.6074439293728594,0.0,0.5210706421992188,0.0,0.2356751710176468,0.0,0.6808931231498718,0.0,0.2625233829021454,0.2625233829021454,0.2625233829021454,0.4280668795108795,0.0,0.5987823605537415,0.0,0.4864131510257721,0.0,0.185180202126503,0.0,0.2932838499546051,0.0,0.764792263507843,0.0,0.8633467555046082,0.8633467555046082,0.8633467555046082,0.3992502689361572,0.0,0.6090884804725647,0.0,0.6116740107536316,0.6116740107536316,0.6116740107536316,0.6071755290031433,0.0,0.99,0.99,0.98,1.0,1.0,1.0,1.04,1.04,1.03,1.02,1.02,1.04,1.04,1.04,1.01,1.01,1.02,1.01,1.04,1.03,1.0,1.01,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.03,1.03,1.03,1.02,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.0,1.0,1.0,1.01,1.01,1.02,1.0,1.01,1.02,1.01,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.0099999904632568,1.01,1.01,1.0,1.0099999904632568,1.01,1.01,1.0099999904632568,1.0,1.0,1.0199999809265137,1.02,1.0199999809265137,1.02,1.02,1.02,1.02,1.03,1.0199999809265137,1.02,1.03,1.03,1.03,0.99,0.99,0.98,0.99,0.99,1.02,1.02,1.02,1.02,1.02,1.03,1.02,1.02,1.02,1.03
0.1488942562592047,0.0,0.2582972679379575,0.0,0.5278685976383908,0.0,0.6943111566018423,0.0,0.5180574698795181,0.0,0.6256542768748095,0.0,0.968,0.0,0.4071384611520007,0.0,0.8244433281813499,0.0,0.6357122947915437,0.0,0.525535160532862,0.0,0.2380142211914062,0.0,0.6673217415809631,0.0,0.2306643724441528,0.2306643724441528,0.2306643724441528,0.4252136051654815,0.0,0.598186194896698,0.0,0.4875396490097046,0.0,0.2027207911014557,0.0,0.2897865772247314,0.0,0.7825008034706116,0.0,0.8072436451911926,0.8072436451911926,0.8072436451911926,0.4075081944465637,0.0,0.597473680973053,0.0,0.6567274332046509,0.6567274332046509,0.6567274332046509,0.6122427582740784,0.0,1.0,1.0,0.99,1.01,1.01,1.01,1.04,1.03,1.03,1.02,1.02,1.03,1.03,1.03,1.01,1.01,1.01,1.01,1.03,1.02,1.0,1.01,1.04,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.04,1.04,1.04,1.03,1.04,1.04,1.03,1.05,1.03,1.04,1.04,1.04,1.04,1.04,1.01,1.01,1.01,1.02,1.01,1.02,1.01,1.02,1.03,1.01,1.03,1.03,1.03,1.01,1.01,1.01,1.01,1.01,1.0099999904632568,1.01,1.01,1.01,1.0099999904632568,1.01,1.01,1.0099999904632568,1.0,1.01,1.0299999713897705,1.03,1.0299999713897705,1.03,1.03,1.03,1.03,1.04,1.0299999713897705,1.03,1.03,1.03,1.03,0.99,0.99,0.99,0.99,0.99,1.03,1.03,1.03,1.03,1.03,1.04,1.03,1.03,1.03,1.04
0.2761222385861561,0.0,0.2781585547028856,0.0,0.4554036245784548,0.0,0.597890015818368,0.0,0.4295331325301205,0.0,0.6290837945008498,0.0,0.96,0.0,0.4671665703735336,0.0,0.772944873776404,0.0,0.6496360576355262,0.0,0.5357206467812857,0.0,0.2343375235795974,0.0,0.6330722570419312,0.0,0.1870466768741607,0.1870466768741607,0.1870466768741607,0.4123834371566772,0.0,0.602607786655426,0.0,0.4916767477989197,0.0,0.2142612040042877,0.0,0.2836699485778808,0.0,0.8106841444969177,0.0,0.7296314239501953,0.7296314239501953,0.7296314239501953,0.4063917398452759,0.0,0.6253737211227417,0.0,0.7329596281051636,0.7329596281051636,0.7329596281051636,0.6209841966629028,0.0,1.03,1.03,1.03,1.03,1.03,1.03,1.05,1.04,1.04,1.02,1.02,1.04,1.04,1.04,1.02,1.02,1.02,1.02,1.04,1.03,1.0,1.02,1.06,1.06,1.06,1.06,1.06,1.06,1.05,1.05,1.06,1.06,1.06,1.06,1.06,1.06,1.05,1.06,1.05,1.06,1.05,1.05,1.05,1.05,1.02,1.02,1.02,1.03,1.02,1.05,1.02,1.03,1.04,1.03,1.05,1.05,1.04,1.02,1.02,1.02,1.02,1.02,1.0199999809265137,1.02,1.01,1.01,1.0199999809265137,1.02,1.01,1.0199999809265137,1.01,1.01,1.059999942779541,1.06,1.059999942779541,1.06,1.06,1.06,1.06,1.06,1.059999942779541,1.06,1.06,1.06,1.06,1.0,1.0,0.99,1.0,0.99,1.05,1.05,1.05,1.06,1.06,1.06,1.04,1.06,1.06,1.06
0.3022759941089838,0.0,0.2422205055559266,0.0,0.36903527317086,0.0,0.5458880617846841,0.0,0.3503926506024096,0.0,0.6388500588260926,0.0,0.959,0.0,0.5552095757240826,0.0,0.7304160226687274,0.0,0.696644029762608,0.0,0.496816540197566,0.0,0.2302835881710052,0.0,0.6087290644645691,0.0,0.1523673832416534,0.1523673832416534,0.1523673832416534,0.405095636844635,0.0,0.603891909122467,0.0,0.495816022157669,0.0,0.2234795093536377,0.0,0.2788108289241791,0.0,0.8279212713241577,0.0,0.5716838836669922,0.5716838836669922,0.5716838836669922,0.3972552716732025,0.0,0.6636147499084473,0.0,0.8134729862213135,0.8134729862213135,0.8134729862213135,0.6113519072532654,0.0,1.04,1.04,1.04,1.04,1.04,1.04,1.06,1.06,1.05,1.04,1.04,1.06,1.06,1.06,1.04,1.04,1.04,1.03,1.06,1.05,1.03,1.04,1.08,1.08,1.07,1.08,1.08,1.08,1.06,1.06,1.06,1.06,1.07,1.07,1.07,1.07,1.06,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.03,1.03,1.03,1.05,1.03,1.07,1.03,1.03,1.06,1.04,1.07,1.06,1.06,1.03,1.03,1.03,1.03,1.03,1.0299999713897705,1.03,1.02,1.02,1.0299999713897705,1.03,1.02,1.0299999713897705,1.02,1.02,1.0800000429153442,1.08,1.0800000429153442,1.08,1.08,1.08,1.08,1.08,1.0800000429153442,1.08,1.08,1.07,1.07,1.0,1.0,1.0,1.0,1.0,1.07,1.07,1.07,1.08,1.07,1.07,1.06,1.07,1.08,1.07
0.2841516936671576,0.0,0.2930578755501852,0.0,0.3510299638109042,0.0,0.4426996371080301,0.0,0.3916193373493976,0.0,0.6096669135910061,0.0,0.933,0.0,0.662858122535105,0.0,0.742217671303452,0.0,0.6905940710995631,0.0,0.5053089705890518,0.0,0.2224207371473312,0.0,0.5901817679405212,0.0,0.1330469995737075,0.1330469995737075,0.1330469995737075,0.3940733969211578,0.0,0.5968342423439026,0.0,0.5011375546455383,0.0,0.2310504764318466,0.0,0.2748807966709137,0.0,0.8251662254333496,0.0,0.4122262597084045,0.4122262597084045,0.4122262597084045,0.3889106512069702,0.0,0.6827864050865173,0.0,0.850989043712616,0.850989043712616,0.850989043712616,0.604915976524353,0.0,1.05,1.05,1.05,1.05,1.05,1.05,1.06,1.06,1.05,1.05,1.04,1.06,1.06,1.06,1.04,1.04,1.04,1.04,1.06,1.05,1.03,1.04,1.09,1.09,1.09,1.09,1.09,1.09,1.07,1.07,1.07,1.06,1.07,1.07,1.07,1.07,1.06,1.07,1.07,1.08,1.07,1.07,1.07,1.07,1.04,1.04,1.04,1.06,1.04,1.07,1.04,1.04,1.06,1.05,1.08,1.07,1.07,1.03,1.03,1.03,1.03,1.03,1.0299999713897705,1.03,1.03,1.02,1.0299999713897705,1.03,1.03,1.0299999713897705,1.02,1.03,1.090000033378601,1.09,1.090000033378601,1.09,1.09,1.1,1.09,1.09,1.090000033378601,1.09,1.09,1.08,1.08,1.01,1.0,1.0,1.0,1.01,1.08,1.08,1.08,1.09,1.08,1.08,1.06,1.08,1.09,1.08
0.3045141875306824,0.0,0.4469531688487225,0.0,0.3858935206474311,0.0,0.3676456685586675,0.0,0.4142096385542169,0.0,0.5869286679158133,0.0,0.946,0.0,0.6980902057323721,0.0,0.7595185471406491,0.0,0.7441217373331759,0.0,0.5736854737667341,0.0,0.211424320936203,0.0,0.5614577531814575,0.0,0.1247621178627014,0.1247621178627014,0.1247621178627014,0.3850977122783661,0.0,0.6006649136543274,0.0,0.5064800977706909,0.0,0.2417399883270263,0.0,0.2688270509243011,0.0,0.8193306922912598,0.0,0.3423506915569305,0.3423506915569305,0.3423506915569305,0.3841277658939361,0.0,0.6901473999023438,0.0,0.7228409647941589,0.7228409647941589,0.7228409647941589,0.6004481315612793,0.0,1.06,1.06,1.05,1.06,1.06,1.05,1.07,1.06,1.06,1.04,1.04,1.06,1.06,1.06,1.04,1.04,1.04,1.04,1.06,1.05,1.03,1.04,1.1,1.1,1.1,1.1,1.1,1.1,1.07,1.07,1.06,1.06,1.07,1.07,1.06,1.07,1.06,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.05,1.05,1.05,1.07,1.05,1.08,1.05,1.05,1.07,1.06,1.08,1.08,1.07,1.03,1.03,1.03,1.03,1.03,1.0299999713897705,1.03,1.03,1.02,1.0299999713897705,1.03,1.03,1.0299999713897705,1.02,1.02,1.100000023841858,1.1,1.100000023841858,1.1,1.1,1.11,1.1,1.1,1.100000023841858,1.1,1.09,1.09,1.09,1.01,1.01,1.0,1.01,1.01,1.08,1.08,1.08,1.09,1.09,1.08,1.07,1.08,1.09,1.09
0.3512003927344133,0.0092201495466374,0.4145450220262391,0.0,0.4252296125423472,0.04476732738831,0.3175046059365404,0.0,0.4800401807228915,0.0,0.5705466469127195,0.0555846084317903,0.954,0.0,0.7730992237936145,0.0,0.8133547140649151,0.0004777485961783,0.7594893409708279,0.0,0.5308534134624376,0.0,0.2025349289178848,0.0067703523673117,0.5400214791297913,0.0,0.1470264941453933,0.1470264941453933,0.1470264941453933,0.3897737264633178,0.0188968405127525,0.5951262712478638,0.0,0.5380163788795471,0.0,0.2485069185495376,0.0125737814232707,0.2549522519111633,0.0002132264198735,0.8099676966667175,0.0,0.278760552406311,0.278760552406311,0.278760552406311,0.3713084459304809,6.11266223131679e-5,0.7055912613868713,0.0,0.564591109752655,0.564591109752655,0.564591109752655,0.6024556756019592,0.0199233666062355,1.06,1.06,1.05,1.06,1.06,1.06,1.07,1.06,1.06,1.04,1.03,1.06,1.06,1.06,1.04,1.04,1.04,1.03,1.06,1.05,1.03,1.04,1.1,1.11,1.1,1.1,1.1,1.1,1.08,1.08,1.06,1.06,1.07,1.07,1.06,1.07,1.06,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.06,1.06,1.06,1.07,1.06,1.08,1.06,1.06,1.07,1.06,1.08,1.08,1.07,1.03,1.03,1.03,1.03,1.03,1.0299999713897705,1.03,1.03,1.02,1.0299999713897705,1.03,1.03,1.0299999713897705,1.02,1.03,1.100000023841858,1.1,1.100000023841858,1.1,1.1,1.11,1.1,1.1,1.100000023841858,1.1,1.1,1.1,1.1,1.01,1.01,1.01,1.01,1.01,1.08,1.09,1.09,1.09,1.09,1.09,1.07,1.09,1.09,1.09
