Period_Index,Rep_Period,Rep_Period_Index
1,51,3
2,155,7
3,155,7
4,155,7
5,155,7
6,155,7
7,116,5
8,51,3
9,113,4
10,116,5
11,116,5
12,17,1
13,17,1
14,17,1
15,17,1
16,17,1
17,17,1
18,17,1
19,291,15
20,291,15
21,281,14
22,291,15
23,17,1
24,291,15
25,291,15
26,291,15
27,188,9
28,346,19
29,292,16
30,188,9
31,188,9
32,188,9
33,188,9
34,188,9
35,188,9
36,140,6
37,140,6
38,44,2
39,44,2
40,44,2
41,44,2
42,44,2
43,44,2
44,44,2
45,44,2
46,44,2
47,44,2
48,155,7
49,155,7
50,155,7
51,51,3
52,51,3
53,51,3
54,51,3
55,155,7
56,155,7
57,51,3
58,51,3
59,155,7
60,44,2
61,116,5
62,113,4
63,116,5
64,113,4
65,116,5
66,116,5
67,113,4
68,17,1
69,17,1
70,17,1
71,281,14
72,281,14
73,281,14
74,281,14
75,281,14
76,281,14
77,291,15
78,291,15
79,291,15
80,291,15
81,291,15
82,291,15
83,291,15
84,346,19
85,188,9
86,292,16
87,188,9
88,140,6
89,140,6
90,140,6
91,140,6
92,140,6
93,44,2
94,44,2
95,44,2
96,44,2
97,307,18
98,307,18
99,307,18
100,307,18
101,155,7
102,155,7
103,51,3
104,51,3
105,51,3
106,51,3
107,155,7
108,155,7
109,155,7
110,155,7
111,155,7
112,116,5
113,113,4
114,113,4
115,116,5
116,116,5
117,116,5
118,17,1
119,17,1
120,17,1
121,17,1
122,281,14
123,281,14
124,281,14
125,281,14
126,291,15
127,281,14
128,281,14
129,281,14
130,291,15
131,291,15
132,291,15
133,291,15
134,292,16
135,346,19
136,346,19
137,346,19
138,346,19
139,346,19
140,140,6
141,140,6
142,140,6
143,140,6
144,44,2
145,44,2
146,44,2
147,355,20
148,113,4
149,307,18
150,307,18
151,307,18
152,307,18
153,155,7
154,155,7
155,155,7
156,155,7
157,155,7
158,155,7
159,155,7
160,51,3
161,155,7
162,155,7
163,44,2
164,44,2
165,44,2
166,116,5
167,113,4
168,116,5
169,113,4
170,113,4
171,116,5
172,140,6
173,113,4
174,113,4
175,17,1
176,188,9
177,17,1
178,281,14
179,281,14
180,281,14
181,281,14
182,291,15
183,281,14
184,291,15
185,185,8
186,292,16
187,188,9
188,188,9
189,346,19
190,188,9
191,188,9
192,188,9
193,113,4
194,140,6
195,140,6
196,140,6
197,307,18
198,44,2
199,307,18
200,307,18
201,307,18
202,307,18
203,51,3
204,51,3
205,155,7
206,51,3
207,207,10
208,51,3
209,155,7
210,155,7
211,216,11
212,216,11
213,216,11
214,216,11
215,216,11
216,216,11
217,216,11
218,216,11
219,216,11
220,216,11
221,216,11
222,227,12
223,227,12
224,227,12
225,227,12
226,227,12
227,227,12
228,227,12
229,227,12
230,227,12
231,227,12
232,227,12
233,227,12
234,239,13
235,239,13
236,239,13
237,239,13
238,239,13
239,239,13
240,239,13
241,239,13
242,239,13
243,239,13
244,292,16
245,292,16
246,188,9
247,140,6
248,140,6
249,113,4
250,44,2
251,44,2
252,44,2
253,155,7
254,51,3
255,51,3
256,51,3
257,155,7
258,155,7
259,155,7
260,155,7
261,51,3
262,155,7
263,155,7
264,51,3
265,51,3
266,155,7
267,155,7
268,116,5
269,51,3
270,216,11
271,216,11
272,216,11
273,116,5
274,216,11
275,17,1
276,17,1
277,17,1
278,281,14
279,281,14
280,281,14
281,281,14
282,281,14
283,281,14
284,281,14
285,291,15
286,291,15
287,291,15
288,291,15
289,291,15
290,291,15
291,291,15
292,292,16
293,292,16
294,346,19
295,292,16
296,188,9
297,140,6
298,140,6
299,299,17
300,140,6
301,44,2
302,44,2
303,44,2
304,44,2
305,307,18
306,307,18
307,307,18
308,307,18
309,51,3
310,51,3
311,51,3
312,51,3
313,155,7
314,155,7
315,155,7
316,155,7
317,51,3
318,155,7
319,155,7
320,155,7
321,51,3
322,116,5
323,355,20
324,116,5
325,113,4
326,116,5
327,116,5
328,17,1
329,17,1
330,17,1
331,17,1
332,291,15
333,17,1
334,17,1
335,17,1
336,291,15
337,291,15
338,17,1
339,292,16
340,292,16
341,292,16
342,292,16
343,292,16
344,292,16
345,346,19
346,346,19
347,346,19
348,346,19
349,140,6
350,355,20
351,355,20
352,355,20
353,355,20
354,355,20
355,355,20
356,355,20
357,307,18
358,307,18
359,307,18
360,307,18
361,307,18
362,155,7
363,155,7
364,51,3
365,155,7
