Period_Index,Rep_Period,Rep_Period_Index
1,265,15
2,109,7
3,6,1
4,6,1
5,6,1
6,6,1
7,322,19
8,265,15
9,322,19
10,6,1
11,65,3
12,65,3
13,65,3
14,22,2
15,65,3
16,70,4
17,22,2
18,70,4
19,22,2
20,291,16
21,22,2
22,22,2
23,70,4
24,22,2
25,22,2
26,188,11
27,188,11
28,188,11
29,188,11
30,188,11
31,188,11
32,188,11
33,188,11
34,188,11
35,140,9
36,140,9
37,140,9
38,94,5
39,94,5
40,94,5
41,94,5
42,94,5
43,94,5
44,94,5
45,96,6
46,308,18
47,308,18
48,265,15
49,265,15
50,265,15
51,265,15
52,265,15
53,265,15
54,109,7
55,109,7
56,265,15
57,265,15
58,265,15
59,265,15
60,6,1
61,96,6
62,65,3
63,65,3
64,65,3
65,65,3
66,65,3
67,70,4
68,65,3
69,70,4
70,70,4
71,129,8
72,22,2
73,70,4
74,291,16
75,129,8
76,129,8
77,291,16
78,291,16
79,291,16
80,291,16
81,187,10
82,187,10
83,187,10
84,188,11
85,188,11
86,188,11
87,140,9
88,140,9
89,140,9
90,140,9
91,140,9
92,96,6
93,94,5
94,94,5
95,94,5
96,96,6
97,308,18
98,308,18
99,308,18
100,96,6
101,308,18
102,265,15
103,265,15
104,265,15
105,265,15
106,265,15
107,6,1
108,6,1
109,109,7
110,6,1
111,6,1
112,6,1
113,65,3
114,65,3
115,65,3
116,96,6
117,65,3
118,70,4
119,70,4
120,70,4
121,70,4
122,22,2
123,22,2
124,22,2
125,22,2
126,291,16
127,291,16
128,291,16
129,129,8
130,291,16
131,187,10
132,187,10
133,187,10
134,187,10
135,188,11
136,188,11
137,188,11
138,188,11
139,140,9
140,140,9
141,140,9
142,140,9
143,140,9
144,94,5
145,94,5
146,94,5
147,322,19
148,322,19
149,308,18
150,308,18
151,308,18
152,308,18
153,308,18
154,265,15
155,265,15
156,308,18
157,308,18
158,308,18
159,265,15
160,265,15
161,6,1
162,6,1
163,6,1
164,6,1
165,94,5
166,6,1
167,322,19
168,322,19
169,322,19
170,65,3
171,65,3
172,140,9
173,65,3
174,65,3
175,22,2
176,22,2
177,22,2
178,70,4
179,291,16
180,129,8
181,129,8
182,291,16
183,129,8
184,187,10
185,187,10
186,187,10
187,188,11
188,188,11
189,188,11
190,188,11
191,188,11
192,140,9
193,140,9
194,140,9
195,140,9
196,140,9
197,94,5
198,94,5
199,96,6
200,265,15
201,96,6
202,96,6
203,265,15
204,265,15
205,265,15
206,265,15
207,207,12
208,265,15
209,109,7
210,109,7
211,109,7
212,109,7
213,109,7
214,220,13
215,220,13
216,220,13
217,220,13
218,220,13
219,220,13
220,220,13
221,220,13
222,220,13
223,232,14
224,232,14
225,232,14
226,232,14
227,232,14
228,232,14
229,232,14
230,232,14
231,232,14
232,232,14
233,232,14
234,232,14
235,232,14
236,232,14
237,232,14
238,232,14
239,232,14
240,187,10
241,187,10
242,187,10
243,187,10
244,187,10
245,140,9
246,140,9
247,140,9
248,140,9
249,94,5
250,94,5
251,94,5
252,94,5
253,265,15
254,265,15
255,265,15
256,265,15
257,109,7
258,308,18
259,308,18
260,265,15
261,265,15
262,265,15
263,109,7
264,265,15
265,265,15
266,6,1
267,6,1
268,96,6
269,109,7
270,65,3
271,65,3
272,65,3
273,65,3
274,220,13
275,70,4
276,70,4
277,22,2
278,70,4
279,129,8
280,291,16
281,291,16
282,129,8
283,291,16
284,129,8
285,291,16
286,291,16
287,291,16
288,291,16
289,291,16
290,291,16
291,291,16
292,188,11
293,188,11
294,188,11
295,188,11
296,188,11
297,140,9
298,140,9
299,299,17
300,140,9
301,94,5
302,94,5
303,94,5
304,94,5
305,308,18
306,308,18
307,96,6
308,308,18
309,265,15
310,265,15
311,265,15
312,265,15
313,109,7
314,6,1
315,109,7
316,6,1
317,265,15
318,308,18
319,322,19
320,322,19
321,322,19
322,322,19
323,322,19
324,322,19
325,322,19
326,140,9
327,65,3
328,65,3
329,65,3
330,22,2
331,22,2
332,22,2
333,22,2
334,22,2
335,22,2
336,22,2
337,22,2
338,22,2
339,339,20
340,188,11
341,188,11
342,188,11
343,188,11
344,188,11
345,188,11
346,188,11
347,188,11
348,140,9
349,140,9
350,140,9
351,322,19
352,322,19
353,322,19
354,308,18
355,308,18
356,96,6
357,308,18
358,308,18
359,308,18
360,308,18
361,96,6
362,308,18
363,308,18
364,308,18
365,308,18
