elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
14668.0,49097.0,11863.0,4802.0,2734.0,3363.0,6753.0,9971.0,6798.0,17018.0,3205.0
14130.0,49180.0,11340.0,4614.0,2619.0,3253.0,6753.0,9925.0,6693.0,16950.0,3173.0
13164.0,48098.0,10553.0,4307.0,2457.0,3030.0,6600.0,9640.0,6268.0,16400.0,2919.0
12255.0,45569.0,9937.0,4067.0,2284.0,2841.0,6321.0,8922.0,5810.0,15218.0,2854.0
11478.0,42302.0,9573.0,3827.0,2130.0,2724.0,6057.0,8339.0,5579.0,14196.0,2797.0
11223.0,38937.0,9248.0,3726.0,2046.0,2642.0,5763.0,7765.0,5339.0,13072.0,2741.0
10940.0,35908.0,9251.0,3667.0,2007.0,2566.0,5432.0,7285.0,5244.0,12152.0,2765.0
10926.0,34000.0,9306.0,3654.0,1971.0,2624.0,5258.0,7011.0,5258.0,11736.0,2787.0
11145.0,32906.0,9400.0,3737.0,1987.0,2689.0,5135.0,6920.0,5279.0,11519.0,2759.0
11739.0,32477.0,9468.0,3962.0,2063.0,2745.0,5077.0,6935.0,5514.0,11551.0,2752.0
13095.0,32890.0,10276.0,4325.0,2327.0,2977.0,5157.0,7162.0,6113.0,11911.0,2783.0
14244.0,35248.0,11109.0,4678.0,2620.0,3234.0,5458.0,7873.0,6927.0,13067.0,2861.0
14814.0,40514.0,11530.0,4935.0,2758.0,3448.0,5924.0,8926.0,7590.0,14933.0,3036.0
14597.0,45841.0,12007.0,5001.0,2731.0,3537.0,6276.0,9749.0,7514.0,16231.0,3138.0
14098.0,49475.0,11751.0,4941.0,2679.0,3644.0,6488.0,9908.0,7511.0,16468.0,3304.0
13490.0,50960.0,11403.0,4822.0,2600.0,3594.0,6628.0,9851.0,7304.0,16230.0,3336.0
13085.0,50188.0,10908.0,4693.0,2528.0,3534.0,6510.0,9575.0,7002.0,15830.0,3317.0
12561.0,48554.0,10618.0,4557.0,2488.0,3504.0,6287.0,9333.0,6782.0,15519.0,3272.0
12029.0,47421.0,10673.0,4468.0,2483.0,3443.0,6046.0,9118.0,6614.0,15204.0,3225.0
11948.0,46726.0,10807.0,4446.0,2476.0,3409.0,5896.0,8931.0,6540.0,14932.0,3232.0
11981.0,45263.0,11003.0,4489.0,2569.0,3244.0,5766.0,8626.0,6423.0,14477.0,3030.0
12834.0,44037.0,11928.0,4724.0,2747.0,3390.0,5663.0,8619.0,6733.0,14613.0,3043.0
14317.0,45599.0,12608.0,4950.0,2891.0,3612.0,5886.0,9036.0,7231.0,15318.0,3168.0
14473.0,50850.0,12661.0,5014.0,2879.0,3609.0,6573.0,9820.0,7260.0,16548.0,3178.0
14143.0,54732.0,12216.0,4879.0,2779.0,3494.0,6866.0,10224.0,7119.0,17106.0,3146.0
13639.0,54263.0,11746.0,4660.0,2642.0,3384.0,6861.0,10098.0,6922.0,16830.0,3082.0
12714.0,51939.0,10867.0,4375.0,2467.0,3215.0,6696.0,9800.0,6508.0,16198.0,2951.0
11791.0,49176.0,10213.0,4127.0,2242.0,2983.0,6430.0,9229.0,6015.0,15259.0,2858.0
11085.0,45028.0,9632.0,3889.0,2099.0,2845.0,6094.0,8569.0,5623.0,14055.0,2752.0
10729.0,40481.0,9198.0,3726.0,1986.0,2760.0,5731.0,7847.0,5397.0,12847.0,2716.0
10665.0,37471.0,9059.0,3649.0,1943.0,2732.0,5374.0,7259.0,5274.0,11873.0,2757.0
10686.0,35339.0,8891.0,3649.0,1910.0,2786.0,5210.0,6997.0,5208.0,11288.0,2753.0
11062.0,34112.0,8856.0,3720.0,1921.0,2815.0,5106.0,6865.0,5261.0,11076.0,2728.0
11831.0,33462.0,8894.0,3950.0,2018.0,2906.0,5147.0,6812.0,5463.0,10936.0,2733.0
13177.0,34122.0,9586.0,4320.0,2268.0,3152.0,5215.0,7075.0,6016.0,11336.0,2751.0
14268.0,36359.0,10402.0,4626.0,2541.0,3351.0,5519.0,7722.0,6837.0,12460.0,2816.0
14450.0,41867.0,11045.0,4892.0,2654.0,3511.0,5983.0,8852.0,7421.0,14235.0,3010.0
13894.0,46758.0,11043.0,4955.0,2624.0,3581.0,6251.0,9650.0,7383.0,15573.0,3075.0
13202.0,50107.0,10827.0,4896.0,2587.0,3641.0,6467.0,9818.0,7331.0,15864.0,3240.0
12727.0,51562.0,10568.0,4774.0,2509.0,3592.0,6564.0,9737.0,7103.0,15588.0,3280.0
12275.0,50539.0,10280.0,4631.0,2448.0,3480.0,6435.0,9517.0,6832.0,15157.0,3258.0
11860.0,48849.0,10074.0,4515.0,2396.0,3436.0,6150.0,9278.0,6637.0,14716.0,3219.0
11408.0,47502.0,10089.0,4422.0,2397.0,3396.0,5916.0,8953.0,6512.0,14357.0,3161.0
11313.0,46603.0,10367.0,4390.0,2404.0,3327.0,5767.0,8784.0,6408.0,14092.0,3210.0
11415.0,45155.0,10607.0,4404.0,2495.0,3199.0,5659.0,8449.0,6307.0,13704.0,2997.0
12198.0,43835.0,11328.0,4646.0,2674.0,3315.0,5530.0,8464.0,6567.0,13780.0,2982.0
13766.0,45644.0,12048.0,4895.0,2799.0,3545.0,5760.0,8795.0,7048.0,14488.0,3139.0
13976.0,50852.0,12105.0,4951.0,2788.0,3529.0,6416.0,9605.0,7169.0,15850.0,3147.0
13673.0,54747.0,11740.0,4845.0,2683.0,3448.0,6739.0,10053.0,7011.0,16462.0,3097.0
13251.0,54474.0,11354.0,4606.0,2582.0,3297.0,6739.0,10016.0,6809.0,16357.0,3029.0
12336.0,51911.0,10446.0,4338.0,2402.0,3142.0,6559.0,9731.0,6396.0,15819.0,2919.0
11328.0,49163.0,9737.0,4092.0,2215.0,2922.0,6266.0,9206.0,5929.0,15017.0,2854.0
10691.0,45168.0,9175.0,3846.0,2063.0,2756.0,5911.0,8599.0,5523.0,14015.0,2753.0
10406.0,40905.0,8827.0,3693.0,1992.0,2699.0,5519.0,7888.0,5308.0,12824.0,2675.0
10272.0,37319.0,8743.0,3602.0,1949.0,2647.0,5197.0,7332.0,5205.0,11960.0,2741.0
10274.0,35339.0,8700.0,3605.0,1916.0,2689.0,4994.0,7110.0,5186.0,11563.0,2733.0
10589.0,34034.0,8575.0,3708.0,1946.0,2749.0,4934.0,7023.0,5263.0,11355.0,2710.0
11313.0,33420.0,8824.0,3970.0,2047.0,2834.0,4913.0,7023.0,5418.0,11397.0,2717.0
12744.0,34143.0,9433.0,4336.0,2281.0,3077.0,4953.0,7297.0,6003.0,11824.0,2721.0
13792.0,36597.0,10167.0,4663.0,2557.0,3276.0,5257.0,8022.0,6802.0,13069.0,2813.0
13907.0,42106.0,10904.0,4950.0,2679.0,3412.0,5771.0,9123.0,7383.0,15048.0,2985.0
13336.0,46850.0,10950.0,4935.0,2663.0,3473.0,6047.0,9965.0,7324.0,16411.0,3075.0
12641.0,50124.0,10756.0,4884.0,2589.0,3536.0,6232.0,10100.0,7318.0,16697.0,3215.0
