Period_Index,Rep_Period,Rep_Period_Index
1,106,3
2,314,17
3,314,17
4,314,17
5,314,17
6,314,17
7,322,18
8,106,3
9,322,18
10,113,4
11,113,4
12,113,4
13,333,19
14,333,19
15,333,19
16,333,19
17,333,19
18,333,19
19,291,14
20,291,14
21,291,14
22,291,14
23,281,12
24,291,14
25,187,6
26,187,6
27,187,6
28,187,6
29,188,7
30,187,6
31,187,6
32,188,7
33,188,7
34,188,7
35,140,5
36,140,5
37,140,5
38,322,18
39,96,2
40,44,1
41,44,1
42,322,18
43,44,1
44,44,1
45,96,2
46,44,1
47,44,1
48,307,16
49,307,16
50,307,16
51,106,3
52,106,3
53,106,3
54,106,3
55,106,3
56,106,3
57,106,3
58,106,3
59,106,3
60,96,2
61,113,4
62,113,4
63,113,4
64,113,4
65,113,4
66,113,4
67,333,19
68,333,19
69,333,19
70,281,12
71,281,12
72,281,12
73,281,12
74,291,14
75,281,12
76,281,12
77,291,14
78,291,14
79,187,6
80,187,6
81,187,6
82,187,6
83,187,6
84,187,6
85,187,6
86,188,7
87,188,7
88,140,5
89,140,5
90,140,5
91,140,5
92,96,2
93,96,2
94,44,1
95,44,1
96,96,2
97,307,16
98,307,16
99,307,16
100,96,2
101,314,17
102,106,3
103,106,3
104,106,3
105,106,3
106,106,3
107,314,17
108,314,17
109,314,17
110,314,17
111,113,4
112,113,4
113,113,4
114,113,4
115,113,4
116,113,4
117,113,4
118,333,19
119,333,19
120,333,19
121,333,19
122,333,19
123,281,12
124,291,14
125,291,14
126,291,14
127,284,13
128,291,14
129,291,14
130,291,14
131,187,6
132,187,6
133,187,6
134,187,6
135,187,6
136,188,7
137,188,7
138,188,7
139,140,5
140,140,5
141,140,5
142,140,5
143,140,5
144,322,18
145,44,1
146,322,18
147,322,18
148,322,18
149,307,16
150,307,16
151,307,16
152,307,16
153,314,17
154,314,17
155,314,17
156,314,17
157,314,17
158,314,17
159,314,17
160,106,3
161,44,1
162,44,1
163,44,1
164,96,2
165,44,1
166,113,4
167,322,18
168,113,4
169,322,18
170,322,18
171,113,4
172,140,5
173,322,18
174,333,19
175,333,19
176,291,14
177,333,19
178,333,19
179,291,14
180,281,12
181,281,12
182,291,14
183,291,14
184,187,6
185,187,6
186,187,6
187,187,6
188,188,7
189,188,7
190,188,7
191,188,7
192,140,5
193,188,7
194,140,5
195,140,5
196,140,5
197,44,1
198,44,1
199,96,2
200,307,16
201,96,2
202,307,16
203,307,16
204,307,16
205,314,17
206,307,16
207,207,8
208,307,16
209,314,17
210,314,17
211,314,17
212,314,17
213,314,17
214,221,9
215,221,9
216,221,9
217,221,9
218,221,9
219,221,9
220,221,9
221,221,9
222,224,10
223,221,9
224,224,10
225,224,10
226,224,10
227,224,10
228,224,10
229,224,10
230,224,10
231,224,10
232,239,11
233,239,11
234,239,11
235,239,11
236,239,11
237,239,11
238,239,11
239,239,11
240,239,11
241,239,11
242,187,6
243,187,6
244,188,7
245,187,6
246,188,7
247,140,5
248,140,5
249,44,1
250,44,1
251,96,2
252,44,1
253,307,16
254,307,16
255,307,16
256,307,16
257,307,16
258,314,17
259,307,16
260,307,16
261,307,16
262,314,17
263,314,17
264,106,3
265,106,3
266,314,17
267,314,17
268,113,4
269,106,3
270,106,3
271,113,4
272,113,4
273,113,4
274,333,19
275,333,19
276,333,19
277,291,14
278,281,12
279,284,13
280,291,14
281,281,12
282,284,13
283,291,14
284,284,13
285,291,14
286,284,13
287,284,13
288,291,14
289,291,14
290,291,14
291,291,14
292,187,6
293,187,6
294,187,6
295,188,7
296,188,7
297,140,5
298,140,5
299,299,15
300,140,5
301,44,1
302,96,2
303,44,1
304,44,1
305,44,1
306,307,16
307,307,16
308,307,16
309,307,16
310,314,17
311,314,17
312,106,3
313,314,17
314,314,17
315,314,17
316,314,17
317,314,17
318,314,17
319,314,17
320,322,18
321,322,18
322,322,18
323,322,18
324,322,18
325,322,18
326,140,5
327,333,19
328,333,19
329,333,19
330,333,19
331,333,19
332,291,14
333,333,19
334,333,19
335,333,19
336,291,14
337,291,14
338,333,19
339,339,20
340,187,6
341,187,6
342,187,6
343,187,6
344,188,7
345,188,7
346,188,7
347,188,7
348,140,5
349,140,5
350,140,5
351,322,18
352,322,18
353,322,18
354,322,18
355,44,1
356,96,2
357,307,16
358,44,1
359,307,16
360,307,16
361,96,2
362,307,16
363,307,16
364,307,16
365,307,16
