elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
10182.0,35716.0,7619.0,3103.0,1862.0,2281.0,4512.0,6736.0,4170.0,11477.0,1864.0
9689.0,37253.0,7192.0,2994.0,1816.0,2123.0,4741.0,7002.0,3984.0,12007.0,1819.0
8871.0,36376.0,6687.0,2782.0,1698.0,1973.0,4860.0,6802.0,3695.0,11853.0,1757.0
8016.0,33927.0,6372.0,2606.0,1555.0,1849.0,4451.0,6153.0,3431.0,10821.0,1692.0
7420.0,31037.0,6044.0,2442.0,1458.0,1784.0,4472.0,5610.0,3259.0,9866.0,1663.0
7170.0,29146.0,5933.0,2376.0,1416.0,1713.0,4148.0,5307.0,3165.0,9344.0,1631.0
6972.0,27281.0,5853.0,2350.0,1393.0,1724.0,3880.0,5178.0,3122.0,8923.0,1616.0
6933.0,26311.0,5917.0,2360.0,1403.0,1796.0,3742.0,5063.0,3117.0,8795.0,1625.0
7011.0,25860.0,6263.0,2453.0,1423.0,1877.0,3641.0,5117.0,3296.0,8831.0,1666.0
7520.0,26408.0,6681.0,2728.0,1555.0,2037.0,3624.0,5339.0,3645.0,9136.0,1722.0
8244.0,27771.0,7053.0,2988.0,1735.0,2151.0,3693.0,5894.0,4096.0,10103.0,1794.0
8813.0,30042.0,7398.0,3180.0,1910.0,2296.0,3859.0,6748.0,4412.0,11398.0,1854.0
9268.0,33221.0,7741.0,3330.0,1947.0,2403.0,4037.0,7267.0,4521.0,12373.0,1933.0
9589.0,35596.0,7793.0,3402.0,1937.0,2647.0,4345.0,7352.0,4593.0,12619.0,1991.0
9709.0,37695.0,7725.0,3362.0,1934.0,2670.0,4629.0,7367.0,4513.0,12589.0,1960.0
9698.0,38318.0,7623.0,3295.0,1868.0,2678.0,4700.0,7403.0,4394.0,12556.0,1960.0
9786.0,38099.0,7888.0,3240.0,1868.0,2660.0,4715.0,7260.0,4350.0,12265.0,2107.0
9827.0,37550.0,7880.0,3188.0,1849.0,2658.0,4675.0,7107.0,4361.0,11886.0,2111.0
9860.0,37627.0,7847.0,3164.0,1826.0,2651.0,4651.0,7003.0,4283.0,11727.0,2117.0
9940.0,37431.0,7624.0,3101.0,1836.0,2608.0,4636.0,6917.0,4269.0,11542.0,1968.0
10008.0,36954.0,7714.0,3116.0,1856.0,2557.0,4592.0,6856.0,4296.0,11395.0,1971.0
9963.0,37042.0,8043.0,3087.0,1893.0,2455.0,4612.0,6844.0,4194.0,11455.0,1910.0
10091.0,36959.0,8295.0,3097.0,1916.0,2498.0,4591.0,6714.0,4230.0,11384.0,1936.0
10556.0,37510.0,8363.0,3148.0,1939.0,2575.0,4652.0,6808.0,4356.0,11599.0,1975.0
10442.0,39207.0,7942.0,3182.0,1951.0,2429.0,4784.0,7031.0,4394.0,11919.0,1977.0
9914.0,40812.0,7427.0,3051.0,1900.0,2223.0,5009.0,7258.0,4147.0,12342.0,1941.0
9025.0,39148.0,6851.0,2832.0,1759.0,2094.0,5089.0,6971.0,3821.0,12021.0,1821.0
8151.0,35850.0,6429.0,2605.0,1603.0,1903.0,4893.0,6367.0,3515.0,11076.0,1737.0
7601.0,32474.0,6245.0,2435.0,1504.0,1846.0,4604.0,5825.0,3293.0,10149.0,1670.0
7318.0,29900.0,6045.0,2344.0,1462.0,1783.0,4275.0,5424.0,3159.0,9407.0,1644.0
7125.0,27766.0,6060.0,2297.0,1458.0,1809.0,3884.0,5165.0,3128.0,8940.0,1648.0
7079.0,26920.0,6253.0,2301.0,1435.0,1854.0,3742.0,5064.0,3157.0,8673.0,1680.0
7222.0,26345.0,6628.0,2410.0,1454.0,1926.0,3656.0,5040.0,3283.0,8628.0,1681.0
7788.0,26374.0,7169.0,2658.0,1565.0,2087.0,3657.0,5225.0,3600.0,8877.0,1738.0
8415.0,27681.0,7553.0,2914.0,1749.0,2240.0,3676.0,5699.0,4045.0,9603.0,1818.0
8931.0,30199.0,7978.0,3069.0,1884.0,2384.0,3872.0,6441.0,4310.0,10901.0,1863.0
9289.0,33182.0,8400.0,3203.0,1922.0,2471.0,4030.0,7001.0,4457.0,11896.0,1936.0
9578.0,35584.0,8450.0,3261.0,1898.0,2697.0,4340.0,7104.0,4460.0,12311.0,1986.0
9648.0,37842.0,8400.0,3210.0,1851.0,2664.0,4578.0,7241.0,4388.0,12466.0,1973.0
9673.0,38698.0,8246.0,3159.0,1852.0,2634.0,4697.0,7297.0,4328.0,12541.0,1965.0
9736.0,38475.0,8501.0,3138.0,1820.0,2610.0,4772.0,7196.0,4300.0,12350.0,2107.0
9983.0,38222.0,8474.0,3098.0,1823.0,2614.0,4737.0,7144.0,4326.0,12144.0,2110.0
10157.0,38447.0,8491.0,3089.0,1809.0,2623.0,4802.0,7039.0,4257.0,11953.0,2132.0
10496.0,38714.0,8325.0,3078.0,1820.0,2570.0,4848.0,7003.0,4234.0,11879.0,1954.0
10767.0,38510.0,8035.0,3064.0,1851.0,2524.0,4918.0,6947.0,4217.0,11824.0,1952.0
10838.0,38480.0,8576.0,3014.0,1862.0,2399.0,5014.0,6934.0,4142.0,11865.0,1892.0
11013.0,38248.0,8702.0,3037.0,1867.0,2430.0,5044.0,6855.0,4230.0,11785.0,1941.0
11382.0,38738.0,8814.0,3126.0,1899.0,2509.0,5110.0,6958.0,4345.0,12011.0,1934.0
