Period_Index,Rep_Period,Rep_Period_Index
1,206,10
2,266,14
3,266,14
4,266,14
5,266,14
6,266,14
7,149,6
8,149,6
9,65,2
10,65,2
11,65,2
12,65,2
13,65,2
14,279,15
15,329,19
16,279,15
17,279,15
18,279,15
19,291,16
20,291,16
21,279,15
22,279,15
23,279,15
24,187,8
25,187,8
26,187,8
27,187,8
28,187,8
29,187,8
30,187,8
31,187,8
32,188,9
33,188,9
34,188,9
35,299,17
36,299,17
37,299,17
38,94,4
39,94,4
40,94,4
41,94,4
42,94,4
43,94,4
44,96,5
45,96,5
46,51,1
47,51,1
48,51,1
49,51,1
50,51,1
51,51,1
52,51,1
53,51,1
54,51,1
55,51,1
56,51,1
57,51,1
58,51,1
59,51,1
60,266,14
61,65,2
62,65,2
63,65,2
64,65,2
65,65,2
66,65,2
67,65,2
68,65,2
69,65,2
70,279,15
71,71,3
72,71,3
73,71,3
74,279,15
75,279,15
76,291,16
77,291,16
78,291,16
79,291,16
80,187,8
81,187,8
82,187,8
83,187,8
84,187,8
85,187,8
86,188,9
87,188,9
88,299,17
89,299,17
90,299,17
91,299,17
92,299,17
93,94,4
94,94,4
95,94,4
96,96,5
97,149,6
98,149,6
99,96,5
100,96,5
101,51,1
102,51,1
103,51,1
104,51,1
105,51,1
106,51,1
107,266,14
108,266,14
109,206,10
110,266,14
111,266,14
112,266,14
113,65,2
114,65,2
115,65,2
116,65,2
117,65,2
118,329,19
119,279,15
120,279,15
121,279,15
122,279,15
123,291,16
124,291,16
125,291,16
126,291,16
127,279,15
128,279,15
129,291,16
130,291,16
131,187,8
132,187,8
133,187,8
134,187,8
135,188,9
136,188,9
137,188,9
138,188,9
139,188,9
140,299,17
141,299,17
142,299,17
143,299,17
144,94,4
145,94,4
146,94,4
147,96,5
148,149,6
149,149,6
150,149,6
151,149,6
152,149,6
153,206,10
154,206,10
155,206,10
156,266,14
157,266,14
158,266,14
159,266,14
160,160,7
161,266,14
162,266,14
163,266,14
164,266,14
165,266,14
166,266,14
167,149,6
168,94,4
169,65,2
170,65,2
171,94,4
172,299,17
173,94,4
174,65,2
175,279,15
176,188,9
177,279,15
178,279,15
179,291,16
180,291,16
181,291,16
182,291,16
183,291,16
184,187,8
185,187,8
186,187,8
187,187,8
188,188,9
189,188,9
190,188,9
191,188,9
192,299,17
193,299,17
194,299,17
195,299,17
196,299,17
197,96,5
198,96,5
199,96,5
200,149,6
201,96,5
202,206,10
203,206,10
204,206,10
205,206,10
206,206,10
207,206,10
208,206,10
209,206,10
210,213,11
211,213,11
212,213,11
213,213,11
214,213,11
215,213,11
216,213,11
217,213,11
218,224,12
219,224,12
220,224,12
221,224,12
222,224,12
223,224,12
224,224,12
225,224,12
226,224,12
227,224,12
228,224,12
229,224,12
230,224,12
231,224,12
232,239,13
233,239,13
234,239,13
235,239,13
236,239,13
237,239,13
238,239,13
239,239,13
240,239,13
241,239,13
242,239,13
243,187,8
244,188,9
245,188,9
246,188,9
247,299,17
248,299,17
249,94,4
250,94,4
251,96,5
252,96,5
253,206,10
254,206,10
255,206,10
256,206,10
257,206,10
258,206,10
259,206,10
260,206,10
261,206,10
262,206,10
263,206,10
264,206,10
265,206,10
266,266,14
267,266,14
268,149,6
269,149,6
270,65,2
271,65,2
272,65,2
273,65,2
274,329,19
275,279,15
276,279,15
277,279,15
278,279,15
279,279,15
280,291,16
281,291,16
282,279,15
283,291,16
284,291,16
285,291,16
286,291,16
287,291,16
288,291,16
289,291,16
290,291,16
291,291,16
292,187,8
293,187,8
294,187,8
295,188,9
296,188,9
297,299,17
298,299,17
299,299,17
300,299,17
301,94,4
302,96,5
303,94,4
304,96,5
305,96,5
306,149,6
307,96,5
308,206,10
309,206,10
310,206,10
311,206,10
312,206,10
313,266,14
314,266,14
315,206,10
316,266,14
317,206,10
318,266,14
319,266,14
320,149,6
321,149,6
322,149,6
323,149,6
324,149,6
325,65,2
326,326,18
327,329,19
328,329,19
329,329,19
330,329,19
331,329,19
332,279,15
333,279,15
334,279,15
335,279,15
336,291,16
337,291,16
338,279,15
339,339,20
340,187,8
341,187,8
342,187,8
343,187,8
344,188,9
345,188,9
346,188,9
347,188,9
348,299,17
349,299,17
350,299,17
351,149,6
352,149,6
353,149,6
354,149,6
355,96,5
356,96,5
357,149,6
358,96,5
359,149,6
360,149,6
361,96,5
362,266,14
363,266,14
364,149,6
365,266,14
