AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_utilitypv_class1_moderate_1,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_utilitypv_class1_moderate_1,ID_landbasedwind_class3_moderate_1,ID_utilitypv_class1_moderate_1,MT_landbasedwind_class3_moderate_1,MT_utilitypv_class1_moderate_1,NM_landbasedwind_class3_moderate_1,NM_utilitypv_class1_moderate_1,NV_landbasedwind_class3_moderate_1,NV_utilitypv_class1_moderate_1,OR_landbasedwind_class3_moderate_1,OR_utilitypv_class1_moderate_1,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_utilitypv_class1_moderate_1,WA_landbasedwind_class3_moderate_1,WA_utilitypv_class1_moderate_1,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_utilitypv_class1_moderate_1,AZ_Deep_5_5_257_c171,AZ_Deep_6_5_283_c176,AZ_Deep_3_5_200_c161,AZ_Deep_6_5_273_c177,AZ_Deep_5_5_238_c172,AZ_Deep_6_5_263_c178,CA_NearField_2_5_254_c235,CA_NearField_3_5_270_c238,CA_NearField_4_5_283_c241,CA_Deep_4_5_262_c46,CA_Deep_5_5_290_c51,CA_NearField_5_5_289_c244,CA_NearField_3_5_228_c239,CA_NearField_4_5_253_c242,CA_Deep_5_5_278_c52,CA_Deep_4_5_243_c47,CA_Deep_3_5_214_c41,CA_Deep_5_5_269_c53,CA_NearField_2_5_203_c236,CA_NearField_5_5_268_c245,CA_Deep_6_5_298_c56,CA_Deep_5_5_263_c54,CO_Deep_5_5_268_c211,CO_Deep_6_5_290_c216,CO_Deep_3_5_198_c201,CO_Deep_4_5_218_c206,CO_Deep_6_5_277_c217,CO_Deep_5_5_240_c212,ID_Deep_5_5_285_c91,ID_Deep_5_5_269_c92,MT_Deep_4_5_213_c106,MT_Deep_3_5_188_c101,MT_Deep_5_5_236_c111,MT_Deep_6_5_262_c116,MT_Deep_3_5_179_c102,MT_Deep_4_5_191_c107,MT_Deep_6_5_232_c117,NM_Deep_5_5_272_c191,NM_Deep_6_5_294_c196,NM_Deep_6_5_284_c197,NM_Deep_5_5_250_c192,NM_Deep_4_5_219_c186,NM_Deep_6_5_274_c198,NM_Deep_5_5_236_c193,NV_NearField_2_5_239_c248,NV_NearField_3_5_262_c251,NV_NearField_4_5_271_c254,NV_Deep_4_5_249_c66,NV_NearField_5_5_283_c257,NV_Deep_5_5_273_c71,NV_NearField_2_5_200_c249,NV_NearField_3_5_216_c252,NV_Deep_5_5_265_c72,NV_Deep_3_5_211_c61,NV_Deep_6_5_296_c76,NV_Deep_6_5_290_c77,NV_Deep_5_5_254_c73,OR_NearField_2_5_261_c221,OR_NearField_3_5_288_c224,OR_NearField_2_5_225_c222,OR_NearField_4_5_288_c227,OR_NearField_3_5_239_c225,OR_NearField_5_5_300_c230,OR_NearField_2_5_200_c223,OR_Deep_4_5_250_c26,OR_Deep_5_5_282_c31,OR_NearField_5_5_275_c231,OR_NearField_4_5_239_c228,OR_Deep_5_5_268_c32,OR_NearField_6_5_300_c233,OR_Deep_6_5_296_c36,OR_Deep_4_5_229_c27,UT_NearField_2_5_250_c263,UT_NearField_3_5_286_c266,UT_NearField_2_5_225_c264,UT_NearField_4_5_288_c269,UT_NearField_3_5_239_c267,UT_Deep_3_5_230_c141,UT_NearField_5_5_288_c272,UT_Deep_5_5_282_c151,UT_NearField_2_5_200_c265,UT_NearField_4_5_239_c270,UT_Deep_4_5_229_c146,UT_Deep_5_5_256_c152,UT_Deep_6_5_291_c156,WA_Deep_6_5_294_c16,WA_Deep_5_5_256_c11,WA_Deep_6_5_272_c17,WA_Deep_4_5_214_c6,WA_Deep_5_5_231_c12,WY_Deep_4_5_207_c126,WY_Deep_6_5_261_c136,WY_Deep_5_5_225_c131,WY_Deep_3_5_170_c121,WY_Deep_3_5_166_c122,WY_Deep_6_5_228_c137,WY_Deep_3_5_160_c123,WY_Deep_4_5_179_c127,WY_Deep_3_5_153_c124,WY_Deep_6_5_213_c138
0.5929459008345607,0.0,0.7897422947321522,0.0,0.7048227809554579,0.0,0.7182784032753327,0.0,0.5297799999999999,0.0,0.2310444899559893,0.0,0.861,0.0,0.964508151423045,0.0,0.6288142709943328,0.0,0.8378365418684305,0.0,0.3516040905504303,0.0,0.4166752398014068,0.0,0.4519999921321869,0.0,0.9829975366592408,0.982836365699768,0.8274836540222168,0.0,0.8634746074676514,0.0,0.5309011340141296,0.0,0.4634986519813537,0.0,0.7935447692871094,0.0,0.9829999208450316,0.0,0.981325626373291,0.8167364597320557,0.7221458554267883,0.0,0.9555295705795288,0.0,0.8546530604362488,0.9481475949287416,0.7526392936706543,0.0,0.77,0.77,0.77,0.77,0.77,0.77,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.82,0.84,0.84,0.82,0.75,0.75,0.75,0.75,0.75,0.75,0.67,0.66,0.71,0.72,0.71,0.71,0.71,0.71,0.75,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.74,0.74,0.74,0.73,0.74,0.73,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.82,0.84,0.8299999833106995,0.83,0.85,0.8299999833106995,0.87,0.84,0.699999988079071,0.7,0.699999988079071,0.7,0.7,0.71,0.7,0.7,0.699999988079071,0.7,0.7,0.69,0.7,0.91,0.91,0.91,0.91,0.91,0.69,0.7,0.7,0.67,0.69,0.71,0.7,0.7,0.67,0.7
0.5524143348060873,0.0,0.829461338483808,0.0,0.6900961870427793,0.0,0.5364932539313296,0.0,0.4958983132530121,0.0,0.1665977602509913,0.0,0.926,0.0,0.957927101911628,0.0,0.752428645028336,0.0,0.8841904452580609,0.0,0.1675066454281465,0.0,0.4538252651691437,0.0,0.4339999854564667,0.0,0.9829975366592408,0.9824932813644408,0.8440504670143127,0.0,0.8565317392349243,0.0,0.5776358842849731,0.0,0.3056758642196655,0.0,0.8702824115753174,0.0,0.971535325050354,0.0,0.9805097579956056,0.806820273399353,0.8277432322502136,0.0,0.9495776295661926,0.0,0.9012657403945924,0.9208643436431884,0.7965252995491028,0.0,0.76,0.76,0.77,0.76,0.76,0.76,0.79,0.79,0.8,0.8,0.8,0.79,0.79,0.79,0.8,0.8,0.8,0.81,0.79,0.81,0.82,0.8,0.74,0.74,0.75,0.74,0.74,0.74,0.65,0.65,0.71,0.72,0.71,0.71,0.71,0.71,0.75,0.77,0.76,0.76,0.76,0.77,0.76,0.76,0.73,0.73,0.72,0.71,0.72,0.72,0.73,0.72,0.72,0.71,0.72,0.72,0.72,0.82,0.82,0.82,0.82,0.82,0.8199999928474426,0.82,0.81,0.83,0.8199999928474426,0.82,0.84,0.8199999928474426,0.85,0.83,0.6899999976158142,0.69,0.6899999976158142,0.69,0.69,0.7,0.69,0.69,0.6899999976158142,0.69,0.68,0.68,0.68,0.9,0.91,0.9,0.9,0.9,0.68,0.69,0.69,0.66,0.68,0.7,0.68,0.69,0.66,0.69
0.5299498281786942,0.0,0.8236548063956795,0.0,0.7535415866475526,0.0,0.7039069507769609,0.0,0.5395714457831325,0.0,0.0669744215434223,0.0,0.718,0.0,0.9621278605340502,0.0,0.7339142194744978,0.0,0.8690721329868903,0.0,0.3051074484649347,0.0,0.4444155693054199,0.0,0.5170000195503235,0.0,0.9829975366592408,0.982361912727356,0.8854852318763733,0.0,0.8690385222434998,0.0,0.5507209300994873,0.0,0.2615228593349457,0.0,0.8716162443161011,0.0,0.9616156816482544,0.0,0.9805853962898254,0.78971928358078,0.6641364693641663,0.0,0.9520630836486816,0.0,0.8233188986778259,0.8712824583053589,0.8339504599571228,0.0,0.75,0.75,0.76,0.76,0.76,0.75,0.77,0.77,0.78,0.78,0.78,0.77,0.77,0.77,0.79,0.78,0.78,0.8,0.77,0.78,0.8,0.79,0.75,0.74,0.75,0.74,0.74,0.74,0.64,0.64,0.7,0.71,0.7,0.7,0.7,0.7,0.75,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.71,0.71,0.71,0.7,0.71,0.71,0.71,0.71,0.71,0.7,0.71,0.71,0.71,0.82,0.82,0.82,0.82,0.82,0.8199999928474426,0.82,0.81,0.83,0.8199999928474426,0.82,0.83,0.8199999928474426,0.85,0.82,0.6800000071525574,0.68,0.6800000071525574,0.68,0.68,0.69,0.68,0.68,0.6800000071525574,0.68,0.68,0.68,0.68,0.91,0.91,0.9,0.91,0.89,0.67,0.68,0.68,0.66,0.68,0.69,0.68,0.68,0.66,0.68
0.5016231713303878,0.0,0.8176625754330035,0.0,0.7922474194922593,0.0,0.7399685493626128,0.0,0.597544578313253,0.0,0.0224669048760294,0.0,0.455,0.0,0.9420040945514834,0.0,0.7687102009273571,0.0,0.8487115271052321,0.0,0.4259173725423759,0.0,0.4042637944221496,0.0,0.6800000071525574,0.0,0.9829975366592408,0.9818755388259888,0.8776724934577942,0.0,0.908467173576355,0.0,0.610357403755188,0.0,0.2834649085998535,0.0,0.8569480180740356,0.0,0.974622130393982,0.0,0.9792784452438354,0.7791398763656616,0.706245481967926,0.0,0.8987036943435669,0.0,0.7435448169708252,0.7936252355575562,0.8657605051994324,0.0,0.75,0.75,0.76,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.78,0.76,0.76,0.76,0.78,0.78,0.77,0.8,0.76,0.76,0.8,0.79,0.75,0.74,0.75,0.75,0.74,0.74,0.63,0.63,0.71,0.72,0.71,0.71,0.71,0.7,0.75,0.77,0.77,0.77,0.77,0.77,0.76,0.77,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.7,0.69,0.71,0.7,0.7,0.83,0.83,0.83,0.83,0.83,0.8299999833106995,0.83,0.81,0.83,0.8299999833106995,0.83,0.83,0.8299999833106995,0.85,0.82,0.6800000071525574,0.68,0.6800000071525574,0.68,0.68,0.68,0.68,0.67,0.6800000071525574,0.68,0.67,0.67,0.67,0.91,0.91,0.9,0.91,0.9,0.67,0.68,0.68,0.65,0.67,0.69,0.67,0.68,0.65,0.67
0.436566912125675,0.0,0.8422128514635412,0.0,0.7694283923948793,0.0,0.8477705406159859,0.0,0.6773334337349397,0.0,0.0515347509695411,0.0,0.458,0.0,0.914088899495089,0.0,0.84254714064915,0.0,0.841182414078186,0.0,0.3830701475129475,0.0,0.3622278869152069,0.0,0.7540000081062317,0.0,0.9829975366592408,0.9812467098236084,0.8954814672470093,0.0,0.9399570226669312,0.0,0.6476494669914246,0.0,0.2919296026229858,0.0,0.8263083696365356,0.0,0.9788708686828612,0.0,0.9769944548606871,0.7526642680168152,0.9066060185432434,0.0,0.8877040147781372,0.0,0.6144384145736694,0.7010273337364197,0.8585230708122253,0.0,0.75,0.75,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.77,0.78,0.75,0.75,0.75,0.78,0.78,0.77,0.8,0.75,0.75,0.81,0.8,0.75,0.75,0.76,0.75,0.75,0.75,0.64,0.63,0.71,0.71,0.71,0.72,0.71,0.71,0.76,0.78,0.78,0.78,0.78,0.79,0.77,0.78,0.69,0.69,0.69,0.69,0.69,0.7,0.69,0.69,0.7,0.68,0.71,0.7,0.7,0.84,0.84,0.84,0.84,0.84,0.8399999737739563,0.84,0.81,0.83,0.8399999737739563,0.84,0.83,0.8399999737739563,0.85,0.83,0.6800000071525574,0.68,0.6800000071525574,0.68,0.68,0.69,0.68,0.68,0.6800000071525574,0.68,0.67,0.67,0.67,0.91,0.91,0.9,0.91,0.9,0.67,0.68,0.68,0.66,0.68,0.69,0.67,0.68,0.66,0.68
0.5087710358370152,0.0,0.7858494906742739,0.0,0.760485053272585,0.0,0.8478108309295618,0.0,0.5390539759036144,0.0,0.0760411346899647,0.0,0.772,0.0,0.9143322866688438,0.0,0.8279072642967544,0.0,0.8264555332467227,0.0,0.4267087802839507,0.0,0.3211676478385925,0.0,0.4350000023841858,0.0,0.9829975366592408,0.9804509282112122,0.8814247846603394,0.0,0.9541948437690736,0.0,0.7073011994361877,0.0,0.2839525640010834,0.0,0.7853777408599854,0.0,0.9522866010665894,0.0,0.977635622024536,0.7348671555519104,0.7395333647727966,0.0,0.8747186660766602,0.0,0.5253438949584961,0.5944154858589172,0.830607533454895,0.0,0.76,0.76,0.77,0.76,0.76,0.76,0.75,0.75,0.75,0.77,0.79,0.75,0.75,0.75,0.79,0.79,0.77,0.81,0.75,0.75,0.82,0.81,0.77,0.76,0.77,0.76,0.76,0.76,0.65,0.65,0.72,0.73,0.72,0.73,0.72,0.73,0.77,0.82,0.81,0.8,0.81,0.81,0.79,0.79,0.68,0.68,0.68,0.7,0.68,0.71,0.68,0.69,0.71,0.69,0.71,0.71,0.71,0.86,0.86,0.86,0.86,0.86,0.8600000143051147,0.86,0.82,0.84,0.8600000143051147,0.86,0.84,0.8600000143051147,0.86,0.84,0.6899999976158142,0.69,0.6899999976158142,0.69,0.69,0.7,0.69,0.69,0.6899999976158142,0.69,0.68,0.68,0.68,0.91,0.91,0.91,0.91,0.91,0.68,0.69,0.68,0.67,0.68,0.69,0.68,0.69,0.67,0.68
0.5487343151693667,0.0,0.7438838867440424,0.0,0.6921793220385756,6.992760021190182e-5,0.8586031450637387,0.0,0.4815471686746988,0.0002118644067796,0.0915565384112597,0.0,0.701,0.0,0.8644522846592481,0.0,0.8231774858320454,0.0,0.6915531179874809,0.0,0.4838759007074655,0.0,0.3201061189174652,0.0,0.3880000114440918,0.0,0.9829975366592408,0.9807249307632446,0.8462885022163391,0.0009198395418934,0.9331617951393129,0.0,0.7482308149337769,0.0001748927315929,0.2844855189323425,0.0,0.7408856153488159,0.0,0.9151265621185304,0.0,0.978375256061554,0.717203676700592,0.7572855353355408,0.0,0.8404783010482788,0.0,0.4144484400749206,0.5174386501312256,0.8196424245834351,0.0016523387748748,0.77,0.77,0.78,0.78,0.78,0.78,0.75,0.75,0.75,0.78,0.8,0.75,0.75,0.75,0.81,0.81,0.78,0.83,0.75,0.75,0.84,0.82,0.78,0.78,0.79,0.78,0.78,0.78,0.68,0.67,0.75,0.76,0.75,0.75,0.75,0.75,0.79,0.87,0.84,0.83,0.84,0.85,0.82,0.82,0.68,0.68,0.69,0.71,0.69,0.73,0.68,0.69,0.72,0.71,0.73,0.72,0.72,0.88,0.88,0.88,0.88,0.88,0.8799999952316284,0.88,0.84,0.86,0.8799999952316284,0.88,0.86,0.8799999952316284,0.88,0.86,0.7099999785423279,0.71,0.7099999785423279,0.71,0.71,0.72,0.71,0.71,0.7099999785423279,0.71,0.7,0.7,0.7,0.92,0.92,0.92,0.92,0.91,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.69,0.69
0.4997206676485027,0.0228773575321895,0.739960879678615,0.0,0.6418086084920566,0.1895282756489493,0.8912000558295338,0.087675,0.5917886746987953,0.1307344632768361,0.3365629003442416,0.130803763961521,0.739,0.025007657976592,0.8521390137908513,0.0051628665435491,0.7184891808346214,0.1181305740666672,0.6581751505846227,0.0073277600849256,0.5659858314959048,0.0255,0.3733892440795898,0.0358102060854435,0.5389999747276306,0.0010491645662114,0.9829975366592408,0.9795631766319276,0.8148545026779175,0.1006367728114128,0.8777418732643127,0.0262548346072435,0.7629051208496094,0.0925027653574943,0.2967609465122223,0.0679321885108947,0.689207911491394,0.0164678189903497,0.8763236999511719,0.0051653096452355,0.9781199097633362,0.6943291425704956,0.7919142246246338,0.0555762164294719,0.751785159111023,0.0138386357575654,0.3598888218402862,0.4362225532531738,0.789625883102417,0.0907172039151191,0.8,0.8,0.8,0.8,0.8,0.8,0.78,0.78,0.77,0.8,0.82,0.78,0.78,0.78,0.83,0.83,0.8,0.85,0.78,0.77,0.86,0.85,0.81,0.81,0.82,0.81,0.81,0.81,0.72,0.71,0.78,0.79,0.78,0.78,0.78,0.78,0.81,0.92,0.88,0.87,0.88,0.9,0.86,0.86,0.7,0.7,0.71,0.74,0.71,0.75,0.7,0.71,0.74,0.73,0.75,0.74,0.74,0.91,0.91,0.91,0.91,0.91,0.9100000262260436,0.91,0.86,0.88,0.9100000262260436,0.91,0.88,0.9100000262260436,0.9,0.88,0.7400000095367432,0.74,0.7400000095367432,0.74,0.74,0.76,0.74,0.74,0.7400000095367432,0.74,0.74,0.73,0.73,0.93,0.93,0.92,0.93,0.92,0.74,0.74,0.74,0.74,0.74,0.75,0.75,0.74,0.74,0.74
0.4889734904270988,0.3455851928399794,0.7022227928608159,0.2474240914232657,0.4313365126395851,0.2750980708105244,0.8442115008839675,0.318775,0.5480053012048194,0.3423559322033898,0.4002628872717765,0.3457685454193298,0.702,0.396324354910294,0.7853069657615114,0.1564090358109868,0.5422493560020608,0.3164662616494038,0.6023827211527106,0.1456356157112526,0.4338976176303173,0.1035,0.384389579296112,0.32680743932724,0.3989999890327453,0.1671604216098785,0.9829975366592408,0.9783461689949036,0.5951731204986572,0.3305326998233795,0.8215472102165222,0.2947379052639007,0.72178715467453,0.3872884213924408,0.3280293047428131,0.3338288366794586,0.703101634979248,0.2749872505664825,0.7012226581573486,0.2079024165868759,0.977089524269104,0.6714820265769958,0.7230374217033386,0.3488827049732208,0.683850884437561,0.2360429614782333,0.2650339901447296,0.3364151418209076,0.6634430289268494,0.3116293549537658,0.86,0.85,0.86,0.86,0.86,0.86,0.81,0.82,0.82,0.85,0.87,0.82,0.82,0.82,0.87,0.87,0.85,0.89,0.82,0.83,0.9,0.88,0.83,0.83,0.84,0.83,0.83,0.83,0.77,0.77,0.81,0.82,0.81,0.82,0.81,0.81,0.84,0.93,0.9,0.89,0.9,0.92,0.88,0.89,0.76,0.76,0.77,0.79,0.77,0.8,0.76,0.77,0.79,0.78,0.8,0.8,0.79,0.93,0.93,0.93,0.93,0.93,0.9300000071525574,0.93,0.89,0.9,0.9300000071525574,0.93,0.91,0.9300000071525574,0.92,0.9,0.8100000023841858,0.81,0.8100000023841858,0.81,0.81,0.81,0.81,0.81,0.8100000023841858,0.81,0.8,0.8,0.8,0.94,0.94,0.94,0.94,0.94,0.8,0.81,0.81,0.8,0.81,0.8,0.8,0.81,0.8,0.78
0.3466352479135984,0.5244552966929847,0.6610938936435197,0.5065886710152918,0.2204718230442217,0.5670817587850963,0.7896825160509908,0.528925,0.533491686746988,0.6553305084745762,0.2755734454660334,0.568026083026664,0.647,0.6326310469165607,0.6893020422517522,0.5179832863462508,0.4514116434827409,0.5042903403669361,0.5642622829809851,0.5419283439490447,0.3165814855022948,0.2735,0.3513553142547607,0.6455238461494446,0.5910000205039978,0.5743293762207031,0.9829975366592408,0.9768083691596984,0.3548469841480255,0.5885041356086731,0.7297222018241882,0.6448906064033508,0.6761336922645569,0.655274510383606,0.2283239662647247,0.6380501985549927,0.629504919052124,0.6528877019882202,0.4137181639671325,0.577038586139679,0.9767221808433532,0.6561434268951416,0.614723801612854,0.6528812646865845,0.4672946333885193,0.5718032717704773,0.2236568927764892,0.2522064447402954,0.4732755124568939,0.5422899723052979,0.87,0.87,0.87,0.88,0.88,0.88,0.86,0.86,0.87,0.89,0.91,0.86,0.86,0.86,0.91,0.91,0.89,0.92,0.86,0.87,0.93,0.91,0.85,0.84,0.85,0.85,0.85,0.85,0.79,0.79,0.83,0.83,0.83,0.84,0.83,0.83,0.86,0.93,0.91,0.9,0.91,0.92,0.9,0.9,0.81,0.81,0.81,0.83,0.81,0.83,0.81,0.81,0.82,0.82,0.83,0.83,0.82,0.96,0.96,0.96,0.96,0.96,0.959999978542328,0.96,0.92,0.93,0.959999978542328,0.96,0.93,0.959999978542328,0.95,0.93,0.8399999737739563,0.84,0.8399999737739563,0.84,0.84,0.84,0.84,0.83,0.8399999737739563,0.84,0.82,0.82,0.82,0.95,0.95,0.95,0.95,0.95,0.81,0.82,0.82,0.8,0.81,0.81,0.82,0.82,0.8,0.8
